network = string:
 cv_scheme      method         prob          SE df asymp.LCL asymp.UCL
 classic        pr        0.7237489 0.001970225 NA 0.7198707 0.7275937
 block          pr        0.7239495 0.001969682 NA 0.7200724 0.7277933
 representative pr        0.7221733 0.001974470 NA 0.7182869 0.7260265
 classic        randomraw 0.6531479 0.002132713 NA 0.6489561 0.6573160
 block          randomraw 0.6374870 0.002161458 NA 0.6332400 0.6417126
 representative randomraw 0.6700251 0.002098854 NA 0.6658985 0.6741257
 classic        random    0.5497432 0.002276764 NA 0.5452769 0.5542014
 block          random    0.5481629 0.002278145 NA 0.5436940 0.5526240
 representative random    0.5465238 0.002279551 NA 0.5420523 0.5509878
 classic        EGAD      0.8003691 0.001724953 NA 0.7969667 0.8037284
 block          EGAD      0.7133215 0.001997769 NA 0.7093900 0.7172210
 representative EGAD      0.7258255 0.001964585 NA 0.7219582 0.7296591
 classic        ppr       0.8958641 0.001278254 NA 0.8933320 0.8983429
 block          ppr       0.8238976 0.001632238 NA 0.8206756 0.8270739
 representative ppr       0.8602535 0.001468740 NA 0.8573499 0.8631074
 classic        raw       0.9152579 0.001157403 NA 0.9129617 0.9174990
 block          raw       0.8301208 0.001606104 NA 0.8269497 0.8332455
 representative raw       0.8783053 0.001376569 NA 0.8755814 0.8809777
 classic        gm        0.6320560 0.002170835 NA 0.6277911 0.6363004
 block          gm        0.5676769 0.002259388 NA 0.5632433 0.5720997
 representative gm        0.5323902 0.002290586 NA 0.5278982 0.5368769
 classic        mc        0.9122925 0.001176848 NA 0.9099583 0.9145718
 block          mc        0.8476424 0.001528536 NA 0.8446223 0.8506141
 representative mc        0.8816198 0.001358713 NA 0.8789307 0.8842570
 classic        z         0.9134428 0.001169350 NA 0.9111233 0.9157074
 block          z         0.8360131 0.001580693 NA 0.8328914 0.8390877
 representative z         0.8795622 0.001369834 NA 0.8768514 0.8822213
 classic        knn       0.9126155 0.001174748 NA 0.9102855 0.9148907
 block          knn       0.8331762 0.001593010 NA 0.8300306 0.8362751
 representative knn       0.8752613 0.001392700 NA 0.8725060 0.8779655
 classic        wsld      0.9120084 0.001178691 NA 0.9096706 0.9142914
 block          wsld      0.8327893 0.001594678 NA 0.8296404 0.8358915
 representative wsld      0.8745311 0.001396532 NA 0.8717683 0.8772428
 classic        COSNet    0.6427010 0.002152171 NA 0.6384719 0.6469080
 block          COSNet    0.4969863 0.002309656 NA 0.4924598 0.5015133
 representative COSNet    0.6907628 0.002053049 NA 0.6867245 0.6947722
 classic        bagsvm    0.9133966 0.001169652 NA 0.9110765 0.9156618
 block          bagsvm    0.8440217 0.001545070 NA 0.8409694 0.8470260
 representative bagsvm    0.8790350 0.001372664 NA 0.8763188 0.8816997
 classic        rf        0.8941699 0.001288159 NA 0.8916185 0.8966682
 block          rf        0.8087828 0.001692861 NA 0.8054428 0.8120788
 representative rf        0.8475773 0.001528836 NA 0.8445566 0.8505496
 classic        svm       0.8608063 0.001466036 NA 0.8579080 0.8636549
 block          svm       0.7624682 0.001856221 NA 0.7588109 0.7660871
 representative svm       0.7915739 0.001757303 NA 0.7881087 0.7949972

network = omnipath:
 cv_scheme      method         prob          SE df asymp.LCL asymp.UCL
 classic        pr        0.6387306 0.002265115 NA 0.6342793 0.6431582
 block          pr        0.6389621 0.002264870 NA 0.6345113 0.6433892
 representative pr        0.6369133 0.002267015 NA 0.6324585 0.6413448
 classic        randomraw 0.5596224 0.002314280 NA 0.5550816 0.5641532
 block          randomraw 0.5426952 0.002316256 NA 0.5381520 0.5472313
 representative randomraw 0.5781108 0.002308764 NA 0.5735793 0.5826292
 classic        random    0.4517401 0.002278061 NA 0.4472792 0.4562088
 block          random    0.4501598 0.002276681 NA 0.4457017 0.4546259
 representative random    0.4485229 0.002275225 NA 0.4440678 0.4529863
 classic        EGAD      0.7301388 0.002117156 NA 0.7259692 0.7342682
 block          EGAD      0.6267491 0.002276950 NA 0.6222757 0.6312009
 representative EGAD      0.6411293 0.002262548 NA 0.6366829 0.6455517
 classic        ppr       0.8530613 0.001710394 NA 0.8496773 0.8563821
 block          ppr       0.7594570 0.002045330 NA 0.7554255 0.7634429
 representative ppr       0.8059837 0.001901654 NA 0.8022293 0.8096837
 classic        raw       0.8793531 0.001577311 NA 0.8762272 0.8824105
 block          raw       0.7673143 0.002023762 NA 0.7633243 0.7712573
 representative raw       0.8296577 0.001812095 NA 0.8260766 0.8331800
 classic        gm        0.5368759 0.002316266 NA 0.5323331 0.5414125
 block          gm        0.4698127 0.002292116 NA 0.4653228 0.4743075
 representative gm        0.4344954 0.002261675 NA 0.4300679 0.4389333
 classic        mc        0.8753024 0.001599296 NA 0.8721339 0.8784033
 block          mc        0.7896725 0.001956556 NA 0.7858121 0.7934817
 representative mc        0.8340468 0.001794084 NA 0.8305005 0.8375333
 classic        z         0.8768724 0.001590844 NA 0.8737203 0.8799566
 block          z         0.7747941 0.002002263 NA 0.7708455 0.7786942
 representative z         0.8313205 0.001805326 NA 0.8277525 0.8348294
 classic        knn       0.8757431 0.001596932 NA 0.8725792 0.8788394
 block          knn       0.7711880 0.002012748 NA 0.7672192 0.7751090
 representative knn       0.8256385 0.001828185 NA 0.8220262 0.8291927
 classic        wsld      0.8749149 0.001601368 NA 0.8717424 0.8780199
 block          wsld      0.7706969 0.002014158 NA 0.7667254 0.7746207
 representative wsld      0.8246759 0.001831982 NA 0.8210563 0.8282377
 classic        COSNet    0.5483066 0.002315923 NA 0.5437636 0.5528416
 block          COSNet    0.4000323 0.002220177 NA 0.3956888 0.4043915
 representative COSNet    0.6011867 0.002296855 NA 0.5966765 0.6056798
 classic        bagsvm    0.8768093 0.001591185 NA 0.8736565 0.8798942
