"method","cv_scheme","prob","SE","df","asymp.LCL","asymp.UCL"
"pr","classic",0.682762526803892,0.00210110422581296,Inf,0.678630203712892,0.686866232279396
"randomraw","classic",0.607369250690492,0.00220856493323807,Inf,0.60303220936345,0.611689419995442
"random","classic",0.500748817939142,0.00226344477604165,Inf,0.496312605158364,0.505184912828989
"EGAD","classic",0.767092295872438,0.00190231767977005,Inf,0.763343059845849,0.770799969163714
"ppr","classic",0.876040131767013,0.00147436572265682,Inf,0.873121393914995,0.878901038985766
"raw","classic",0.898708456375558,0.00134785020398957,Inf,0.896035984158427,0.901319796389581
"gm","classic",0.58526126095334,0.00222896695211564,Inf,0.580885970039639,0.589623144657954
"mc","classic",0.895230198991475,0.00136846834917638,Inf,0.892517576626317,0.897882193634116
"z","classic",0.896578928134416,0.00136052970019847,Inf,0.893881764151702,0.899215268684082
"knn","classic",0.895608900828779,0.00136624640396145,Inf,0.892900605012712,0.898256513957802
"wsld","classic",0.894897217283253,0.00137041750269699,Inf,0.892180799604324,0.897553055575326
"COSNet","classic",0.596395563234504,0.00221929703781903,Inf,0.592038349585459,0.600737623785404
"bagsvm","classic",0.896524759465179,0.00136084989909837,Inf,0.893826971963801,0.899161731391472
"rf","classic",0.874068772473067,0.00148455825856573,Inf,0.871130205695908,0.876949797248452
"svm","classic",0.835533722345937,0.00166260409156953,Inf,0.832249097392958,0.838766492854214
"pr","block",0.682979881398954,0.00210070501211671,Inf,0.67884832381457,0.687082787704441
"randomraw","block",0.59093587664639,0.00222419122966599,Inf,0.586569499750583,0.595287956323433
"random","block",0.499153213268483,0.00226344472253721,Inf,0.49471712619537,0.503589433656424
"EGAD","block",0.671490294540941,0.00212107320274304,Inf,0.667319712065851,0.675634007000198
"ppr","block",0.793531072322774,0.00181945542833388,Inf,0.789942218122591,0.797074361887726
"raw","block",0.800567628339801,0.00179546647767798,Inf,0.797025254536099,0.804063377749334
"gm","block",0.51892632531065,0.002261752901511,Inf,0.514491997313083,0.523357673812803
"mc","block",0.820478164010452,0.00172275001242446,Inf,0.817076796605671,0.823829921299617
"z","block",0.807246977180218,0.00177188982220237,Inf,0.803750303714558,0.810696022468278
"knn","block",0.804029118996622,0.00178334797416636,Inf,0.800510233117715,0.807500860014801
"wsld","block",0.803590513403064,0.00178489531037964,Inf,0.800068628229364,0.807065319632597
"COSNet","block",0.448015351434392,0.00225071734771991,Inf,0.44360823011583,0.452430653644844
"bagsvm","block",0.816351777581053,0.00173843348343511,Inf,0.8129199846244,0.819734577586149
"rf","block",0.776516901368064,0.00187404726611594,Inf,0.772822351129083,0.780168458800914
"svm","block",0.725044077071871,0.0020128992558335,Inf,0.72108134798436,0.728971667060391
"pr","representative",0.681056153412508,0.00210421955478735,Inf,0.676917857379451,0.685166096155394
"randomraw","representative",0.625195707383806,0.00218854793679536,Inf,0.620896499460413,0.629475255229673
"random","representative",0.497499349039668,0.00226341936842877,Inf,0.493063441842147,0.5019356499299
"EGAD","representative",0.68501311126255,0.00209694436724227,Inf,0.680888765987229,0.68910849042138
"ppr","representative",0.834899768318453,0.00166523309880929,Inf,0.831610038591704,0.838137737862777
"raw","representative",0.855677218752589,0.00157426539868254,Inf,0.85256421307182,0.858735386335848
"gm","representative",0.483282370277254,0.00226213892089889,Inf,0.478850091468438,0.487717280943825
"mc","representative",0.859509405658303,0.00155633498488739,Inf,0.856431254209874,0.862532153971651
"z","representative",0.857129798544264,0.00156751375890305,Inf,0.854029916365734,0.860174628349875
"knn","representative",0.852162541883268,0.0015903799449296,Inf,0.849018217273062,0.855252547357613
"wsld","representative",0.8513200643277,0.00159419675831345,Inf,0.848168322449775,0.854417611570495
"COSNet","representative",0.64726757776383,0.00215922891614528,Inf,0.643024104683824,0.651487947234653
"bagsvm","representative",0.856520496970233,0.00157035242077417,Inf,0.85341509703077,0.859570934402359
"rf","representative",0.82040391244336,0.00172303517303142,Inf,0.817001991772525,0.823756234096396
"svm","representative",0.757275626258972,0.00193034963850315,Inf,0.753472203359473,0.761038979935241
