cv_scheme = classic:
 method         prob          SE  df asymp.LCL asymp.UCL
 pr        0.6827625 0.002101104 Inf 0.6786302 0.6868662
 randomraw 0.6073693 0.002208565 Inf 0.6030322 0.6116894
 random    0.5007488 0.002263445 Inf 0.4963126 0.5051849
 EGAD      0.7670923 0.001902318 Inf 0.7633431 0.7708000
 ppr       0.8760401 0.001474366 Inf 0.8731214 0.8789010
 raw       0.8987085 0.001347850 Inf 0.8960360 0.9013198
 gm        0.5852613 0.002228967 Inf 0.5808860 0.5896231
 mc        0.8952302 0.001368468 Inf 0.8925176 0.8978822
 z         0.8965789 0.001360530 Inf 0.8938818 0.8992153
 knn       0.8956089 0.001366246 Inf 0.8929006 0.8982565
 wsld      0.8948972 0.001370418 Inf 0.8921808 0.8975531
 COSNet    0.5963956 0.002219297 Inf 0.5920383 0.6007376
 bagsvm    0.8965248 0.001360850 Inf 0.8938270 0.8991617
 rf        0.8740688 0.001484558 Inf 0.8711302 0.8769498
 svm       0.8355337 0.001662604 Inf 0.8322491 0.8387665

cv_scheme = block:
 method         prob          SE  df asymp.LCL asymp.UCL
 pr        0.6829799 0.002100705 Inf 0.6788483 0.6870828
 randomraw 0.5909359 0.002224191 Inf 0.5865695 0.5952880
 random    0.4991532 0.002263445 Inf 0.4947171 0.5035894
 EGAD      0.6714903 0.002121073 Inf 0.6673197 0.6756340
 ppr       0.7935311 0.001819455 Inf 0.7899422 0.7970744
 raw       0.8005676 0.001795466 Inf 0.7970253 0.8040634
 gm        0.5189263 0.002261753 Inf 0.5144920 0.5233577
 mc        0.8204782 0.001722750 Inf 0.8170768 0.8238299
 z         0.8072470 0.001771890 Inf 0.8037503 0.8106960
 knn       0.8040291 0.001783348 Inf 0.8005102 0.8075009
 wsld      0.8035905 0.001784895 Inf 0.8000686 0.8070653
 COSNet    0.4480154 0.002250717 Inf 0.4436082 0.4524307
 bagsvm    0.8163518 0.001738433 Inf 0.8129200 0.8197346
 rf        0.7765169 0.001874047 Inf 0.7728224 0.7801685
 svm       0.7250441 0.002012899 Inf 0.7210813 0.7289717

cv_scheme = representative:
 method         prob          SE  df asymp.LCL asymp.UCL
 pr        0.6810562 0.002104220 Inf 0.6769179 0.6851661
 randomraw 0.6251957 0.002188548 Inf 0.6208965 0.6294753
 random    0.4974993 0.002263419 Inf 0.4930634 0.5019356
 EGAD      0.6850131 0.002096944 Inf 0.6808888 0.6891085
 ppr       0.8348998 0.001665233 Inf 0.8316100 0.8381377
 raw       0.8556772 0.001574265 Inf 0.8525642 0.8587354
 gm        0.4832824 0.002262139 Inf 0.4788501 0.4877173
 mc        0.8595094 0.001556335 Inf 0.8564313 0.8625322
 z         0.8571298 0.001567514 Inf 0.8540299 0.8601746
 knn       0.8521625 0.001590380 Inf 0.8490182 0.8552525
 wsld      0.8513201 0.001594197 Inf 0.8481683 0.8544176
 COSNet    0.6472676 0.002159229 Inf 0.6430241 0.6514879
 bagsvm    0.8565205 0.001570352 Inf 0.8534151 0.8595709
 rf        0.8204039 0.001723035 Inf 0.8170020 0.8237562
 svm       0.7572756 0.001930350 Inf 0.7534722 0.7610390

Results are averaged over the levels of: network, disease 
Confidence level used: 0.95 
Intervals are back-transformed from the logit scale 
