"method","network","prob","SE","df","asymp.LCL","asymp.UCL"
"pr","string",0.723291271807323,0.00117318198813711,Inf,0.720985988828244,0.725584757396859
"randomraw","string",0.653673421327064,0.00127032024173782,Inf,0.651179449471169,0.656158977347982
"random","string",0.548143617511852,0.0013555794130977,Inf,0.54548538336453,0.550799107483998
"EGAD","string",0.748615048785538,0.00113600967037082,Inf,0.746381968326466,0.750835030989518
"ppr","string",0.862651548083289,0.000868767060929134,Inf,0.860939904771176,0.864345442959824
"raw","string",0.878771951082617,0.000824293134568699,Inf,0.877147063717075,0.8803782781164
"gm","string",0.577956364095123,0.00134267446211266,Inf,0.575322580929067,0.580585720779343
"mc","string",0.883089044253471,0.00080455674061084,Inf,0.881502891962853,0.884656743095458
"z","string",0.879868757397571,0.000818354150399055,Inf,0.878255544595425,0.881463478951453
"knn","string",0.877346139305125,0.000827044688371184,Inf,0.875715925966609,0.878957925014741
"wsld","string",0.876733525085686,0.000828865722129461,Inf,0.875099756698817,0.878348893643492
"COSNet","string",0.612914497492903,0.00132839314711419,Inf,0.610307690750712,0.615514851939032
"bagsvm","string",0.881760204772642,0.000810319551168194,Inf,0.880162748652697,0.883339188923404
"rf","string",0.853705991728067,0.000898021321621542,Inf,0.851937114166349,0.855457322267104
"svm","string",0.808594031029582,0.00101569312868686,Inf,0.806595403513677,0.810576855252675
"pr","omnipath",0.638202505925419,0.00133868167968934,Inf,0.635574639454988,0.640822131690221
"randomraw","omnipath",0.560194162033301,0.00137276525128509,Inf,0.557501848535801,0.5628829382862
"random","omnipath",0.450140596276285,0.00135474170850344,Inf,0.447486796219509,0.452797236724645
"EGAD","omnipath",0.66773618381833,0.00132351899517941,Inf,0.665137066531666,0.67032512651051
"ppr","omnipath",0.80910638351352,0.0011179294162339,Inf,0.806905668808899,0.811287882365028
"raw","omnipath",0.830274841524622,0.0010771254682986,Inf,0.828153256669201,0.8323755353167
"gm","omnipath",0.480288740145291,0.00137127727714314,Inf,0.477601682325626,0.482976938787821
"mc","omnipath",0.835996666615759,0.00105541685659937,Inf,0.833917587505266,0.83805477339725
"z","omnipath",0.831726403694739,0.00107037430684665,Inf,0.829618064542654,0.833813879903455
"knn","omnipath",0.828390024498746,0.00107917912783799,Inf,0.826264526284401,0.830494853679905
"wsld","omnipath",0.827580944903844,0.00108092209770357,Inf,0.825452061412829,0.829689220569092
"COSNet","omnipath",0.516569993978716,0.00139238997761589,Inf,0.513840492678253,0.519298506956192
"bagsvm","omnipath",0.834233039049804,0.00106169076021031,Inf,0.832141684746665,0.836303462792089
"rf","omnipath",0.797492083398575,0.0011462099841327,Inf,0.795236254246178,0.799729319313762
"svm","omnipath",0.74031852101872,0.00124514310843139,Inf,0.737870650601168,0.742751501777469
