network = string:
 cv_scheme      method          prob          SE df  asymp.LCL  asymp.UCL
 classic        pr        0.12586748 0.002167635 NA 0.12168001 0.13017770
 block          pr        0.12987031 0.002196226 NA 0.12562614 0.13423585
 representative pr        0.13738131 0.002247964 NA 0.13303448 0.14184693
 classic        randomraw 0.09469554 0.001916827 NA 0.09100477 0.09851976
 block          randomraw 0.06713233 0.001640378 NA 0.06398782 0.07041975
 representative randomraw 0.07432292 0.001718837 NA 0.07102350 0.07776279
 classic        random    0.05987865 0.001555594 NA 0.05690144 0.06300123
 block          random    0.05946087 0.001550519 NA 0.05649367 0.06257358
 representative random    0.06051637 0.001563299 NA 0.05752396 0.06365393
 classic        EGAD      0.47076763 0.003126448 NA 0.46464462 0.47689946
 block          EGAD      0.25543783 0.002818775 NA 0.24995248 0.26100166
 representative EGAD      0.29894546 0.002944275 NA 0.29320692 0.30474789
 classic        ppr       0.58673060 0.003008727 NA 0.58082143 0.59261489
 block          ppr       0.37643121 0.003083317 NA 0.37040752 0.38249335
 representative ppr       0.46421549 0.003127592 NA 0.45809124 0.47035056
 classic        raw       0.64205008 0.002887829 NA 0.63637046 0.64769011
 block          raw       0.42236752 0.003120560 NA 0.41626353 0.42849531
 representative raw       0.52456461 0.003094622 NA 0.51849594 0.53062604
 classic        gm        0.31683733 0.002985482 NA 0.31101508 0.32271753
 block          gm        0.15697894 0.002372241 NA 0.15238527 0.16168468
 representative gm        0.14078303 0.002270613 NA 0.13639125 0.14529244
 classic        mc        0.56771182 0.003040577 NA 0.56174288 0.57366117
 block          mc        0.36471525 0.003068649 NA 0.35872219 0.37075055
 representative mc        0.46139981 0.003127899 NA 0.45527538 0.46753591
 classic        z         0.62532769 0.002928857 NA 0.61956984 0.63105029
 block          z         0.39105857 0.003098634 NA 0.38500252 0.39714837
 representative z         0.49567343 0.003116657 NA 0.48956584 0.50178231
 classic        knn       0.58673470 0.003008719 NA 0.58082555 0.59261898
 block          knn       0.40872790 0.003112800 NA 0.40264128 0.41484264
 representative knn       0.45031622 0.003128023 NA 0.44419325 0.45645427
 classic        wsld      0.58328492 0.003014862 NA 0.57736420 0.58918171
