"method","cv_scheme","prob","SE","df","asymp.LCL","asymp.UCL"
"pr","classic",0.101934349499104,0.00179719872466901,Inf,0.0984654651890609,0.105511138210568
"randomraw","classic",0.0761731086663865,0.00156933186658075,Inf,0.0731536902643458,0.0793064897717529
"random","classic",0.0478067706801629,0.00125587764331079,Inf,0.0454046171902113,0.0503293108386884
"EGAD","classic",0.41217657476375,0.00300138867168314,Inf,0.406306765670149,0.418071468628242
"ppr","classic",0.528108903132106,0.00304689995377129,Inf,0.522133349924569,0.53407641219582
"raw","classic",0.585734958586078,0.00300311618446386,Inf,0.579836982257528,0.591608455093107
"gm","classic",0.26771313956578,0.00267956023742464,Inf,0.26249408721031,0.272997548876789
"mc","classic",0.508651558689083,0.00305170230856723,Inf,0.502669378982868,0.51463126180898
"z","classic",0.568151242216284,0.00302120407352007,Inf,0.562220323893992,0.574062683476053
"knn","classic",0.52811312181351,0.00304689836987476,Inf,0.522137571106344,0.534080627170266
"wsld","classic",0.524570508190154,0.0030481454959396,Inf,0.518593020387597,0.530540963968935
"COSNet","classic",0.299712741434022,0.00277895272083988,Inf,0.294294559679486,0.305187537127679
"bagsvm","classic",0.571972245053089,0.00301762980832451,Inf,0.566047786410513,0.577876138382207
"rf","classic",0.581822825028682,0.00300750376547837,Inf,0.575916807121234,0.587705474957294
"svm","classic",0.528331607550991,0.00304681601773088,Inf,0.522356186969474,0.534298920293368
"pr","block",0.105267718400934,0.00182386586623573,Inf,0.101746187519896,0.108896356688514
"randomraw","block",0.0536815725097852,0.00132818560138536,Inf,0.051137127872322,0.0563451038023128
"random","block",0.0474689660397936,0.00125157084638863,Inf,0.0450752857375441,0.0499831069988163
"EGAD","block",0.212867092636318,0.00246518989806936,Inf,0.208075415837987,0.217738775496176
"ppr","block",0.322428088162173,0.00283920722631829,Inf,0.316888698673309,0.32801781244472
"raw","block",0.365638515665938,0.00293186098203544,Inf,0.359911530193312,0.371403753597854
"gm","block",0.127996326737339,0.0019919167632147,Inf,0.124142777663408,0.131951473757478
"mc","block",0.31155314115979,0.00281138992960378,Inf,0.306069765994634,0.317089864197077
"z","block",0.336088011819579,0.00287153736984433,Inf,0.330483370815102,0.341739186105877
"knn","block",0.352712233499629,0.00290706376001134,Inf,0.347035653803839,0.358430696875484
"wsld","block",0.351235291131993,0.00290407433907093,Inf,0.345564776227737,0.35694810376282
"COSNet","block",0.111068566576172,0.00186896057845059,Inf,0.10745798545691,0.114784861295866
"bagsvm","block",0.356265121110611,0.00291412323077818,Inf,0.350574210008572,0.361996919142059
"rf","block",0.361896438635266,0.0029249331858989,Inf,0.356183554465005,0.367648627821405
"svm","block",0.302312569895446,0.0027862700712222,Inf,0.296879691980368,0.307801345956791
"pr","representative",0.111538230309605,0.00187254141916588,Inf,0.107920576655399,0.115261484333639
"randomraw","representative",0.0595233680309586,0.00139573784551451,Inf,0.0568459361192117,0.0623185739933545
"random","representative",0.048322527536522,0.00126242054754569,Inf,0.0459075011494258,0.0508578275000911
"EGAD","representative",0.251573776687789,0.00262256304614127,Inf,0.246468587967638,0.256748680556125
"ppr","representative",0.405814602939994,0.00299366900858111,Inf,0.399960824310653,0.411695273816393
"raw","representative",0.465162992085523,0.00304436504871473,Inf,0.459201413045273,0.471134541065715
"gm","representative",0.114384899099345,0.00189402823210939,Inf,0.110724802620775,0.118149908484267
"mc","representative",0.403086651149655,0.00299018801453662,Inf,0.397240080748116,0.408960888198966
"z","representative",0.436539463806688,0.00302584220624261,Inf,0.430618268737382,0.442478805439529
"knn","representative",0.392383336028839,0.00297553292749973,Inf,0.386566999596906,0.398230373614373
"wsld","representative",0.389324136016018,0.00297105050677563,Inf,0.3835170159591,0.395162823330591
"COSNet","representative",0.208662652162887,0.00244619679673499,Inf,0.203908742796409,0.213497670481994
"bagsvm","representative",0.452469603357664,0.00303750108643962,Inf,0.446523288597745,0.458429516636997
"rf","representative",0.428361891797115,0.00301853206243506,Inf,0.422456186760222,0.434288074899191
"svm","representative",0.365384116494053,0.00293139644184571,Inf,0.359658077083498,0.371148479953796
