cv_scheme = classic:
 method          prob          SE  df  asymp.LCL  asymp.UCL
 pr        0.10193435 0.001797199 Inf 0.09846547 0.10551114
 randomraw 0.07617311 0.001569332 Inf 0.07315369 0.07930649
 random    0.04780677 0.001255878 Inf 0.04540462 0.05032931
 EGAD      0.41217657 0.003001389 Inf 0.40630677 0.41807147
 ppr       0.52810890 0.003046900 Inf 0.52213335 0.53407641
 raw       0.58573496 0.003003116 Inf 0.57983698 0.59160846
 gm        0.26771314 0.002679560 Inf 0.26249409 0.27299755
 mc        0.50865156 0.003051702 Inf 0.50266938 0.51463126
 z         0.56815124 0.003021204 Inf 0.56222032 0.57406268
 knn       0.52811312 0.003046898 Inf 0.52213757 0.53408063
 wsld      0.52457051 0.003048145 Inf 0.51859302 0.53054096
 COSNet    0.29971274 0.002778953 Inf 0.29429456 0.30518754
 bagsvm    0.57197225 0.003017630 Inf 0.56604779 0.57787614
 rf        0.58182283 0.003007504 Inf 0.57591681 0.58770547
 svm       0.52833161 0.003046816 Inf 0.52235619 0.53429892

cv_scheme = block:
 method          prob          SE  df  asymp.LCL  asymp.UCL
 pr        0.10526772 0.001823866 Inf 0.10174619 0.10889636
 randomraw 0.05368157 0.001328186 Inf 0.05113713 0.05634510
 random    0.04746897 0.001251571 Inf 0.04507529 0.04998311
 EGAD      0.21286709 0.002465190 Inf 0.20807542 0.21773878
 ppr       0.32242809 0.002839207 Inf 0.31688870 0.32801781
 raw       0.36563852 0.002931861 Inf 0.35991153 0.37140375
 gm        0.12799633 0.001991917 Inf 0.12414278 0.13195147
 mc        0.31155314 0.002811390 Inf 0.30606977 0.31708986
 z         0.33608801 0.002871537 Inf 0.33048337 0.34173919
 knn       0.35271223 0.002907064 Inf 0.34703565 0.35843070
 wsld      0.35123529 0.002904074 Inf 0.34556478 0.35694810
 COSNet    0.11106857 0.001868961 Inf 0.10745799 0.11478486
 bagsvm    0.35626512 0.002914123 Inf 0.35057421 0.36199692
 rf        0.36189644 0.002924933 Inf 0.35618355 0.36764863
 svm       0.30231257 0.002786270 Inf 0.29687969 0.30780135

cv_scheme = representative:
 method          prob          SE  df  asymp.LCL  asymp.UCL
 pr        0.11153823 0.001872541 Inf 0.10792058 0.11526148
 randomraw 0.05952337 0.001395738 Inf 0.05684594 0.06231857
 random    0.04832253 0.001262421 Inf 0.04590750 0.05085783
 EGAD      0.25157378 0.002622563 Inf 0.24646859 0.25674868
 ppr       0.40581460 0.002993669 Inf 0.39996082 0.41169527
 raw       0.46516299 0.003044365 Inf 0.45920141 0.47113454
 gm        0.11438490 0.001894028 Inf 0.11072480 0.11814991
 mc        0.40308665 0.002990188 Inf 0.39724008 0.40896089
 z         0.43653946 0.003025842 Inf 0.43061827 0.44247881
 knn       0.39238334 0.002975533 Inf 0.38656700 0.39823037
 wsld      0.38932414 0.002971051 Inf 0.38351702 0.39516282
 COSNet    0.20866265 0.002446197 Inf 0.20390874 0.21349767
 bagsvm    0.45246960 0.003037501 Inf 0.44652329 0.45842952
 rf        0.42836189 0.003018532 Inf 0.42245619 0.43428807
 svm       0.36538412 0.002931396 Inf 0.35965808 0.37114848

Results are averaged over the levels of: network, disease 
Confidence level used: 0.95 
Intervals are back-transformed from the logit scale 
