"method","prob","SE","df","asymp.LCL","asymp.UCL"
"pr",0.06107393821092,0.000817794767837272,Inf,0.0594906181887433,0.0626965885729813
"randomraw",0.028738418082333,0.000570555194492701,Inf,0.0276410164928575,0.0298780498682811
"random",0.0237569040954593,0.000515066707575966,Inf,0.0227680467115465,0.0247876199629695
"EGAD",0.175296378637519,0.00138022389263689,Inf,0.172607604817994,0.178018024919219
"ppr",0.290103325737601,0.00163488339850727,Inf,0.286909508031416,0.293318072255105
"raw",0.334559456400247,0.00170453852721868,Inf,0.331226958216553,0.337908542261306
"gm",0.13794261079555,0.00124509010006647,Inf,0.135520361481157,0.140401123134555
"mc",0.253284915545342,0.00155499899375149,Inf,0.250249307766352,0.256344756254117
"z",0.315685305257092,0.00168325572527169,Inf,0.312395508724562,0.318993673960328
"knn",0.30187471412988,0.00164351957117915,Inf,0.298663262810922,0.305105674799338
"wsld",0.298020793768232,0.00163638863074001,Inf,0.294823494032224,0.301237955463321
"COSNet",0.153238691675859,0.00131895787181654,Inf,0.150671402637186,0.155841698227877
"bagsvm",0.328787690866801,0.00169536836781121,Inf,0.325473436467102,0.332119076961268
"rf",0.364610537321049,0.00173692621226153,Inf,0.361213044966146,0.368021575038894
"svm",0.309725010016652,0.00166800114030511,Inf,0.306465335598773,0.313003707868253
