"method","cv_scheme","network","prob","SE","df","asymp.LCL","asymp.UCL"
"pr","classic","string",0.071062860775785,0.00167055070329724,Inf,0.0678574933061573,0.0744075531111802
"randomraw","classic","string",0.0457420994921311,0.0013576231373732,Inf,0.0431536858610901,0.0484779035563339
"random","classic","string",0.0294065443794879,0.00109718704628053,Inf,0.0273306815870181,0.0316349483499476
"EGAD","classic","string",0.354792410775204,0.00306903622690671,Inf,0.34880041827331,0.360830302156178
"ppr","classic","string",0.464974209799673,0.00315199834060215,Inf,0.458802092251262,0.471157073134175
"raw","classic","string",0.514872978113114,0.00313110293886967,Inf,0.508734194709462,0.521007276959137
"gm","classic","string",0.291294554365451,0.00293238058433284,Inf,0.285580762342583,0.29707512863958
"mc","classic","string",0.394453487128636,0.0031202075088295,Inf,0.388354806338347,0.400585216243009
"z","classic","string",0.503137677148745,0.00313917449988392,Inf,0.496984843623178,0.509289560510245
"knn","classic","string",0.465062343744745,0.00315199258069546,Inf,0.45889022381981,0.471245182111768
"wsld","classic","string",0.458853265401697,0.00315212570260347,Inf,0.452681848963185,0.465037330234315
"COSNet","classic","string",0.313066932240767,0.00298725905142023,Inf,0.307242016440466,0.318951436761677
"bagsvm","classic","string",0.505857392259906,0.00313747576137337,Inf,0.499707476741722,0.512005535764505
"rf","classic","string",0.551520564856126,0.00309350999232573,Inf,0.545450034058803,0.557575782564814
"svm","classic","string",0.495702393941535,0.00314328811238502,Inf,0.489542626615223,0.501863466143963
"pr","block","string",0.073162679986574,0.00169319423150642,Inf,0.0699126204406922,0.0765513912141117
"randomraw","block","string",0.029466923448152,0.00109828182264366,Inf,0.0273889078645549,0.0316974613603363
"random","block","string",0.0291203170137329,0.00109198179075644,Inf,0.0270546899210199,0.0313385749866785
"EGAD","block","string",0.138383513891841,0.00224527870222387,Inf,0.134041294937547,0.142843194285302
"ppr","block","string",0.242047331751814,0.00277412404088355,Inf,0.23665179180829,0.247525997789452
"raw","block","string",0.275471869339244,0.00288688958395926,Inf,0.269849832015821,0.281165931817508
"gm","block","string",0.126643424756269,0.00216281969434548,Inf,0.122464682366873,0.130943477807298
"mc","block","string",0.215047400802493,0.00266495178788788,Inf,0.209870252482159,0.220316650122524
"z","block","string",0.252768057587336,0.0028128638931489,Inf,0.247294831532839,0.25832084671016
"knn","block","string",0.281614144597483,0.00290512621105626,Inf,0.275955356930641,0.287342920899959
"wsld","block","string",0.279813737505461,0.00289985749630421,Inf,0.274165571535958,0.285532488897182
"COSNet","block","string",0.102794178860786,0.00197516756581981,Inf,0.0989869573719286,0.106730487275242
"bagsvm","block","string",0.272184132297027,0.00287682138325673,Inf,0.26658236748692,0.277859012908268
"rf","block","string",0.318595254024467,0.00299982349334466,Inf,0.31274480893774,0.324503466024509
"svm","block","string",0.264621620440382,0.00285283581613143,Inf,0.25906810685495,0.270250759868495
"pr","representative","string",0.0802922686620903,0.00176712045488688,Inf,0.0768962497116955,0.0838246488532498
"randomraw","representative","string",0.0329713883421589,0.00115982017811323,Inf,0.0307723359219989,0.0353218624112734
"random","representative","string",0.0294818478559592,0.00109855192246935,Inf,0.0274033010955251,0.0317129121976808
"EGAD","representative","string",0.172385509389629,0.00245415263480589,Inf,0.167628453100808,0.177248816986411
"ppr","representative","string",0.320206475681598,0.00300338341252245,Inf,0.314348790117723,0.326121397601821
"raw","representative","string",0.376278272838191,0.00309985196207243,Inf,0.370222408783762,0.382373051261716
"gm","representative","string",0.116358471800432,0.00208546013176322,Inf,0.112332968571736,0.120508646782823
"mc","representative","string",0.295231829861205,0.00294295490041774,Inf,0.289496667485877,0.301032471645402
"z","representative","string",0.354421349325411,0.00306843835244412,Inf,0.348430588807817,0.360458129776988
"knn","representative","string",0.312446001630113,0.00298581378302152,Inf,0.30662402002004,0.318327776713538
"wsld","representative","string",0.307917608141087,0.0029750638010295,Inf,0.302117436709486,0.313779067055042
"COSNet","representative","string",0.178596308456481,0.00248809117858021,Inf,0.173771729684679,0.183525082996773
"bagsvm","representative","string",0.370312114881997,0.00309203824060158,Inf,0.364272527897175,0.376392550552188
"rf","representative","string",0.386320996370145,0.00311173609703087,Inf,0.380240223844092,0.392437436849401
"svm","representative","string",0.328508750930538,0.00302100592849309,Inf,0.32261517094522,0.334456836506368
"pr","classic","omnipath",0.047253974128394,0.00114290694365161,Inf,0.0450637090281133,0.0495451710858555
"randomraw","classic","omnipath",0.0301414110050715,0.000911216324851965,Inf,0.028405820577739,0.0319795552934578
"random","classic","omnipath",0.0192647445420539,0.000727375099677743,Inf,0.0178896483810137,0.0207433056590362
"EGAD","classic","omnipath",0.262817689276897,0.00260974929878536,Inf,0.257734797956287,0.267964634136984
"ppr","classic","omnipath",0.36039079302404,0.00292761678966459,Inf,0.354672935881048,0.366148528839859
"raw","classic","omnipath",0.407616869378441,0.00303020453154146,Inf,0.401691540229888,0.413569186257375
"gm","classic","omnipath",0.210412559942464,0.00237285587279717,Inf,0.20579954400571,0.215100971921228
"mc","classic","omnipath",0.296928852964087,0.00273794906502486,Inf,0.291590730304694,0.302322994895361
"z","classic","omnipath",0.396329038293977,0.00300858287358456,Inf,0.390447649577284,0.402240557761367
"knn","classic","omnipath",0.360472459556121,0.00292782195412364,Inf,0.354754189540353,0.366230586561324
"wsld","classic","omnipath",0.35473378044362,0.00291316737721777,Inf,0.349044986020117,0.360463950140526
"COSNet","classic","omnipath",0.228085147096487,0.00245851934025156,Inf,0.223302429142557,0.232939580016732
"bagsvm","classic","omnipath",0.398934961611987,0.00301373475818309,Inf,0.393043116333387,0.40485621535724
"rf","classic","omnipath",0.44361113580398,0.00308717532448738,Inf,0.437569038314667,0.449669960313275
"svm","classic","omnipath",0.38923565648641,0.00299407015514,Inf,0.383383684179308,0.395119715338158
"pr","block","omnipath",0.0486871431441582,0.00116023748863222,Inf,0.0464628525850858,0.0510122193661194
