network = string:
 cv_scheme      method          prob           SE df  asymp.LCL  asymp.UCL
 classic        pr        0.07106286 0.0016705507 NA 0.06785749 0.07440755
 block          pr        0.07316268 0.0016931942 NA 0.06991262 0.07655139
 representative pr        0.08029227 0.0017671205 NA 0.07689625 0.08382465
 classic        randomraw 0.04574210 0.0013576231 NA 0.04315369 0.04847790
 block          randomraw 0.02946692 0.0010982818 NA 0.02738891 0.03169746
 representative randomraw 0.03297139 0.0011598202 NA 0.03077234 0.03532186
 classic        random    0.02940654 0.0010971870 NA 0.02733068 0.03163495
 block          random    0.02912032 0.0010919818 NA 0.02705469 0.03133857
 representative random    0.02948185 0.0010985519 NA 0.02740330 0.03171291
 classic        EGAD      0.35479241 0.0030690362 NA 0.34880042 0.36083030
 block          EGAD      0.13838351 0.0022452787 NA 0.13404129 0.14284319
 representative EGAD      0.17238551 0.0024541526 NA 0.16762845 0.17724882
 classic        ppr       0.46497421 0.0031519983 NA 0.45880209 0.47115707
 block          ppr       0.24204733 0.0027741240 NA 0.23665179 0.24752600
 representative ppr       0.32020648 0.0030033834 NA 0.31434879 0.32612140
 classic        raw       0.51487298 0.0031311029 NA 0.50873419 0.52100728
 block          raw       0.27547187 0.0028868896 NA 0.26984983 0.28116593
 representative raw       0.37627827 0.0030998520 NA 0.37022241 0.38237305
 classic        gm        0.29129455 0.0029323806 NA 0.28558076 0.29707513
 block          gm        0.12664342 0.0021628197 NA 0.12246468 0.13094348
 representative gm        0.11635847 0.0020854601 NA 0.11233297 0.12050865
 classic        mc        0.39445349 0.0031202075 NA 0.38835481 0.40058522
 block          mc        0.21504740 0.0026649518 NA 0.20987025 0.22031665
 representative mc        0.29523183 0.0029429549 NA 0.28949667 0.30103247
 classic        z         0.50313768 0.0031391745 NA 0.49698484 0.50928956
 block          z         0.25276806 0.0028128639 NA 0.24729483 0.25832085
 representative z         0.35442135 0.0030684384 NA 0.34843059 0.36045813
 classic        knn       0.46506234 0.0031519926 NA 0.45889022 0.47124518
 block          knn       0.28161414 0.0029051262 NA 0.27595536 0.28734292
 representative knn       0.31244600 0.0029858138 NA 0.30662402 0.31832778
