"cv_scheme","method","prob","SE","df","asymp.LCL","asymp.UCL"
"classic","pr",0.0580228610695646,0.00137968713177646,NA,0.0553771180855092,0.0607868750307019
"block","pr",0.0597621533655525,0.00139944343446822,NA,0.0570775192001036,0.0625646806243912
"representative","pr",0.0656784187973188,0.00146429325432142,NA,0.0628660953532552,0.0686073414230895
"classic","randomraw",0.0371625676179279,0.00111111599837574,NA,0.0350451210212976,0.039402727407453
"block","randomraw",0.0238636760170636,0.000893655151666119,NA,0.022173452945776,0.0256793566922628
"representative","randomraw",0.0267201001510646,0.000944908497383302,NA,0.0249292296177634,0.0286358452940878
"classic","random",0.0238144965345577,0.000892745124752811,NA,0.0221260602067246,0.0256284003958035
"block","random",0.0235813767105432,0.000888419089659456,NA,0.0219014341235454,0.025386834177982
"representative","random",0.0238758323072815,0.000893879685004566,NA,0.0221851683507236,0.0256919513406326
"classic","EGAD",0.306888382913302,0.00281683057540142,NA,0.301395337381151,0.312436767859082
"block","EGAD",0.114513039152244,0.00190004588072516,NA,0.110841411197339,0.118290109766083
"representative","EGAD",0.143627556195994,0.00210279077929474,NA,0.139555172155346,0.147798364601871
"classic","ppr",0.411685804407824,0.00302213339753314,NA,0.405775591344098,0.417621601414109
"block","ppr",0.204540271245386,0.00243912243273821,NA,0.1998011615262,0.209362378441297
"representative","ppr",0.27498201212315,0.00272003534397705,NA,0.269683040971339,0.280345134271761
"classic","raw",0.460791111324633,0.00306412990360331,NA,0.454791505094258,0.466802099645248
"block","raw",0.234387082283792,0.00257038011794254,NA,0.229386843940335,0.239462447316827
"representative","raw",0.326943247032571,0.00286903371696631,NA,0.321345105573115,0.332591119035256
"classic","gm",0.248659825137329,0.00262658541589287,NA,0.243547541567006,0.253843409570494
"block","gm",0.104552322152609,0.00182246582131555,NA,0.101033866927697,0.108178561201244
"representative","gm",0.095864503474997,0.00175073367372991,NA,0.0924875980468769,0.0993512082405691
"classic","mc",0.344049939136981,0.00290855033347879,NA,0.338371954372147,0.349772832881445
"block","mc",0.18072658585895,0.00231966754689921,NA,0.176224610310098,0.1853176994342
"representative","mc",0.252225922418703,0.0026400053590253,NA,0.247086862029414,0.257435321959877
"classic","z",0.449147231991003,0.00305716037871974,NA,0.443162970238115,0.455146251188524
"block","z",0.214068929416573,0.00248314216795287,NA,0.209242319036028,0.218976044591412
"representative","z",0.306543618879437,0.00281587627112235,NA,0.301052491282559,0.312090181866775
"classic","knn",0.411771611472797,0.00302223584307763,NA,0.405861185305142,0.417707596859509
"block","knn",0.239916624178187,0.00259263577405512,NA,0.234872037853577,0.245034859497125
"representative","knn",0.267885670389361,0.0026960974912047,NA,0.262634574382877,0.273202856336913
"classic","wsld",0.405734378569654,0.00301477616422291,NA,0.399839438892671,0.411656615948885
"block","wsld",0.238294369910487,0.00258617024058723,NA,0.233262669628348,0.243400153312822
"representative","wsld",0.263755356887489,0.00268174470365025,NA,0.258532947193251,0.269044981287602
"classic","COSNet",0.268452621509021,0.00269804335219951,NA,0.263197635329431,0.273773543019077
"block","COSNet",0.084460908375792,0.00165002271179801,NA,0.0812826210299997,0.0877516018071948
"representative","COSNet",0.148988770089257,0.00213674222210823,NA,0.144849202683154,0.153225442593989
"classic","bagsvm",0.451840502291041,0.00305893637438167,NA,0.445852370266174,0.457842611352195
"block","bagsvm",0.231433060655993,0.00255823604572904,NA,0.22645701165762,0.23648502336712
"representative","bagsvm",0.321356301207768,0.00285513768524281,NA,0.315786172644932,0.3269777278164
"classic","rf",0.497537171370118,0.00307409939804194,NA,0.491512696471753,0.503562361463812
"block","rf",0.273506795260283,0.00271513345584291,NA,0.268217631119554,0.278860514136009
"representative","rf",0.336379364832256,0.00289139121721332,NA,0.330736086215373,0.342069718368411
"classic","svm",0.441800367285116,0.00305181256313644,NA,0.435827648440216,0.447789971275294
"block","svm",0.22465330964889,0.00252968052261532,NA,0.219734113915045,0.229650218917849
"representative","svm",0.282599167621767,0.00274473301399442,NA,0.277250756863125,0.288009639317194
