cv_scheme = classic:
 method          prob           SE  df  asymp.LCL  asymp.UCL
 pr        0.05802286 0.0013796871 Inf 0.05537712 0.06078688
 randomraw 0.03716257 0.0011111160 Inf 0.03504512 0.03940273
 random    0.02381450 0.0008927451 Inf 0.02212606 0.02562840
 EGAD      0.30688838 0.0028168306 Inf 0.30139534 0.31243677
 ppr       0.41168580 0.0030221334 Inf 0.40577559 0.41762160
 raw       0.46079111 0.0030641299 Inf 0.45479151 0.46680210
 gm        0.24865983 0.0026265854 Inf 0.24354754 0.25384341
 mc        0.34404994 0.0029085503 Inf 0.33837195 0.34977283
 z         0.44914723 0.0030571604 Inf 0.44316297 0.45514625
 knn       0.41177161 0.0030222358 Inf 0.40586119 0.41770760
 wsld      0.40573438 0.0030147762 Inf 0.39983944 0.41165662
 COSNet    0.26845262 0.0026980434 Inf 0.26319764 0.27377354
 bagsvm    0.45184050 0.0030589364 Inf 0.44585237 0.45784261
 rf        0.49753717 0.0030740994 Inf 0.49151270 0.50356236
 svm       0.44180037 0.0030518126 Inf 0.43582765 0.44778997

cv_scheme = block:
 method          prob           SE  df  asymp.LCL  asymp.UCL
 pr        0.05976215 0.0013994434 Inf 0.05707752 0.06256468
 randomraw 0.02386368 0.0008936552 Inf 0.02217345 0.02567936
 random    0.02358138 0.0008884191 Inf 0.02190143 0.02538683
 EGAD      0.11451304 0.0019000459 Inf 0.11084141 0.11829011
 ppr       0.20454027 0.0024391224 Inf 0.19980116 0.20936238
 raw       0.23438708 0.0025703801 Inf 0.22938684 0.23946245
 gm        0.10455232 0.0018224658 Inf 0.10103387 0.10817856
 mc        0.18072659 0.0023196675 Inf 0.17622461 0.18531770
 z         0.21406893 0.0024831422 Inf 0.20924232 0.21897604
 knn       0.23991662 0.0025926358 Inf 0.23487204 0.24503486
 wsld      0.23829437 0.0025861702 Inf 0.23326267 0.24340015
 COSNet    0.08446091 0.0016500227 Inf 0.08128262 0.08775160
 bagsvm    0.23143306 0.0025582360 Inf 0.22645701 0.23648502
 rf        0.27350680 0.0027151335 Inf 0.26821763 0.27886051
 svm       0.22465331 0.0025296805 Inf 0.21973411 0.22965022

cv_scheme = representative:
 method          prob           SE  df  asymp.LCL  asymp.UCL
 pr        0.06567842 0.0014642933 Inf 0.06286610 0.06860734
 randomraw 0.02672010 0.0009449085 Inf 0.02492923 0.02863585
 random    0.02387583 0.0008938797 Inf 0.02218517 0.02569195
 EGAD      0.14362756 0.0021027908 Inf 0.13955517 0.14779836
 ppr       0.27498201 0.0027200353 Inf 0.26968304 0.28034513
 raw       0.32694325 0.0028690337 Inf 0.32134511 0.33259112
 gm        0.09586450 0.0017507337 Inf 0.09248760 0.09935121
 mc        0.25222592 0.0026400054 Inf 0.24708686 0.25743532
 z         0.30654362 0.0028158763 Inf 0.30105249 0.31209018
 knn       0.26788567 0.0026960975 Inf 0.26263457 0.27320286
 wsld      0.26375536 0.0026817447 Inf 0.25853295 0.26904498
 COSNet    0.14898877 0.0021367422 Inf 0.14484920 0.15322544
 bagsvm    0.32135630 0.0028551377 Inf 0.31578617 0.32697773
 rf        0.33637936 0.0028913912 Inf 0.33073609 0.34206972
 svm       0.28259917 0.0027447330 Inf 0.27725076 0.28800964

Results are averaged over the levels of: network, disease 
Confidence level used: 0.95 
Intervals are back-transformed from the logit scale 
