"cv_scheme","method","network","rate","SE","df","asymp.LCL","asymp.UCL"
"classic","pr","string",2.71534508317282,0.0595116373833589,NA,2.60117414247199,2.83452722381127
"block","pr","string",2.71631960587285,0.0595223730749115,NA,2.60212763463543,2.83552278644586
"representative","pr","string",2.10919196375693,0.0524187268103871,NA,2.00891521527705,2.2144741132658
"classic","randomraw","string",2.06273971506051,0.0518358585860289,NA,1.96360469476286,2.16687968990711
"block","randomraw","string",1.24446548794054,0.0402296739631054,NA,1.16806275315037,1.32586570926786
"representative","randomraw","string",1.04566285713675,0.0368693082047119,NA,0.975840722116701,1.12048081824632
"classic","random","string",1.3195037358352,0.0414279565596932,NA,1.24075425516995,1.40325137038888
"block","random","string",1.28523302088429,0.0408850330648381,NA,1.20754682772659,1.36791706958578
"representative","random","string",0.844911180922545,0.0331351461464118,NA,0.782400681426162,0.912416004478263
"classic","EGAD","string",15.6196498360166,0.144546178222154,NA,15.3388983296252,15.9055400040412
"block","EGAD","string",5.58758832104904,0.0856118329373817,NA,5.42228665109084,5.75792931184164
"representative","EGAD","string",4.75404657162681,0.0789035366441709,NA,4.60188676169097,4.91123749357358
"classic","ppr","string",19.4352310475185,0.161830524052055,NA,19.1206232234645,19.7550153808211
"block","ppr","string",9.34226186379922,0.111108623641498,NA,9.12701146192082,9.56258870671224
"representative","ppr","string",8.78499729983435,0.107685149795202,NA,8.57645344201305,8.99861208131064
"classic","raw","string",21.5031682169735,0.170559605696637,NA,21.1714625798304,21.8400708795606
"block","raw","string",10.9728007613927,0.120606784410369,NA,10.7389438196051,11.2117502960963
"representative","raw","string",10.3348132337757,0.116975283113816,NA,10.1080702224036,10.5666425170151
"classic","gm","string",12.7487059617401,0.13022561496126,NA,12.4960064923781,13.0065156254553
"block","gm","string",5.95287191311701,0.0883976464101334,NA,5.78211270631308,6.12867403557986
"representative","gm","string",3.48294412992996,0.0674515168070747,NA,3.35321915446022,3.61768773629898
"classic","mc","string",16.3537902700361,0.148008924917039,NA,16.0662558657907,16.6464706170771
"block","mc","string",8.5308092955775,0.106089411825208,NA,8.32539148375574,8.74129551499259
"representative","mc","string",7.96802243631251,0.102473771892672,NA,7.76968768443964,8.1714200266672
"classic","z","string",21.3193082675687,0.169799044846449,NA,20.9890923393963,21.654719397013
"block","z","string",10.0767271387188,0.115476373553052,NA,9.85292043285524,10.3056175598047
"representative","z","string",9.75529706816023,0.113584038841308,NA,9.53519738551187,9.98047728226939
"classic","knn","string",20.0586007346351,0.164503565288081,NA,19.7387571338309,20.3836270289737
"block","knn","string",11.9697374835193,0.126088900990506,NA,11.7251414576125,12.2194359822709
"representative","knn","string",8.53909273852779,0.106141766872884,NA,8.33357236317993,8.74968160345519
"classic","wsld","string",19.7019254264255,0.162978735193909,NA,19.3850685576708,20.0239614502075
"block","wsld","string",12.1527853306741,0.127071972883683,NA,11.9062635498574,12.4044113986724
"representative","wsld","string",8.37732197032344,0.105114890639402,NA,8.17381324698617,8.58589758217688
"classic","COSNet","string",13.7157573210658,0.135201273139457,NA,13.4533111004337,13.9833233236022
"block","COSNet","string",4.45665472766906,0.0763733307080341,NA,4.30945169744055,4.60888594561836
"representative","COSNet","string",4.96941608833255,0.0806881375943223,NA,4.8137601649157,5.13010524266757
"classic","bagsvm","string",21.1861234985654,0.169246296269816,NA,20.856990239758,21.5204506372571
"block","bagsvm","string",10.904584172391,0.120223307285031,NA,10.6714784405403,11.1427818212168
"representative","bagsvm","string",10.1990297375722,0.11618890710834,NA,9.97382720503649,10.4293171968484
"classic","rf","string",23.7033156327321,0.179448611085146,NA,23.35419933932,24.0576507814154
"block","rf","string",12.898944877994,0.131009810915509,NA,12.6447092496751,13.158292190056
"representative","rf","string",10.7509344266867,0.11935542694834,NA,10.5195288255434,10.9874304223837
"classic","svm","string",21.4684102406726,0.170416045659294,NA,21.1369857940512,21.8050313678846
"block","svm","string",10.9123803539911,0.120267190067434,NA,10.6791886582264,11.1506640439806
"representative","svm","string",9.34047523884916,0.111097804799529,NA,9.12524603088275,9.56078087015857
"classic","pr","omnipath",1.99426753787997,0.043789537571252,NA,1.91026222596269,2.08196705069512
"block","pr","omnipath",1.99498326973948,0.0437974661581342,NA,1.91096242862131,2.08269832359386
"representative","pr","omnipath",1.54908232126533,0.0385545032223293,NA,1.47533034699286,1.62652116724093
"classic","randomraw","omnipath",1.51496576929892,0.0381245860184546,NA,1.44205580712274,1.59156203997875
"block","randomraw","omnipath",0.913989584598897,0.0295717908384284,NA,0.857829425561871,0.973826422669167
"representative","randomraw","omnipath",0.767980285260092,0.0270979680384908,NA,0.716664124671829,0.822970898422251
"classic","random","omnipath",0.96910093777573,0.0304541876015987,NA,0.911212854867472,1.03066656992497
"block","random","omnipath",0.943931034049649,0.0300543702946012,NA,0.886825888781393,1.00471333585716
"representative","random","omnipath",0.620539522194653,0.0243500919088997,NA,0.574603321810759,0.670148055169768
"classic","EGAD","omnipath",11.4717502442166,0.107267976512795,NA,11.263423692172,11.6839299721226
"block","EGAD","omnipath",4.10376790514038,0.0631170188159297,NA,3.98190678617836,4.22935842639936
"representative","EGAD","omnipath",3.49157858797334,0.0581387213738218,NA,3.37946813493385,3.60740819242332
"classic","ppr","omnipath",14.2740790514825,0.120384332458055,NA,14.0400694999491,14.5119889020997
"block","ppr","omnipath",6.86136347118686,0.0821192385876718,NA,6.70228580139787,7.02421682374667
"representative","ppr","omnipath",6.45208413619073,0.079559740008884,NA,6.29801913465031,6.60991794569952
"classic","raw","omnipath",15.7928620573613,0.127041088319357,NA,15.5458187044315,16.0438312516628
"block","raw","omnipath",8.0589021607893,0.0892345898415043,NA,7.88588975126284,8.23571037456796
"representative","raw","omnipath",7.59033637009715,0.0865116073969774,NA,7.42265659773234,7.76180407279258
"classic","gm","omnipath",9.36320418610194,0.0964626508992709,NA,9.17603687995821,9.55418921889035
"block","gm","omnipath",4.37204806381919,0.065186826069975,NA,4.24613299346877,4.50169702685873
"representative","gm","omnipath",2.5580256659138,0.0496577527873485,NA,2.46252654793445,2.65722833037572
"classic","mc","omnipath",12.0109349117136,0.109889003656815,NA,11.7974760004827,12.2282560649005
"block","mc","omnipath",6.26539740950198,0.0783676137652059,NA,6.11366715950519,6.42089333207522
"representative","mc","omnipath",5.85206226063531,0.0756685523965915,NA,5.70561811328927,6.00226513979026
"classic","z","omnipath",15.6578273132006,0.126460194736791,NA,15.4119213198643,15.9076568768889
"block","z","omnipath",7.40078671597042,0.0853886080061325,NA,7.23530622805849,7.57005194927064
"representative","z","omnipath",7.16471449097558,0.083971604592081,NA,7.00200908524523,7.33120067572687
"classic","knn","omnipath",14.7319088642819,0.122420406105345,NA,14.4939126683909,14.9738130586931
"block","knn","omnipath",8.79109585306743,0.0933512903696804,NA,8.61002153184761,8.97597828436966
"representative","knn","omnipath",6.27148113030785,0.0784067176345905,NA,6.1196742960586,6.42705373930424
"classic","wsld","omnipath",14.4699510037015,0.121258677708323,NA,14.2342294734195,14.7095761270751
