network = string:
 cv_scheme      method          rate         SE df  asymp.LCL  asymp.UCL
 classic        pr         2.7153451 0.05951164 NA  2.6011741  2.8345272
 block          pr         2.7163196 0.05952237 NA  2.6021276  2.8355228
 representative pr         2.1091920 0.05241873 NA  2.0089152  2.2144741
 classic        randomraw  2.0627397 0.05183586 NA  1.9636047  2.1668797
 block          randomraw  1.2444655 0.04022967 NA  1.1680628  1.3258657
 representative randomraw  1.0456629 0.03686931 NA  0.9758407  1.1204808
 classic        random     1.3195037 0.04142796 NA  1.2407543  1.4032514
 block          random     1.2852330 0.04088503 NA  1.2075468  1.3679171
 representative random     0.8449112 0.03313515 NA  0.7824007  0.9124160
 classic        EGAD      15.6196498 0.14454618 NA 15.3388983 15.9055400
 block          EGAD       5.5875883 0.08561183 NA  5.4222867  5.7579293
 representative EGAD       4.7540466 0.07890354 NA  4.6018868  4.9112375
 classic        ppr       19.4352310 0.16183052 NA 19.1206232 19.7550154
 block          ppr        9.3422619 0.11110862 NA  9.1270115  9.5625887
 representative ppr        8.7849973 0.10768515 NA  8.5764534  8.9986121
 classic        raw       21.5031682 0.17055961 NA 21.1714626 21.8400709
 block          raw       10.9728008 0.12060678 NA 10.7389438 11.2117503
 representative raw       10.3348132 0.11697528 NA 10.1080702 10.5666425
 classic        gm        12.7487060 0.13022561 NA 12.4960065 13.0065156
 block          gm         5.9528719 0.08839765 NA  5.7821127  6.1286740
 representative gm         3.4829441 0.06745152 NA  3.3532192  3.6176877
 classic        mc        16.3537903 0.14800892 NA 16.0662559 16.6464706
 block          mc         8.5308093 0.10608941 NA  8.3253915  8.7412955
 representative mc         7.9680224 0.10247377 NA  7.7696877  8.1714200
 classic        z         21.3193083 0.16979904 NA 20.9890923 21.6547194
 block          z         10.0767271 0.11547637 NA  9.8529204 10.3056176
 representative z          9.7552971 0.11358404 NA  9.5351974  9.9804773
 classic        knn       20.0586007 0.16450357 NA 19.7387571 20.3836270
