cv_scheme = classic:
 method          rate         SE  df  asymp.LCL  asymp.UCL
 pr         2.3270420 0.05089320 Inf  2.2294008  2.4289596
 randomraw  1.7677613 0.04435157 Inf  1.6829365  1.8568615
 random     1.1308105 0.03546698 Inf  1.0633899  1.2025055
 EGAD      13.3859898 0.12239587 Inf 13.1482350 13.6280437
 ppr       16.6559306 0.13663902 Inf 16.3902646 16.9259028
 raw       18.4281461 0.14378709 Inf 18.1484725 18.7121296
 gm        10.9256001 0.11050994 Inf 10.7111374 11.1443568
 mc        14.0151458 0.12525857 Inf 13.7717812 14.2628109
 z         18.2705787 0.14316553 Inf 17.9921232 18.5533438
 knn       17.1901564 0.13883122 Inf 16.9201945 17.4644256
 wsld      16.8844868 0.13758104 Inf 16.6169748 17.1563055
 COSNet    11.7543600 0.11464807 Inf 11.5317881 11.9812277
 bagsvm    18.1564398 0.14271364 Inf 17.8788698 18.4383191
 rf        20.3136654 0.15103372 Inf 20.0197912 20.6118534
 svm       18.3983586 0.14366979 Inf 18.1189149 18.6821121

cv_scheme = block:
 method          rate         SE  df  asymp.LCL  asymp.UCL
 pr         2.3278772 0.05090234 Inf  2.2302181  2.4298127
 randomraw  1.0665029 0.03444314 Inf  1.0010878  1.1361926
 random     1.1014406 0.03500312 Inf  1.0349286  1.1722271
 EGAD       4.7885453 0.07305057 Inf  4.6474881  4.9338837
 ppr        8.0062884 0.09453270 Inf  7.8231352  8.1937296
 raw        9.4036550 0.10248595 Inf  9.2049164  9.6066845
 gm         5.1015921 0.07540634 Inf  4.9559187  5.2515474
 mc         7.3108762 0.09031850 Inf  7.1359811  7.4900577
 z          8.6357228 0.09819360 Inf  8.4453956  8.8303393
 knn       10.2580266 0.10706296 Inf 10.0503187 10.4700271
 wsld      10.4148980 0.10788265 Inf 10.2055839 10.6285051
 COSNet     3.8193388 0.06522467 Inf  3.6936166  3.9493403
 bagsvm     9.3451936 0.10216541 Inf  9.1470831  9.5475948
 rf        11.0543543 0.11116272 Inf 10.8386125 11.2743905
 svm        9.3518749 0.10220209 Inf  9.1536926  9.5543480

cv_scheme = representative:
 method          rate         SE  df  asymp.LCL  asymp.UCL
 pr         1.8075707 0.04484866 Inf  1.7217721  1.8976449
 randomraw  0.8961297 0.03157102 Inf  0.8363397  0.9601942
 random     0.7240862 0.02837793 Inf  0.6705490  0.7818978
 EGAD       4.0742026 0.06736999 Inf  3.9442767  4.2084084
 ppr        7.5287145 0.09165914 Inf  7.3511923  7.7105236
 raw        8.8569018 0.09944854 Inf  8.6641153  9.0539779
 gm         2.9848719 0.05764879 Inf  2.8739942  3.1000273
 mc         6.8285696 0.08727809 Inf  6.6596326  7.0017922
 z          8.3602583 0.09660825 Inf  8.1730377  8.5517675
 knn        7.3179751 0.09036250 Inf  7.1429938  7.4972428
 wsld       7.1793380 0.08949940 Inf  7.0060481  7.3569142
 COSNet     4.2587736 0.06888224 Inf  4.1258844  4.3959431
 bagsvm     8.7405357 0.09879025 Inf  8.5490393  8.9363216
 rf         9.2135163 0.10143979 Inf  9.0168278  9.4144953
 svm        8.0047573 0.09452363 Inf  7.8216218  8.1921807

Results are averaged over the levels of: network, disease 
Confidence level used: 0.95 
Intervals are back-transformed from the log scale 
