"method","rate","SE","df","asymp.LCL","asymp.UCL"
"pr",0.49133287432633,0.0130857166517379,NA,0.466343243378069,0.517661608314676
"randomraw",0.14098557415557,0.00707928348690159,NA,0.127771338990424,0.155566438271931
"random",0.178091756824134,0.00795757299156648,NA,0.163158634582546,0.194391635660939
"EGAD",2.02776915768764,0.0292919334043474,NA,1.97116313232122,2.08600074212386
"ppr",3.16591487492533,0.0357229506681512,NA,3.09666771726854,3.23671052576297
"raw",4.30132810512038,0.0413963657681204,NA,4.22095315334848,4.38323354838025
"gm",3.42306466163685,0.0375893296146051,NA,3.35017810221124,3.49753694289062
"mc",1.79863099394198,0.0260116269051276,NA,1.74836489884805,1.85034225664231
"z",4.08614157927955,0.0404224923628657,NA,4.00767807673639,4.16614126340054
"knn",3.97788382040541,0.0389077127033663,NA,3.90235240256986,4.05487717568067
"wsld",3.91908058697628,0.0386303643690029,NA,3.84409315101257,3.99553081672034
"COSNet",2.75626695030048,0.0341937304707894,NA,2.69005668163075,2.82410684993941
"bagsvm",4.30222132164813,0.0413871839280639,NA,4.22186387289198,4.38410826537737
"rf",5.29176889356739,0.0452200226281043,NA,5.20387736158687,5.38114488047586
"svm",4.23945640495061,0.0405231523206467,NA,4.16077184355625,4.31962897396341
