"method","cv_scheme","network","rate","SE","df","asymp.LCL","asymp.UCL"
"pr","classic","string",0.595706562507295,0.027272981010536,Inf,0.544580623798286,0.651632270974263
"randomraw","classic","string",0.230138321299247,0.0169317791918503,Inf,0.199234334429394,0.265835941792479
"random","classic","string",0.250190586218593,0.0176560772611973,Inf,0.217871908491426,0.28730335115629
"EGAD","classic","string",6.2686469936469,0.0900054867900546,Inf,6.09469852355559,6.44756011787659
"ppr","classic","string",8.14337966000469,0.103155928033987,Inf,7.94368697537189,8.34809232697307
"raw","classic","string",10.2902061574845,0.116689278133823,Inf,10.0640222310296,10.5214734559166
"gm","classic","string",9.28975230903971,0.110548890405254,Inf,9.07558773427902,9.50897071242565
"mc","classic","string",3.70072290038334,0.0686247138372545,Inf,3.56863581070353,3.83769897290859
"z","classic","string",9.84782230960606,0.114006565208623,Inf,9.62688952772156,10.0738253993995
"knn","classic","string",7.93452759235226,0.101761909847044,Inf,7.73756381763786,8.13650518400751
"wsld","classic","string",7.85802048337466,0.101247276441718,Inf,7.66206415464417,8.05898837060878
"COSNet","classic","string",8.39758069951087,0.104831944293578,Inf,8.19460710652353,8.60558177934591
"bagsvm","classic","string",10.2679944161685,0.116555745589009,Inf,10.0420718640099,10.4989996843508
"rf","classic","string",10.8288408843993,0.119891605667656,Inf,10.5963888530197,11.0663921951317
"svm","classic","string",9.05961398929271,0.109097490250571,Inf,8.84829050106369,9.27598451080707
"pr","block","string",0.593392839515365,0.0272197259142484,Inf,0.54237110491477,0.649214271920773
"randomraw","block","string",0.147461283300311,0.0135500435746413,Inf,0.123157850997137,0.176560648765137
"random","block","string",0.243557913467719,0.0174200971946173,Inf,0.21170026004235,0.280209656808555
"EGAD","block","string",1.45533180090216,0.0427413691815653,Inf,1.37392567505152,1.54156130071425
"ppr","block","string",2.46797125736215,0.0558318858738761,Inf,2.36093330936513,2.57986199906831
"raw","block","string",3.50359369620349,0.0667321583383513,Inf,3.37521228106363,3.63685829686794
"gm","block","string",3.08357583784751,0.0625248610052657,Inf,2.96343252301494,3.20858999619917
"mc","block","string",1.64336036098236,0.0454450035656744,Inf,1.55666058965472,1.73488896294799
"z","block","string",3.1188986764656,0.0628887204898632,Inf,2.99804290337545,3.24462633376821
"knn","block","string",3.84170575845891,0.0699494485851718,Inf,3.70702482138432,3.9812798256541
"wsld","block","string",3.76998034379242,0.0692783762820638,Inf,3.63661337275065,3.90823833489646
"COSNet","block","string",2.22934928676518,0.0530252220586335,Inf,2.12780699308052,2.3357373382842
"bagsvm","block","string",3.511923099197,0.0668131196381604,Inf,3.38338315902902,3.6453464697782
"rf","block","string",4.89984843504398,0.0792495692735891,Inf,4.74695826307943,5.05766289818361
"svm","block","string",3.98747031084562,0.0712954912135553,Inf,3.85015382253992,4.129684218535
"pr","representative","string",0.572877828508688,0.0267433179268791,Inf,0.522788318305817,0.6277665259629
"randomraw","representative","string",0.140982858881256,0.0132487133769544,Inf,0.117266930744695,0.169495068832363
"random","representative","string",0.158258656996875,0.0140382253639631,Inf,0.13300324232958,0.188309713927059
"EGAD","representative","string",1.56037483339649,0.0442695624540885,Inf,1.47597637642754,1.64959931580358
"ppr","representative","string",2.69564160583705,0.0583908273602463,Inf,2.58359303719119,2.8125496401785
"raw","representative","string",3.76859210996019,0.0692653285747175,Inf,3.63525068644936,3.90682451259667
"gm","representative","string",2.39053866028969,0.0549353579856965,Inf,2.28525612984426,2.50067159287264
"mc","representative","string",1.63348847595456,0.0453069110620366,Inf,1.54705908876689,1.72474640461415
