network = string:
 cv_scheme      method           rate          SE df   asymp.LCL  asymp.UCL
 classic        pr         0.59570656 0.027272981 NA  0.54458062  0.6516323
 block          pr         0.59339284 0.027219726 NA  0.54237110  0.6492143
 representative pr         0.57287783 0.026743318 NA  0.52278832  0.6277665
 classic        randomraw  0.23013832 0.016931779 NA  0.19923433  0.2658359
 block          randomraw  0.14746128 0.013550044 NA  0.12315785  0.1765606
 representative randomraw  0.14098286 0.013248713 NA  0.11726693  0.1694951
 classic        random     0.25019059 0.017656077 NA  0.21787191  0.2873034
 block          random     0.24355791 0.017420097 NA  0.21170026  0.2802097
 representative random     0.15825866 0.014038225 NA  0.13300324  0.1883097
 classic        EGAD       6.26864699 0.090005487 NA  6.09469852  6.4475601
 block          EGAD       1.45533180 0.042741369 NA  1.37392568  1.5415613
 representative EGAD       1.56037483 0.044269562 NA  1.47597638  1.6495993
 classic        ppr        8.14337966 0.103155928 NA  7.94368698  8.3480923
 block          ppr        2.46797126 0.055831886 NA  2.36093331  2.5798620
 representative ppr        2.69564161 0.058390827 NA  2.58359304  2.8125496
 classic        raw       10.29020616 0.116689278 NA 10.06402223 10.5214735
 block          raw        3.50359370 0.066732158 NA  3.37521228  3.6368583
 representative raw        3.76859211 0.069265329 NA  3.63525069  3.9068245
 classic        gm         9.28975231 0.110548890 NA  9.07558773  9.5089707
 block          gm         3.08357584 0.062524861 NA  2.96343252  3.2085900
 representative gm         2.39053866 0.054935358 NA  2.28525613  2.5006716
 classic        mc         3.70072290 0.068624714 NA  3.56863581  3.8376990
 block          mc         1.64336036 0.045445004 NA  1.55666059  1.7348890
 representative mc         1.63348848 0.045306911 NA  1.54705909  1.7247464
 classic        z          9.84782231 0.114006565 NA  9.62688953 10.0738254
 block          z          3.11889868 0.062888720 NA  2.99804290  3.2446263
 representative z          3.79234633 0.069488268 NA  3.65856839  3.9310160
 classic        knn        7.93452759 0.101761910 NA  7.73756382  8.1365052
 block          knn        3.84170576 0.069949449 NA  3.70702482  3.9812798
 representative knn        3.52549694 0.066944871 NA  3.39669903  3.6591787
 classic        wsld       7.85802048 0.101247276 NA  7.66206415  8.0589884
 block          wsld       3.76998034 0.069278376 NA  3.63661337  3.9082383
 representative wsld       3.46904210 0.066395360 NA  3.34132015  3.6016462
 classic        COSNet     8.39758070 0.104831944 NA  8.19460711  8.6055818
 block          COSNet     2.22934929 0.053025222 NA  2.12780699  2.3357373
 representative COSNet     1.90959276 0.049026455 NA  1.81588024  2.0081415
 classic        bagsvm    10.26799442 0.116555746 NA 10.04207186 10.4989997
