"method","cv_scheme","rate","SE","df","asymp.LCL","asymp.UCL"
"pr","classic",0.498420589023548,0.0227937264986161,Inf,0.455689372377421,0.545158826650946
"randomraw","classic",0.192553993657669,0.0141605494285577,Inf,0.166707293182499,0.222408028861271
"random","classic",0.209331484995502,0.0147657514853158,Inf,0.182302572006921,0.240367813399574
"EGAD","classic",5.24490231197666,0.0744548614226303,Inf,5.1009848558214,5.39288020641426
"ppr","classic",6.81346881541566,0.0850532761305558,Inf,6.64879022201209,6.98222620183568
"raw","classic",8.60969298810498,0.0958562568159324,Inf,8.42385318557747,8.79963262849084
"gm","classic",7.77262516341296,0.0909681589431902,Inf,7.59636022587217,7.95298012924131
"mc","classic",3.09635079401935,0.0570290734403767,Inf,2.98656928258206,3.21016769828135
"z","classic",8.23955568911998,0.0937234500506335,Inf,8.05789363500222,8.42531324305457
"knn","classic",6.6387247767736,0.0839344023859214,Inf,6.47623790776439,6.8052883926498
"wsld","classic",6.57471218950142,0.0835210629336003,Inf,6.41303499910059,6.74046537728877
"COSNet","classic",7.02615579893285,0.086397004113588,Inf,6.85884503110177,7.19754785055227
"bagsvm","classic",8.59110868857438,0.0957501988123946,Inf,8.40547663207443,8.78084036510883
"rf","classic",9.06036225172267,0.0983964537956391,Inf,8.86954674335667,9.2552828805967
"svm","classic",7.58007117105403,0.0898094713274258,Inf,7.40607590726376,7.75815420712757
"pr","block",0.496484724540838,0.0227493154017576,Inf,0.453840423344746,0.543136020995529
"randomraw","block",0.123379100225724,0.0113340470063488,Inf,0.103049803891268,0.147718887350539
"random","block",0.203782006666143,0.0145685813667426,Inf,0.177138342609866,0.234433187242473
"EGAD","block",1.21765879223711,0.0356649484257394,Inf,1.14972535719885,1.28960618727652
"ppr","block",2.064922170087,0.0465017898658422,Inf,1.9757624827455,2.15810534199015
"raw","block",2.93141513568528,0.0554760622988827,Inf,2.82467585793807,3.0421878933739
"gm","block",2.57999119386891,0.0520179988514606,Inf,2.48002595896659,2.683985841509
"mc","block",1.37498004999525,0.0379078516797382,Inf,1.3026537258249,1.45132209765703
"z","block",2.60954539242584,0.0523173611785899,Inf,2.50899373759915,2.71412680433677
"knn","block",3.21430947298453,0.0581151808785737,Inf,3.10240035201911,3.33025535579053
"wsld","block",3.15429767241687,0.0575650895526197,Inf,3.04346614289631,3.26916526718643
"COSNet","block",1.86527000805891,0.0441833964825562,Inf,1.78065160668969,1.95390956315825
"bagsvm","block",2.93838424800925,0.0555425308109985,Inf,2.83151476358814,3.04928729314045
"rf","block",4.09964485340184,0.0657169300581877,Inf,3.97284437881501,4.23049239322011
"svm","block",3.33626893865425,0.0592179386054435,Inf,3.22219958794847,3.45437646775814
"pr","representative",0.47932005906068,0.0223520000132839,Inf,0.437453360929742,0.525193630995631
"randomraw","representative",0.117958679639288,0.011082130444761,Inf,0.0981205895900413,0.141807648734882
"random","representative",0.132413134255999,0.0117421549672995,Inf,0.111287930643524,0.157548424362921
"EGAD","representative",1.30554704699845,0.0369329834300276,Inf,1.23512994096095,1.37997876612099
"ppr","representative",2.2554112402635,0.0486129296367695,Inf,2.16211614372212,2.35273201094082
"raw","representative",3.15313615369623,0.0575543920463793,Inf,3.04232557981202,3.26798277926604
"gm","representative",2.00013523794369,0.0457615420490702,Inf,1.9124255202495,2.09186759311922
"mc","representative",1.36672036131628,0.0377933474999882,Inf,1.2946183060261,1.44283804526926
"z","representative",3.17301102958317,0.057737164158621,Inf,3.06184241765022,3.28821592379107
"knn","representative",2.94974131994437,0.0556506916866683,Inf,2.84265995712469,3.06085637600781
"wsld","representative",2.90250622530403,0.0551995229468098,Inf,2.79630866707756,3.01273692962272
"COSNet","representative",1.59773353217091,0.0408753266815907,Inf,1.51959476706722,1.67989025439333
"bagsvm","representative",3.15442673005253,0.0575662774126862,Inf,3.04359287355754,3.26929665321474
"rf","representative",3.98942963257439,0.0648171777939491,Inf,3.86439171715327,4.11851332840215
"svm","representative",3.01297956140274,0.0562492403196795,Inf,2.90472568678422,3.12526786220589
