cv_scheme = classic:
 method         rate         SE  df  asymp.LCL asymp.UCL
 pr        0.4984206 0.02279373 Inf 0.45568937 0.5451588
 randomraw 0.1925540 0.01416055 Inf 0.16670729 0.2224080
 random    0.2093315 0.01476575 Inf 0.18230257 0.2403678
 EGAD      5.2449023 0.07445486 Inf 5.10098486 5.3928802
 ppr       6.8134688 0.08505328 Inf 6.64879022 6.9822262
 raw       8.6096930 0.09585626 Inf 8.42385319 8.7996326
 gm        7.7726252 0.09096816 Inf 7.59636023 7.9529801
 mc        3.0963508 0.05702907 Inf 2.98656928 3.2101677
 z         8.2395557 0.09372345 Inf 8.05789364 8.4253132
 knn       6.6387248 0.08393440 Inf 6.47623791 6.8052884
 wsld      6.5747122 0.08352106 Inf 6.41303500 6.7404654
 COSNet    7.0261558 0.08639700 Inf 6.85884503 7.1975479
 bagsvm    8.5911087 0.09575020 Inf 8.40547663 8.7808404
 rf        9.0603623 0.09839645 Inf 8.86954674 9.2552829
 svm       7.5800712 0.08980947 Inf 7.40607591 7.7581542

cv_scheme = block:
 method         rate         SE  df  asymp.LCL asymp.UCL
 pr        0.4964847 0.02274932 Inf 0.45384042 0.5431360
 randomraw 0.1233791 0.01133405 Inf 0.10304980 0.1477189
 random    0.2037820 0.01456858 Inf 0.17713834 0.2344332
 EGAD      1.2176588 0.03566495 Inf 1.14972536 1.2896062
 ppr       2.0649222 0.04650179 Inf 1.97576248 2.1581053
 raw       2.9314151 0.05547606 Inf 2.82467586 3.0421879
 gm        2.5799912 0.05201800 Inf 2.48002596 2.6839858
 mc        1.3749800 0.03790785 Inf 1.30265373 1.4513221
 z         2.6095454 0.05231736 Inf 2.50899374 2.7141268
 knn       3.2143095 0.05811518 Inf 3.10240035 3.3302554
 wsld      3.1542977 0.05756509 Inf 3.04346614 3.2691653
 COSNet    1.8652700 0.04418340 Inf 1.78065161 1.9539096
 bagsvm    2.9383842 0.05554253 Inf 2.83151476 3.0492873
 rf        4.0996449 0.06571693 Inf 3.97284438 4.2304924
 svm       3.3362689 0.05921794 Inf 3.22219959 3.4543765

cv_scheme = representative:
 method         rate         SE  df  asymp.LCL asymp.UCL
 pr        0.4793201 0.02235200 Inf 0.43745336 0.5251936
 randomraw 0.1179587 0.01108213 Inf 0.09812059 0.1418076
 random    0.1324131 0.01174215 Inf 0.11128793 0.1575484
 EGAD      1.3055470 0.03693298 Inf 1.23512994 1.3799788
 ppr       2.2554112 0.04861293 Inf 2.16211614 2.3527320
 raw       3.1531362 0.05755439 Inf 3.04232558 3.2679828
 gm        2.0001352 0.04576154 Inf 1.91242552 2.0918676
 mc        1.3667204 0.03779335 Inf 1.29461831 1.4428380
 z         3.1730110 0.05773716 Inf 3.06184242 3.2882159
 knn       2.9497413 0.05565069 Inf 2.84265996 3.0608564
 wsld      2.9025062 0.05519952 Inf 2.79630867 3.0127369
 COSNet    1.5977335 0.04087533 Inf 1.51959477 1.6798903
 bagsvm    3.1544267 0.05756628 Inf 3.04359287 3.2692967
 rf        3.9894296 0.06481718 Inf 3.86439172 4.1185133
 svm       3.0129796 0.05624924 Inf 2.90472569 3.1252679

Results are averaged over the levels of: network, disease 
Confidence level used: 0.95 
Intervals are back-transformed from the log scale 
