"method","network","rate","SE","df","asymp.LCL","asymp.UCL"
"pr","string",0.587235407319698,0.0156909302452706,NA,0.557273161785652,0.618808597394058
"randomraw","string",0.411092366680724,0.0110232176019581,NA,0.390045172921114,0.433275286238034
"random","string",0.16850433869088,0.00846885431772241,NA,0.152697025005449,0.185948037668957
"EGAD","string",0.117960951476981,0.00593452685737538,NA,0.106884555800831,0.130185188768372
"ppr","string",0.212853221967477,0.00952183684517996,NA,0.194985508529204,0.23235826315344
"raw","string",0.149007252770422,0.00667414925651326,NA,0.136483904153381,0.162679705829901
"gm","string",2.42356640372926,0.0353961881550023,NA,2.35517468560045,2.49394414316562
"mc","string",1.69661031385076,0.0250709751740598,NA,1.64817686972696,1.74646702664965
"z","string",3.78386509078054,0.0434661145067516,NA,3.69962494472953,3.87002337780873
"knn","string",2.64888328595402,0.0310058468192243,NA,2.58880473517914,2.71035608335328
"wsld","string",5.1408979407073,0.0506996788353104,NA,5.04248260609499,5.24123407085693
"COSNet","string",3.59887001867868,0.0364030914117997,NA,3.52822387566619,3.67093071975166
"bagsvm","string",4.09120756190821,0.0457818872553597,NA,4.00245357277056,4.18192966146728
"rf","string",2.86403745115337,0.0326901532497409,NA,2.80067728724395,2.92883102204222
"svm","string",2.14970310259321,0.031431507117264,NA,2.0889728188454,2.21219892743893
"pr","omnipath",1.5048931401114,0.0222622325569804,NA,1.4618864511782,1.54916502668804
"randomraw","omnipath",4.88370947692883,0.0494437143320486,NA,4.78775672565579,4.98158524371924
"random","omnipath",3.41882601428146,0.0354564148060312,NA,3.3500342401206,3.48903040331519
"EGAD","omnipath",4.75432104710894,0.0476155667978658,NA,4.66190624520062,4.84856782399972
"ppr","omnipath",3.32824803622912,0.0341629986839637,NA,3.26195883361379,3.39588436141943
"raw","omnipath",4.68404009800327,0.047259360892639,NA,4.59232328903617,4.7775886536741
"gm","omnipath",3.27904807086551,0.0338955000222519,NA,3.21328257013786,3.34615957867208
"mc","omnipath",3.29425859700669,0.0414789776931136,NA,3.21395624024381,3.37656734963175
"z","omnipath",2.30613574423746,0.029496660681012,NA,2.24904198188944,2.36467887824031
"knn","omnipath",5.14196550284065,0.0506894716853431,NA,5.0435695941727,5.24228103503352
"wsld","omnipath",3.5996173623138,0.0363964984729876,NA,3.5289837427278,3.67166473401076
"COSNet","omnipath",6.32466139359489,0.0557358512926227,NA,6.21635912927755,6.43485051486697
"bagsvm","omnipath",4.427560035275,0.040267942578606,NA,4.34933558652618,4.50719138037852
"rf","omnipath",5.06694959540153,0.0496464912333358,NA,4.97057263066082,5.16519526220593
"svm","omnipath",3.54710270372296,0.0356584171640094,NA,3.47789751048868,3.61768498146193
