"method","prob","SE","df","asymp.LCL","asymp.UCL"
"pr",0.0168954664291253,0.000341561842168198,Inf,0.0162388905965943,0.0175781147912886
"randomraw",0.0124827399817887,0.000292104774927738,Inf,0.0119229996118013,0.0130684105228978
"random",0.00859151480306157,0.000241342559001296,Inf,0.00813117307211025,0.00907767999702229
"EGAD",0.0553832547549523,0.000679528388352602,Inf,0.0540663803871059,0.0567302801295076
"ppr",0.103294267517716,0.000913317983335805,Inf,0.101517871671173,0.105098111382783
"raw",0.150341195862384,0.00108511409822036,Inf,0.14822676958495,0.152480384586266
"gm",0.0838416754043172,0.000797845243180568,Inf,0.0822911176096628,0.0854187299592986
"mc",0.0702241808931777,0.000726086503197566,Inf,0.0688143396867201,0.0716606835440785
"z",0.141482992523731,0.00105539545661087,Inf,0.139427057599791,0.143564185998959
"knn",0.117433975741275,0.000954246575812781,Inf,0.11557656003492,0.119317214641424
"wsld",0.113745888701199,0.000940399854058061,Inf,0.111915714887956,0.115602095734571
"COSNet",0.0743496705688428,0.000772364814279612,Inf,0.0728499649937512,0.075877722755563
"bagsvm",0.148461068790225,0.00107841531489142,Inf,0.146359812631649,0.150587170542419
"rf",0.174942163704717,0.00119041335784441,Inf,0.172621242110755,0.177287603950759
"svm",0.131481565976229,0.00103281148351285,Inf,0.129470482880436,0.133519096253209
