"method","cv_scheme","network","prob","SE","df","asymp.LCL","asymp.UCL"
"pr","classic","string",0.0349222233197903,0.00100771585340836,Inf,0.0330000749400043,0.0369520523715195
"randomraw","classic","string",0.0294983077011794,0.000927944274863405,Inf,0.0277329325644505,0.0313724339312251
"random","classic","string",0.0176386350800508,0.00072040780442609,Inf,0.0162807851421403,0.0191075327188265
"EGAD","classic","string",0.192007546248765,0.00217662114084044,Inf,0.187777538774689,0.196309811193594
"ppr","classic","string",0.282105327455657,0.00246245069798229,Inf,0.277304170788326,0.286956603592175
"raw","classic","string",0.326963434393739,0.00254561417344146,Inf,0.321993831935107,0.331972182263234
"gm","classic","string",0.185390915570039,0.00214830063518238,Inf,0.181217204010038,0.189638490139845
"mc","classic","string",0.132692822564146,0.00187720542364199,Inf,0.129056576683606,0.136415474608629
"z","classic","string",0.321307500995955,0.00253705279110107,Inf,0.316355361691774,0.326300160088656
"knn","classic","string",0.256969404626578,0.00239977724691975,Inf,0.252294153676012,0.261700969076912
"wsld","classic","string",0.257822093805965,0.00240210421266547,Inf,0.253142178030263,0.262558112807915
"COSNet","classic","string",0.219660008608422,0.00228321025420083,Inf,0.21521776327913,0.224167754060456
"bagsvm","classic","string",0.324103737176113,0.00254135279175453,Inf,0.31914283210059,0.329104482143197
"rf","classic","string",0.424450747204815,0.00261319521437471,Inf,0.419337265484439,0.429580452984913
"svm","classic","string",0.340226629942301,0.00256359947572922,Inf,0.335220181127387,0.345269015368737
"pr","block","string",0.0102833317298164,0.000308058688575748,Inf,0.0096967610911886,0.0109049941216686
"randomraw","block","string",0.00865187794272748,0.000280949597676317,Inf,0.00811824357459389,0.00922026348975863
"random","block","string",0.00512913118648341,0.000213541224002942,Inf,0.00472713994064994,0.00556511621852499
"EGAD","block","string",0.0638746302682282,0.000875796075128056,Inf,0.0621794414712339,0.0656128013528885
"ppr","block","string",0.101392113155777,0.00116349997020957,Inf,0.0991343380754068,0.103695390007186
"raw","block","string",0.122414622169988,0.00130623658757612,Inf,0.119877396404012,0.124997921988688
"gm","block","string",0.0613382939086019,0.00085442271130338,Inf,0.0596848684525159,0.0630344530293843
"mc","block","string",0.0420810574342665,0.000680988362784591,Inf,0.0407663979497627,0.0434361930732732
"z","block","string",0.119667918065588,0.00128822336277987,Inf,0.11716597278242,0.122215893428124
"knn","block","string",0.0903318873005251,0.00108355126954842,Inf,0.0882305315341967,0.0924782141709524
"wsld","block","string",0.0906991273216465,0.00108626465773805,Inf,0.0885924639722824,0.0928507820888687
"COSNet","block","string",0.0747816049687363,0.000964580199539785,Inf,0.0729128909059867,0.076694250978553
"bagsvm","block","string",0.121022260708822,0.0012971281462957,Inf,0.118502875153982,0.123587699143211
"rf","block","string",0.174748853677529,0.00161766887070531,Inf,0.171600918084064,0.177942132351153
"svm","block","string",0.128970342869196,0.00134850319763295,Inf,0.126350317356639,0.131636511718276
"pr","representative","string",0.0109221721959349,0.000326718760738506,Inf,0.0103000336614317,0.0115814491557067
"randomraw","representative","string",0.00919030730583436,0.000298063765443612,Inf,0.00862413508183752,0.00979328141539901
"random","representative","string",0.00544953578243342,0.000226710287422396,Inf,0.00502273567964598,0.00591238713537391
"EGAD","representative","string",0.0676153195398718,0.000920392230875057,Inf,0.065833550104917,0.069441727449275
"ppr","representative","string",0.107078619162522,0.00121609202076296,Inf,0.10471836351947,0.109485567121799
"raw","representative","string",0.129110759119705,0.00136136643510392,Inf,0.126465931708532,0.131802553010777
"gm","representative","string",0.0649407519205011,0.000898279900347393,Inf,0.0632022074014226,0.0667237134943193
"mc","representative","string",0.044606265332089,0.000718141642025534,Inf,0.043219714265679,0.0460351587024192
"z","representative","string",0.126235421009402,0.00134308858747981,Inf,0.123626412496736,0.128891392031784
"knn","representative","string",0.0954639866167257,0.00113429562113465,Inf,0.0932638444227012,0.0977104382561859
"wsld","representative","string",0.0958498925152655,0.00113707656852013,Inf,0.0936443079725714,0.0981018020305792
"COSNet","representative","string",0.0791070622752433,0.00101203606445823,Inf,0.0771461021372938,0.0811134865311711
"bagsvm","representative","string",0.1276533134588,0.00135212624411239,Inf,0.125026594520315,0.130326998016677
