cv_scheme = classic:
 network  method           prob           SE df   asymp.LCL   asymp.UCL
 string   pr        0.034922223 0.0010077159 NA 0.033000075 0.036952052
 omnipath pr        0.039729527 0.0010729484 NA 0.037679126 0.041886649
 string   randomraw 0.029498308 0.0009279443 NA 0.027732933 0.031372434
 omnipath randomraw 0.025955353 0.0008715000 NA 0.024300863 0.027719285
 string   random    0.017638635 0.0007204078 NA 0.016280785 0.019107533
 omnipath random    0.020760971 0.0007807863 NA 0.019284613 0.022347777
 string   EGAD      0.192007546 0.0021766211 NA 0.187777539 0.196309811
 omnipath EGAD      0.068315898 0.0013908616 NA 0.065639747 0.071092854
 string   ppr       0.282105327 0.0024624507 NA 0.277304171 0.286956604
 omnipath ppr       0.146150911 0.0019549061 NA 0.142360841 0.150024234
 string   raw       0.326963434 0.0025456142 NA 0.321993832 0.331972182
 omnipath raw       0.246239680 0.0023692466 NA 0.241625577 0.250912743
 string   gm        0.185390916 0.0021483006 NA 0.181217204 0.189638490
 omnipath gm        0.157209163 0.0020141260 NA 0.153301745 0.161197213
 string   mc        0.132692823 0.0018772054 NA 0.129056577 0.136415475
 omnipath mc        0.158956796 0.0020231269 NA 0.155031534 0.162962276
 string   z         0.321307501 0.0025370528 NA 0.316355362 0.326300160
 omnipath z         0.225281367 0.0023026892 NA 0.220800262 0.229826590
 string   knn       0.256969405 0.0023997772 NA 0.252294154 0.261700969
 omnipath knn       0.206033935 0.0022329860 NA 0.201691772 0.210444935
 string   wsld      0.257822094 0.0024021042 NA 0.253142178 0.262558113
 omnipath wsld      0.193782092 0.0021840240 NA 0.189537363 0.198098647
 string   COSNet    0.219660009 0.0022832103 NA 0.215217763 0.224167754
 omnipath COSNet    0.104083738 0.0016881733 NA 0.100821155 0.107439284
 string   bagsvm    0.324103737 0.0025413528 NA 0.319142832 0.329104482
 omnipath bagsvm    0.243178016 0.0023601036 NA 0.238582206 0.247833541
 string   rf        0.424450747 0.0026131952 NA 0.419337265 0.429580453
 omnipath rf        0.236072730 0.0023381304 NA 0.231520852 0.240686073
 string   svm       0.340226630 0.0025635995 NA 0.335220181 0.345269015
 omnipath svm       0.183857913 0.0021415748 NA 0.179697566 0.188092494

cv_scheme = block:
 network  method           prob           SE df   asymp.LCL   asymp.UCL
 string   pr        0.010283332 0.0003080587 NA 0.009696761 0.010904994
 omnipath pr        0.011740169 0.0003308091 NA 0.011109176 0.012406552
 string   randomraw 0.008651878 0.0002809496 NA 0.008118244 0.009220263
 omnipath randomraw 0.007593137 0.0002621991 NA 0.007096119 0.008124681
 string   random    0.005129131 0.0002135412 NA 0.004727140 0.005565116
 omnipath random    0.006050713 0.0002327366 NA 0.005611233 0.006524388
 string   EGAD      0.063874630 0.0008757961 NA 0.062179441 0.065612801
 omnipath EGAD      0.020619956 0.0004509756 NA 0.019754360 0.021522648
 string   ppr       0.101392113 0.0011635000 NA 0.099134338 0.103695390
 omnipath ppr       0.046845420 0.0007259916 NA 0.045442875 0.048289063
 string   raw       0.122414622 0.0013062366 NA 0.119877396 0.124997922
 omnipath raw       0.085757040 0.0010493928 NA 0.083722494 0.087836288
 string   gm        0.061338294 0.0008544227 NA 0.059684868 0.063034453
 omnipath gm        0.050837259 0.0007625430 NA 0.049363325 0.052352778
 string   mc        0.042081057 0.0006809884 NA 0.040766398 0.043436193
 omnipath mc        0.051474619 0.0007682896 NA 0.049989461 0.053001439
