cv_scheme = classic:
 method           prob           SE  df   asymp.LCL   asymp.UCL
 pr        0.037251399 0.0007386150 Inf 0.035830475 0.038726410
 randomraw 0.027671794 0.0006382064 Inf 0.026448025 0.028950504
 random    0.019137467 0.0005321785 Inf 0.018121816 0.020208870
 EGAD      0.116609698 0.0013500179 Inf 0.113989657 0.119281852
 ppr       0.205939282 0.0016499494 Inf 0.202724242 0.209191932
 raw       0.284884508 0.0017996377 Inf 0.281370459 0.288424831
 gm        0.170839154 0.0014971116 Inf 0.167924844 0.173793477
 mc        0.145333097 0.0013998515 Inf 0.142610876 0.148098306
 z         0.270623865 0.0017779194 Inf 0.267153351 0.274122600
 knn       0.230517751 0.0016796320 Inf 0.227242209 0.233826221
 wsld      0.224180305 0.0016665489 Inf 0.220930857 0.227463591
 COSNet    0.153144263 0.0014762972 Inf 0.150273111 0.156060196
 bagsvm    0.281880020 0.0017944725 Inf 0.278376285 0.285410412
 rf        0.323128637 0.0018897806 Inf 0.319435884 0.326843578
 svm       0.254196451 0.0017706144 Inf 0.250741751 0.257682379

cv_scheme = block:
 method           prob           SE  df   asymp.LCL   asymp.UCL
 pr        0.010987900 0.0002295613 Inf 0.010546958 0.011447063
 randomraw 0.008105380 0.0001944531 Inf 0.007733011 0.008495525
 random    0.005571004 0.0001592571 Inf 0.005267404 0.005892000
 EGAD      0.036518167 0.0004864925 Inf 0.035576544 0.037483743
 ppr       0.069306736 0.0007033447 Inf 0.067940830 0.070698019
 raw       0.102645536 0.0008889804 Inf 0.100916216 0.104401048
 gm        0.055856051 0.0006011905 Inf 0.054689366 0.057046123
 mc        0.046552992 0.0005362758 Inf 0.045513125 0.047615432
 z         0.096279148 0.0008552096 Inf 0.094615954 0.097968414
 knn       0.079204918 0.0007518394 Inf 0.077743812 0.080691081
 wsld      0.076613217 0.0007371616 Inf 0.075180842 0.078070578
 COSNet    0.049361688 0.0005710862 Inf 0.048254335 0.050493104
 bagsvm    0.101290771 0.0008815553 Inf 0.099575983 0.103031710
 rf        0.120549179 0.0009978953 Inf 0.118606991 0.122518750
 svm       0.089141389 0.0008241161 Inf 0.087539298 0.090769883

cv_scheme = representative:
 method           prob           SE  df   asymp.LCL   asymp.UCL
 pr        0.011669995 0.0002432361 Inf 0.011202758 0.012156479
 randomraw 0.008610094 0.0002061921 Inf 0.008215226 0.009023770
 random    0.005918847 0.0001689879 Inf 0.005596682 0.006259441
 EGAD      0.038723050 0.0005127564 Inf 0.037730487 0.039740645
 ppr       0.073340622 0.0007367975 Inf 0.071909554 0.074797875
 raw       0.108393860 0.0009262397 Inf 0.106591772 0.110222655
 gm        0.059156824 0.0006310573 Inf 0.057932023 0.060405858
 mc        0.049332732 0.0005638732 Inf 0.048239225 0.050449714
 z         0.101711354 0.0008919268 Inf 0.099976483 0.103472868
 knn       0.083763062 0.0007861252 Inf 0.082235105 0.085316771
 wsld      0.081035338 0.0007711162 Inf 0.079536772 0.082559607
 COSNet    0.052299940 0.0006003376 Inf 0.051135728 0.053489163
 bagsvm    0.106972270 0.0009186873 Inf 0.105184969 0.108786248
 rf        0.127158061 0.0010373660 Inf 0.125138710 0.129205186
 svm       0.094212856 0.0008606034 Inf 0.092539580 0.095913190

Results are averaged over the levels of: network, disease 
Confidence level used: 0.95 
Intervals are back-transformed from the logit scale 
