"method","network","prob","SE","df","asymp.LCL","asymp.UCL"
"pr","string",0.0158181508457582,0.00046515961908667,Inf,0.0149318392777017,0.0167561764641259
"randomraw","string",0.013320414475966,0.000425781365940762,Inf,0.0125111770984804,0.0141812425763579
"random","string",0.00791197127633017,0.000326259578325143,Inf,0.00729748775260679,0.00857775016793099
"EGAD","string",0.095471558338711,0.0011986255823033,Inf,0.0931480089944953,0.097846814179544
"ppr","string",0.148601801804672,0.00150788969183436,Inf,0.145670586295473,0.151581534747016
"raw","string",0.177479450366627,0.001646620801095,Inf,0.174275111124438,0.180729811306323
"gm","string",0.0918036106771215,0.00117405012082564,Inf,0.0895282925659129,0.0941307764367092
"mc","string",0.0636301167401141,0.000966168850969819,Inf,0.0617625195385439,0.065550241507083
"z","string",0.17374182390385,0.00162965143921739,Inf,0.170570914602938,0.176959103935158
"knn","string",0.133154862413541,0.0014259342980588,Inf,0.130384822563329,0.135974550206354
"wsld","string",0.133670614967761,0.00142876578212377,Inf,0.130895008553347,0.136495834072488
"COSNet","string",0.111133379361355,0.00129831766465482,Inf,0.108614099075238,0.113703640043451
"bagsvm","string",0.175586085957076,0.00163805971746585,Inf,0.172398613020634,0.178819758319368
"rf","string",0.246736124798221,0.00191473257210189,Inf,0.243002537842089,0.25050809287427
"svm","string",0.186357870790654,0.00168582320339548,Inf,0.183076276280863,0.189684628985841
"pr","omnipath",0.0180448087183233,0.000497906180949257,Inf,0.0170943979919114,0.019047036215994
"randomraw","omnipath",0.0116971194157846,0.000398322568219968,Inf,0.0109416222181642,0.0125041226877525
"random","omnipath",0.00932887415737017,0.000354823248873765,Inf,0.00865850154659353,0.0100506232379255
"EGAD","omnipath",0.0315409765184057,0.000666173213260739,Inf,0.0302611236265243,0.0328731241029639
"ppr","omnipath",0.0706542842184217,0.00102157924811813,Inf,0.0686780519737013,0.0726829451243858
"raw","omnipath",0.126713351873533,0.00138998819918411,Inf,0.124013969133431,0.129462807712305
"gm","omnipath",0.0765120882861906,0.00106581864149067,Inf,0.0744491013983529,0.0786273842874452
"mc","omnipath",0.0774450772849083,0.00107271216868951,Inf,0.0753685702435765,0.0795738713808639
"z","omnipath",0.11438452155879,0.00131802848208386,Inf,0.111826526264585,0.116993322582625
"knn","omnipath",0.103347882959992,0.00124977845529524,Inf,0.100923918426204,0.105823213242803
"wsld","omnipath",0.0964604246829084,0.00120516688010371,Inf,0.094124036315119,0.098848479559553
"COSNet","omnipath",0.049068790714723,0.000841416037158037,Inf,0.0474456824994964,0.0507444671749685
"bagsvm","omnipath",0.124891596848411,0.00137962223560212,Inf,0.122212586086593,0.127620795781029
"rf","omnipath",0.120691301420633,0.00135537532474062,Inf,0.118059936127496,0.123373111302682
"svm","omnipath",0.0909580741053752,0.00116831366637123,Inf,0.0886940131983682,0.093274013578132
