"label","coef","lower","upper"
"(Intercept)",-4.58616991082502,-4.65690043017583,-4.51543939147421
"methodrandomraw",-0.174394952917092,-0.260567725025147,-0.0882221808090372
"methodrandom",-0.700782260418477,-0.800932765251026,-0.600631755585929
"methodEGAD",1.88206725336473,1.81770117788598,1.94643332884347
"methodppr",2.38504293794389,2.32216889627861,2.44791697960916
"methodraw",2.59713398058814,2.53469614451238,2.65957181666389
"methodgm",1.83884360347408,1.77431224988214,1.90337495706603
"methodmc",1.44172893671561,1.37532134995052,1.50813652348071
"methodz",2.57131575776709,2.50882984566812,2.63380166986605
"methodknn",2.25730510542314,2.19411890909015,2.32049130175613
"methodwsld",2.26176610577762,2.19859149684498,2.32494071471027
"methodCOSNet",2.05143652222875,1.98765625251643,2.11521679194107
"methodbagsvm",2.58410933190122,2.52164740758581,2.64657125621662
"methodrf",3.0145564642652,2.95273151720615,3.07638141132425
"methodsvm",2.65680085465145,2.59446917150055,2.71913253780234
"cv_schemeblock",-1.24780910496021,-1.26056912072253,-1.2350490891979
"cv_schemerepresentative",-1.1868928545907,-1.19945272620912,-1.17433298297228
"diseaseAlzheimers disease",1.08422295627904,1.03662495254169,1.13182096001639
"diseasearthritis",0.848172436645685,0.799280574147716,0.897064299143654
"diseaseasthma",0.672445515976352,0.622400920669939,0.722490111282764
"diseasebipolar disorder",1.65679443672867,1.61138842404478,1.70220044941256
"diseasecardiac arrhythmia",2.29924932965393,2.2552022307412,2.34329642856665
"diseaseCOPD",1.30438797768391,1.2577729097153,1.35100304565252
"diseasecoronary heart disease",1.30280419506075,1.25618274016519,1.34942564995632
"diseasedrug dependence",1.36000511344706,1.31360849338829,1.40640173350582
"diseasehypertension",1.37628663130514,1.32995185294324,1.42262140966704
"diseasemultiple sclerosis",1.97639418819673,1.93177797374136,2.02101040265211
"diseaseobesity",1.51009201376702,1.46423122273608,1.55595280479796
"diseaseParkinson's disease",2.08738011714459,2.04298272756882,2.13177750672035
"diseasepsoriasis",0.857661520132377,0.808827037132023,0.90649600313273
"diseaserheumatoid arthritis",0.35599335839029,0.303384152783585,0.408602563996994
"diseaseschizophrenia",1.60785785447456,1.56230722813422,1.6534084808149
"diseasestroke",2.06424603248387,2.01980515135512,2.10868691361262
"diseaselupus",1.39950997354068,1.35326179347521,1.44575815360614
"diseasetype I diabetes",1.36797209416435,1.32160585214459,1.41433833618411
"diseasetype II diabetes",1.3764615183947,1.33012739921957,1.42279563756983
"diseaseulcerative colitis",0.251774086671911,0.198161881104132,0.305386292239691
"diseaseunipolar depression",1.11615013660657,1.06870714184798,1.16359313136517
"methodpr:networkomnipath",0.133964978166729,0.0537907026643025,0.214139253669155
"methodrandomraw:networkomnipath",-0.131599031794028,-0.224099444803477,-0.0390986187845783
"methodrandom:networkomnipath",0.166166598199338,0.0554320384898689,0.276901157908807
"methodEGAD:networkomnipath",-1.17583326609128,-1.22625040459606,-1.12541612758651
"methodppr:networkomnipath",-0.831072380111572,-0.869243186637191,-0.792901573585952
"methodraw:networkomnipath",-0.396817749690607,-0.429695362914715,-0.363940136466498
"methodgm:networkomnipath",-0.198899950580338,-0.239071297391061,-0.158728603769614
"methodmc:networkomnipath",0.211345774896801,0.168311414935879,0.254380134857722
"methodz:networkomnipath",-0.48738023054995,-0.521005415901435,-0.453755045198464
"methodknn:networkomnipath",-0.287219643490595,-0.322820958402256,-0.251618328578935
"methodwsld:networkomnipath",-0.368300582126594,-0.404374906667949,-0.332226257585239
"methodCOSNet:networkomnipath",-0.885002423667493,-0.928478062428233,-0.841526784906754
"methodbagsvm:networkomnipath",-0.400358346427707,-0.433371902389843,-0.367344790465571
"methodrf:networkomnipath",-0.869803817837928,-0.901794557116558,-0.837813078559297
"methodsvm:networkomnipath",-0.82814077698624,-0.863164581385073,-0.793116972587406
