"method","prob","SE","df","asymp.LCL","asymp.UCL"
"pr",0.683564628261256,0.00123080301083319,NA,0.681147375133078,0.685972004493255
"randomraw",0.608418694775231,0.00129136150739394,NA,0.605884778005867,0.610946781203899
"random",0.499133408886357,0.00131890755414226,NA,0.496548443775576,0.501718420322912
"EGAD",0.715747784674523,0.00121919751750068,NA,0.713352158500398,0.71813130069662
"ppr",0.841027516454767,0.000981442727129378,NA,0.839094472955609,0.842941684003414
"raw",0.855352123424774,0.000934850766021239,NA,0.853510190077475,0.857174772252613
"gm",0.529121433837267,0.00131659418696587,NA,0.526540201191691,0.53170110990517
"mc",0.859292767830174,0.000913203778861558,NA,0.857493383761921,0.861073112689479
"z",0.855625376068623,0.000927361311737139,NA,0.85379825370931,0.857433477199277
"knn",0.854318939620787,0.000937717655804582,NA,0.852471413578144,0.856147233076309
"wsld",0.853947140862884,0.000939858473043749,NA,0.85209540551114,0.855779616735597
"COSNet",0.563858021138614,0.00130777308197037,NA,0.561293149097542,0.566419481241939
"bagsvm",0.858369124925088,0.000919728136844723,NA,0.85655689425291,0.860162198044427
"rf",0.827552400059884,0.00100452993450897,NA,0.82557465155733,0.829512354497766
"svm",0.776194996500162,0.00110776609734446,NA,0.774016322414569,0.778358680940275
