"method","cv_scheme","network","prob","SE","df","asymp.LCL","asymp.UCL"
"pr","classic","string",0.766943527271384,0.00155298991678136,Inf,0.763885897442763,0.769973484735293
"randomraw","classic","string",0.697108791151199,0.00172633255526302,Inf,0.6937145933175,0.700481615289724
"random","classic","string",0.55408736835458,0.0019342023533122,Inf,0.550293327218673,0.557875117601115
"EGAD","classic","string",0.829819169455821,0.00134759772095835,Inf,0.827161610373422,0.832444143389237
"ppr","classic","string",0.906072722648586,0.00101010677624773,Inf,0.904074160741965,0.908033881303711
"raw","classic","string",0.908683093980712,0.000996077339034048,Inf,0.906711956054783,0.910616688349488
"gm","classic","string",0.584121381406834,0.00190580421575884,Inf,0.580381309727364,0.58785179028483
"mc","classic","string",0.899332223663468,0.00104537087004953,Inf,0.897264738010068,0.901362676300262
"z","classic","string",0.902362343449079,0.00102968513339985,Inf,0.900325514054339,0.904361971982682
"knn","classic","string",0.908055466646491,0.000999470299848526,Inf,0.906077696171921,0.909995727140761
"wsld","classic","string",0.908722535416319,0.000995863693605192,Inf,0.906751815127491,0.910655710041377
"COSNet","classic","string",0.619855899195304,0.00186164737090557,Inf,0.616200426068533,0.623497828988323
"bagsvm","classic","string",0.904133799469361,0.00102038985799896,Inf,0.902115137970372,0.906115163047348
"rf","classic","string",0.889762352879584,0.00109323981533653,Inf,0.887601328096251,0.891886889674019
"svm","classic","string",0.851801519156248,0.00126220184643169,Inf,0.849310555174183,0.854258372315736
"pr","block","string",0.678925814930857,0.00187470636996519,Inf,0.675240430222414,0.682589037005755
"randomraw","block","string",0.596589610553732,0.00195044846616364,Inf,0.592761008349824,0.600406483094274
"random","block","string",0.443963059478298,0.00192514434350119,Inf,0.440193148283685,0.447739434059258
"EGAD","block","string",0.758056467598311,0.00173217866095818,Inf,0.754645262458364,0.761435239088122
"ppr","block","string",0.861082013696672,0.00140819049616725,Inf,0.858298947974627,0.863819091530796
"raw","block","string",0.864756107386717,0.00139265682299152,Inf,0.862003239922101,0.867462502171277
"gm","block","string",0.474378127197674,0.00194644782000707,Inf,0.470564728875348,0.478194516459425
"mc","block","string",0.851641503697018,0.00144655653211908,Inf,0.848783876279427,0.854454388796644
"z","block","string",0.855877076741645,0.00142961186738712,Inf,0.853052375783751,0.858656476567347
"knn","block","string",0.863871795950863,0.00139642753646426,Inf,0.861111597533596,0.866585638372915
"wsld","block","string",0.864811699021537,0.00139241909404589,Inf,0.86205929375575,0.867517624272044
"COSNet","block","string",0.511658867617878,0.00196164316585584,Inf,0.507813503679084,0.515502852120428
"bagsvm","block","string",0.858359538818258,0.00141947898790857,Inf,0.855554531108163,0.861118917857812
"rf","block","string",0.838352854331745,0.00149704865483475,Inf,0.835397155296377,0.841265563872383
"svm","block","string",0.786928292847616,0.00165980231159813,Inf,0.783657031783666,0.790163334820374
"pr","representative","string",0.725630026460585,0.00171984274624158,Inf,0.722246351258478,0.72898794827819
"randomraw","representative","string",0.649080121189135,0.00185257124330599,Inf,0.64544057599337,0.652702409057769
"random","representative","string",0.499657445208557,0.00195174750561651,Inf,0.495832185075913,0.503482745441418
"EGAD","representative","string",0.796696953948939,0.00153695087349728,Inf,0.793667958810903,0.799692705308302
"ppr","representative","string",0.885748326229855,0.00119599142953531,Inf,0.883383198817678,0.888071563745446
"raw","representative","string",0.888854253167925,0.00118094032293488,Inf,0.886518479579215,0.89114785304292
"gm","representative","string",0.530249466174241,0.00194760191642614,Inf,0.526430540950944,0.534064852403338
"mc","representative","string",0.877746085142421,0.00123354364063117,Inf,0.875307734842974,0.880143282752211
"z","representative","string",0.88134022294599,0.00121689009428039,Inf,0.878934342744234,0.883704618291758
"knn","representative","string",0.888107122634383,0.00118458610103129,Inf,0.88576423847671,0.890407901231071
"wsld","representative","string",0.888901211922941,0.00118071063633506,Inf,0.886565886311377,0.891194359539875
"COSNet","representative","string",0.567183019919135,0.00193167439189708,Inf,0.56339315601047,0.570965038532717
"bagsvm","representative","string",0.883443821134752,0.00120698340487266,Inf,0.881057258370276,0.885788705428177
"rf","representative","string",0.866428929417052,0.00128385834721094,Inf,0.863892504838336,0.868925258263799
"svm","representative","string",0.822040185858785,0.00145486241682008,Inf,0.819170787013497,0.824873787037737
"pr","classic","omnipath",0.687798442724992,0.00174563889992099,Inf,0.68436685778049,0.691209553030814
"randomraw","classic","omnipath",0.619717019579123,0.00186184103964352,Inf,0.61606117429377,0.623359336319262
"random","classic","omnipath",0.553900432104883,0.00193435438042338,Inf,0.550106103660839,0.557688489932184
"EGAD","classic","omnipath",0.668888114869881,0.00178226677030071,Inf,0.665385679221399,0.672371941326558
"ppr","classic","omnipath",0.818432377325029,0.00138881388978882,Inf,0.815694458536052,0.821138541942989
"raw","classic","omnipath",0.845186497982109,0.00128875337125474,Inf,0.842643722662685,0.847695610478726
"gm","classic","omnipath",0.582755397968346,0.00190726765407981,Inf,0.579012533846704,0.586488750516676
"mc","classic","omnipath",0.86641253503775,0.0012007144872701,Inf,0.864041595605147,0.868748408993677
"z","classic","omnipath",0.85516066361231,0.00124842062808967,Inf,0.852696595978819,0.85759039666119
"knn","classic","omnipath",0.843990538899737,0.0012934727826825,Inf,0.841438555546274,0.846508941458642
"wsld","classic","omnipath",0.84214035155432,0.00130072610078072,Inf,0.83957421698736,0.844673032845293
"COSNet","classic","omnipath",0.614272509318609,0.00186929692247265,Inf,0.610602342766365,0.617929728937808
"bagsvm","classic","omnipath",0.858169750184952,0.00123589944611213,Inf,0.855730122221232,0.860574845277788
"rf","classic","omnipath",0.815930671225394,0.00139761202441242,Inf,0.813175602985818,0.818654171478723
"svm","classic","omnipath",0.764773531722745,0.00155918193037041,Inf,0.761703858325818,0.767815715850514
"pr","block","omnipath",0.586024335510951,0.00195540214260535,Inf,0.58218668223072,0.5898515725278
"randomraw","block","omnipath",0.511511610725635,0.00196160690845489,Inf,0.50766632659281,0.515355532914078
"random","block","omnipath",0.44377630122742,0.0019249888438717,Inf,0.440006705304957,0.447552381580387
"EGAD","block","omnipath",0.564849592609589,0.00196223402478679,Inf,0.560999856840302,0.568691523870589
"ppr","block","omnipath",0.743353089682996,0.00176452834624115,Inf,0.739879448970044,0.746796218176745
"raw","block","omnipath",0.77817168010959,0.00168305472990167,Inf,0.77485542590269,0.781452864863116
"gm","block","omnipath",0.472976908564657,0.00194564195573273,Inf,0.469165170538914,0.476791799420775
"mc","block","omnipath",0.806482151888652,0.00160346629796773,Inf,0.803320007072907,0.809605506466528
"z","block","omnipath",0.791397781377487,0.00164747462727534,Inf,0.788150385327718,0.794608371094058
"knn","block","omnipath",0.776594862681694,0.00168711813897602,Inf,0.773270748811761,0.779884113982873
"wsld","block","omnipath",0.774159274997639,0.00169332182243299,Inf,0.770823163437237,0.777460843464311
"COSNet","block","omnipath",0.505753447791311,0.00196004084056286,Inf,0.501911574247933,0.509594641998106
"bagsvm","block","omnipath",0.795414648470448,0.00163612293659514,Inf,0.792189234367837,0.798602728225965
"rf","block","omnipath",0.740145360590768,0.00177120584522923,Inf,0.73665884310282,0.743601784382404
"svm","block","omnipath",0.676282200154403,0.00187821486759675,Inf,0.672590109562592,0.679952467768896
"pr","representative","omnipath",0.639057848361388,0.00186559728163425,Inf,0.635393343707625,0.642706233067421
"randomraw","representative","omnipath",0.567038338239378,0.00193176027822616,Inf,0.563248314421496,0.570820533580518
"random","representative","omnipath",0.499468303450574,0.0019517477514976,Inf,0.495643053906695,0.503293615236078
"EGAD","representative","omnipath",0.618831362610841,0.00188898981316723,Inf,0.615122168468643,0.622526746212093
"ppr","representative","omnipath",0.78367170584196,0.00157540225592103,Inf,0.780568024356815,0.786743481852223
"raw","representative","omnipath",0.814386206456737,0.00148072087066547,Inf,0.811466513503887,0.817270865827722
"gm","representative","omnipath",0.528849260864658,0.00194797007985769,Inf,0.52502969595142,0.532665450443971
"mc","representative","omnipath",0.839030907978673,0.00139388270398027,Inf,0.836280177551897,0.841744168009427
"z","representative","omnipath",0.825936066002956,0.00144132625397043,Inf,0.823093001426729,0.828742946474374
"knn","representative","omnipath",0.813004953099797,0.00148528611145255,Inf,0.810076382684034,0.815898628500169
"wsld","representative","omnipath",0.81086964063161,0.00149228397432882,Inf,0.807927463434066,0.813777137429871
"COSNet","representative","omnipath",0.561373439456666,0.00193497710417267,Inf,0.557577440804487,0.565162268512061
"bagsvm","representative","omnipath",0.829431202316108,0.00142896111809882,Inf,0.8266121976697,0.832213677617979
"rf","representative","omnipath",0.780819318523438,0.00158350560897843,Inf,0.777699904037322,0.783907122826795
"svm","representative","omnipath",0.723214185489844,0.00172498146260492,Inf,0.719820570628298,0.726582309074304
