"method","cv_scheme","prob","SE","df","asymp.LCL","asymp.UCL"
"pr","classic",0.729184617842454,0.00122414315810637,Inf,0.726778671460551,0.731577202641223
"randomraw","classic",0.659475453944368,0.0013334104854007,Inf,0.656857187679575,0.662084019747773
"random","classic",0.55399390213882,0.0014290725125068,Inf,0.551191286097005,0.55679308951997
"EGAD","classic",0.758368091206252,0.00118782103574205,Inf,0.756032369185103,0.760688529624731
"ppr","classic",0.868319439775323,0.000887769142974866,Inf,0.86656967063036,0.870049703891191
"raw","classic",0.880534164804203,0.000838444464628709,Inf,0.878881050286299,0.882167741498522
"gm","classic",0.583438549836284,0.00140909202477852,Inf,0.580674188916935,0.586197673684353
"mc","classic",0.883881906915275,0.000817850461822073,Inf,0.882269313941289,0.885475278912936
"z","classic",0.880766477612155,0.000832214426397435,Inf,0.879125696680533,0.88238796580245
"knn","classic",0.879655543236073,0.000841596836113738,Inf,0.877996261572814,0.881295309250214
"wsld","classic",0.879339274390456,0.000843621361426244,Inf,0.877676008091294,0.880982991699907
"COSNet","classic",0.617068065426501,0.0013788955077958,Inf,0.614361885963324,0.619767007799473
"bagsvm","classic",0.883097715205486,0.000823836182755034,Inf,0.88147332584501,0.88470275444925
"rf","classic",0.85676369912078,0.000917701977271349,Inf,0.854955614240093,0.858552973847851
"svm","classic",0.812130892853526,0.00104512699052016,Inf,0.81007389249812,0.814170725425077
"pr","block",0.633717155650303,0.00141390705293686,Inf,0.630941550717411,0.63648391281416
"randomraw","block",0.554449424945323,0.00144639253015314,Inf,0.551612806376131,0.557282500903185
"random","block",0.443869678370122,0.00141772041867318,Inf,0.441092781273923,0.446650086733248
"EGAD","block",0.668511534060998,0.00141155797494634,Inf,0.66573913477514,0.67127229298278
"ppr","block",0.809056002732858,0.00117894160588333,Inf,0.806734631991115,0.811356010759802
"raw","block",0.825664308796597,0.00112794664748203,Inf,0.823442504884282,0.827863998193399
"gm","block",0.473677466055508,0.00143232895159225,Inf,0.470871014393806,0.476485581879146
"mc","block",0.830253233283661,0.00110379734896153,Inf,0.828078849708232,0.832405682044474
"z","block",0.825982234519988,0.00111952447060745,Inf,0.823777076051714,0.828165554785986
"knn","block",0.824462590274552,0.00113109623036926,Inf,0.822234652726219,0.826668491302345
"wsld","block",0.824030288804208,0.00113347813372335,Inf,0.821797672581683,0.826240847810786
"COSNet","block",0.508706461425673,0.00144185156226586,Inf,0.505880236171876,0.511532130273981
"bagsvm","block",0.829176861571441,0.00111110490100025,Inf,0.8269881017271,0.831343578667194
"rf","block",0.793536143210927,0.00120316372614297,Inf,0.791168021278692,0.79588433918426
"svm","block",0.735288684226279,0.00130817534288671,Inf,0.732716773349602,0.737844701573189
"pr","representative",0.683936092093404,0.00132654413666995,Inf,0.681330380126999,0.686530300353964
"randomraw","representative",0.60882789181033,0.00140205349143631,Inf,0.606076493020995,0.611572389406437
"random","representative",0.499562874313927,0.00143868104568915,Inf,0.496743155074392,0.502382621357807
"EGAD","representative",0.716097159652288,0.00130487801452464,Inf,0.713532708161138,0.718647706331153
"ppr","representative",0.841257060837695,0.00102739904274734,Inf,0.839233018922657,0.843260379494459
"raw","representative",0.85556453629408,0.000976137661447874,Inf,0.853640789991296,0.857467218834305
"gm","representative",0.529549421656357,0.00143556792201447,Inf,0.526734850832172,0.532362114491886
"mc","representative",0.859500344463399,0.000953563049734414,Inf,0.857620976216743,0.861358915785872
"z","representative",0.855837455301409,0.000968854060907691,Inf,0.853928117163449,0.857725994235272
"knn","representative",0.854532611674254,0.00097937039166951,Inf,0.852602552920189,0.856441653086774
"wsld","representative",0.854161265147268,0.00098159275855481,Inf,0.852226836295089,0.856074647838036
"COSNet","representative",0.564280435690695,0.00142430159424788,Inf,0.561486847004792,0.56706994965673
"bagsvm","representative",0.858577839896113,0.0009602417309483,Inf,0.856685320037744,0.860449439370062
"rf","representative",0.827797417619553,0.00105570469119271,Inf,0.82571841889321,0.829856726266707
"svm","representative",0.776493276050269,0.00117651397273737,Inf,0.774178882741022,0.77879072716274
