cv_scheme = classic:
 method         prob           SE  df asymp.LCL asymp.UCL
 pr        0.7291846 0.0012241432 Inf 0.7267787 0.7315772
 randomraw 0.6594755 0.0013334105 Inf 0.6568572 0.6620840
 random    0.5539939 0.0014290725 Inf 0.5511913 0.5567931
 EGAD      0.7583681 0.0011878210 Inf 0.7560324 0.7606885
 ppr       0.8683194 0.0008877691 Inf 0.8665697 0.8700497
 raw       0.8805342 0.0008384445 Inf 0.8788811 0.8821677
 gm        0.5834385 0.0014090920 Inf 0.5806742 0.5861977
 mc        0.8838819 0.0008178505 Inf 0.8822693 0.8854753
 z         0.8807665 0.0008322144 Inf 0.8791257 0.8823880
 knn       0.8796555 0.0008415968 Inf 0.8779963 0.8812953
 wsld      0.8793393 0.0008436214 Inf 0.8776760 0.8809830
 COSNet    0.6170681 0.0013788955 Inf 0.6143619 0.6197670
 bagsvm    0.8830977 0.0008238362 Inf 0.8814733 0.8847028
 rf        0.8567637 0.0009177020 Inf 0.8549556 0.8585530
 svm       0.8121309 0.0010451270 Inf 0.8100739 0.8141707

cv_scheme = block:
 method         prob           SE  df asymp.LCL asymp.UCL
 pr        0.6337172 0.0014139071 Inf 0.6309416 0.6364839
 randomraw 0.5544494 0.0014463925 Inf 0.5516128 0.5572825
 random    0.4438697 0.0014177204 Inf 0.4410928 0.4466501
 EGAD      0.6685115 0.0014115580 Inf 0.6657391 0.6712723
 ppr       0.8090560 0.0011789416 Inf 0.8067346 0.8113560
 raw       0.8256643 0.0011279466 Inf 0.8234425 0.8278640
 gm        0.4736775 0.0014323290 Inf 0.4708710 0.4764856
 mc        0.8302532 0.0011037973 Inf 0.8280788 0.8324057
 z         0.8259822 0.0011195245 Inf 0.8237771 0.8281656
 knn       0.8244626 0.0011310962 Inf 0.8222347 0.8266685
 wsld      0.8240303 0.0011334781 Inf 0.8217977 0.8262408
 COSNet    0.5087065 0.0014418516 Inf 0.5058802 0.5115321
 bagsvm    0.8291769 0.0011111049 Inf 0.8269881 0.8313436
 rf        0.7935361 0.0012031637 Inf 0.7911680 0.7958843
 svm       0.7352887 0.0013081753 Inf 0.7327168 0.7378447

cv_scheme = representative:
 method         prob           SE  df asymp.LCL asymp.UCL
 pr        0.6839361 0.0013265441 Inf 0.6813304 0.6865303
 randomraw 0.6088279 0.0014020535 Inf 0.6060765 0.6115724
 random    0.4995629 0.0014386810 Inf 0.4967432 0.5023826
 EGAD      0.7160972 0.0013048780 Inf 0.7135327 0.7186477
 ppr       0.8412571 0.0010273990 Inf 0.8392330 0.8432604
 raw       0.8555645 0.0009761377 Inf 0.8536408 0.8574672
 gm        0.5295494 0.0014355679 Inf 0.5267349 0.5323621
 mc        0.8595003 0.0009535630 Inf 0.8576210 0.8613589
 z         0.8558375 0.0009688541 Inf 0.8539281 0.8577260
 knn       0.8545326 0.0009793704 Inf 0.8526026 0.8564417
 wsld      0.8541613 0.0009815928 Inf 0.8522268 0.8560746
 COSNet    0.5642804 0.0014243016 Inf 0.5614868 0.5670699
 bagsvm    0.8585778 0.0009602417 Inf 0.8566853 0.8604494
 rf        0.8277974 0.0010557047 Inf 0.8257184 0.8298567
 svm       0.7764933 0.0011765140 Inf 0.7741789 0.7787907

Results are averaged over the levels of: network, disease 
Confidence level used: 0.95 
Intervals are back-transformed from the logit scale 
