"method","network","prob","SE","df","asymp.LCL","asymp.UCL"
"pr","string",0.725287882364339,0.00165912566214033,Inf,0.722024127901708,0.728527724550413
"randomraw","string",0.648688734209415,0.00177803836178066,Inf,0.645195969516614,0.65216565203633
"random","string",0.499227979584549,0.00186521507637274,Inf,0.495572331622609,0.502883710085327
"EGAD","string",0.796418568000779,0.00149260499761337,Inf,0.79347746574426,0.799328378447488
"ppr","string",0.885574366127044,0.00117457239765154,Inf,0.883252003287684,0.887856397732083
"raw","string",0.888684427838312,0.00116031633811385,Inf,0.886389847471253,0.890938366767745
"gm","string",0.529821549757208,0.00186177283959703,Inf,0.526171012653157,0.533468898981144
"mc","string",0.877561625039588,0.00121006343485452,Inf,0.875170110717066,0.879913609070632
"z","string",0.881160451557649,0.00119433769322084,Inf,0.878799575065212,0.883481437717494
"knn","string",0.887936299651838,0.0011637711573683,Inf,0.885634986179367,0.8901970462716
"wsld","string",0.888731449362139,0.00116009864728853,Inf,0.886437293259462,0.890984959340195
"COSNet","string",0.566761258845322,0.00184792282345424,Inf,0.563135892292898,0.570379492342545
"bagsvm","string",0.883266814615241,0.00118497253980582,Inf,0.880924185803812,0.885569342596872
"rf","string",0.866229996031848,0.00125744084507329,Inf,0.863746203928295,0.868675394709678
"svm","string",0.821788740179387,0.00141691908386245,Inf,0.8189946642177,0.824548925332009
"pr","omnipath",0.63866150609241,0.00178960951023912,Inf,0.635146595732988,0.642161632215866
"randomraw","omnipath",0.566616543906715,0.00184799798194261,Inf,0.562991037780626,0.570234932420092
"random","omnipath",0.49903883825017,0.00186521386556144,Inf,0.495383202771976,0.502694576488825
"EGAD","omnipath",0.618426071575683,0.00181033613498724,Inf,0.614871615538046,0.62196789158851
"ppr","omnipath",0.78338033369241,0.00152785865277658,Inf,0.780370814165226,0.786359904378986
"raw","omnipath",0.814126391512268,0.00144082253912366,Inf,0.811285862187303,0.816933812928968
"gm","omnipath",0.528421203316049,0.00186208856275135,Inf,0.524770122290013,0.532069246121177
"mc","omnipath",0.838798761381348,0.0013603269948402,Inf,0.836114725806167,0.841447174840918
"z","omnipath",0.825688957710928,0.00140438379748862,Inf,0.822919248853535,0.828424377962161
"knn","omnipath",0.812743649293844,0.00144503674669929,Inf,0.809894931901551,0.81555940025282
"wsld","omnipath",0.810606048079413,0.00145149308784847,Inf,0.807744787261534,0.813434561286785
"COSNet","omnipath",0.560950399454633,0.00185081066108582,Inf,0.557319683430319,0.564574602595318
"bagsvm","omnipath",0.829188029704127,0.00139291948788305,Inf,0.826440609749442,0.831900804583682
"rf","omnipath",0.780525180453171,0.0015352717588239,Inf,0.777501280344394,0.783519426434953
"svm","omnipath",0.722870179356999,0.00166376110129471,Inf,0.719597466923905,0.726119232427506
