"method","cv_scheme","network","prob","SE","df","asymp.LCL","asymp.UCL"
"pr","classic","string",0.146853373198531,0.00199773181384099,Inf,0.142980944164262,0.150812225406334
"randomraw","classic","string",0.0969628966860439,0.00168145778521826,Inf,0.0937169225862333,0.100308854522357
"random","classic","string",0.0713993733259106,0.00146747666672349,Inf,0.0685761075417141,0.0743295967792139
"EGAD","classic","string",0.505774998602347,0.00259193318806985,Inf,0.500694481489419,0.510854323337951
"ppr","classic","string",0.627589216029831,0.00238742368257121,Inf,0.622898125230695,0.632256402572354
"raw","classic","string",0.633464303215644,0.00237314136156261,Inf,0.62880071895746,0.638103017567292
"gm","classic","string",0.206873255976551,0.00226430462135648,Inf,0.20247047635855,0.211346404165045
"mc","classic","string",0.558077719750908,0.00252555154872157,Inf,0.553122119466979,0.563021780745598
"z","classic","string",0.622925326716871,0.00239847083591437,Inf,0.618212974481483,0.627614550492151
"knn","classic","string",0.583609008418988,0.0024814147665,Inf,0.578737535948626,0.588464205668615
"wsld","classic","string",0.585609944137515,0.00247763217088044,Inf,0.580745703536496,0.590457547602141
"COSNet","classic","string",0.330180011917823,0.00256391209553673,Inf,0.325174366752511,0.335224434730892
"bagsvm","classic","string",0.625517624974566,0.00239236230651946,Inf,0.620817027645925,0.630194661635261
"rf","classic","string",0.654853148905492,0.00231767995606209,Inf,0.650296551796186,0.65938147246865
"svm","classic","string",0.59910944062154,0.00245088415762484,Inf,0.5942964158629,0.603903422723728
"pr","block","string",0.069466521601485,0.00104349855104842,Inf,0.0674489535446083,0.0715398104625492
"randomraw","block","string",0.0444954935025135,0.000824036253484045,Inf,0.0429080712544521,0.0461388127254004
"random","block","string",0.0322702853551527,0.00069624358403341,Inf,0.0309332133953748,0.0336631439122411
"EGAD","block","string",0.307397339015199,0.00222894602973147,Inf,0.30304603444773,0.31178317223392
"ppr","block","string",0.42225383186891,0.00249717055408549,Inf,0.417367253434138,0.42715567762448
"raw","block","string",0.428418003284903,0.00250705259189783,Inf,0.42351148275537,0.433338638862874
"gm","block","string",0.101625453316778,0.0012785789332454,Inf,0.0991467442436986,0.104158966143739
"mc","block","string",0.353874342494104,0.00235695699141433,Inf,0.349268546031386,0.358507413918481
"z","block","string",0.417405578361283,0.00248907952927714,Inf,0.412535305335591,0.422292017363036
"knn","block","string",0.378055518625672,0.00241299337771061,Inf,0.373337868933251,0.382796367182024
"wsld","block","string",0.379994853028393,0.00241717971817631,Inf,0.375268831674011,0.384743737960268
"COSNet","block","string",0.176130444802274,0.00170867474827368,Inf,0.172806496370898,0.179504455202831
"bagsvm","block","string",0.420095454969536,0.00249360319603803,Inf,0.415216067983864,0.424990510181718
"rf","block","string",0.451410009953246,0.00253991542083824,Inf,0.446436892299427,0.456392852024609
"svm","block","string",0.393252576407852,0.00244458260120101,Inf,0.388471691196009,0.398054000951209
"pr","representative","string",0.0916810105515672,0.00133798467387549,Inf,0.0890921113660579,0.0943373486049297
"randomraw","representative","string",0.0592328821672339,0.00107636594815149,Inf,0.0571581126740938,0.0613780605431356
"random","representative","string",0.0431413721428721,0.000917919030473656,Inf,0.0413776798951976,0.0449767133207063
"EGAD","representative","string",0.375033538369996,0.0024394442510983,Inf,0.370264637796012,0.379826814095799
"ppr","representative","string",0.497026231028794,0.00255099655703595,Inf,0.492026833643667,0.50202622311613
"raw","representative","string",0.503330996461214,0.00255186887345794,Inf,0.498329258884142,0.508332067435147
"gm","representative","string",0.132657850678502,0.00160185034957822,Inf,0.129549629643619,0.135829008875008
"mc","representative","string",0.42545497385878,0.0025075506907995,Inf,0.420547784933701,0.430376893990893
"z","representative","string",0.492050634793273,0.00254997092536251,Inf,0.487053744422351,0.497049113966771
"knn","representative","string",0.45111243746786,0.00253023393024037,Inf,0.44615828643667,0.456076299167005
"wsld","representative","string",0.453153480111353,0.00253169600619772,Inf,0.448196262874187,0.458120006009481
"COSNet","representative","string",0.224235082426477,0.00203384554136037,Inf,0.220274023013514,0.228246520517232
"bagsvm","representative","string",0.494812990285301,0.00255057706301354,Inf,0.489814636170904,0.499812381445478
"rf","representative","string",0.526639120698362,0.00255094130056558,Inf,0.521636862727747,0.531636036562705
"svm","representative","string",0.46704092908018,0.00254031014076742,Inf,0.462065458746231,0.472022963844583
"pr","classic","omnipath",0.162559020047463,0.00207749875079231,Inf,0.158528181187737,0.166672049052156
"randomraw","classic","omnipath",0.0904275596166374,0.00163097408768032,Inf,0.0872813858637578,0.0936755019293206
"random","classic","omnipath",0.0717012142109379,0.00147029111371403,Inf,0.0688723937396117,0.0746369103992884
"EGAD","classic","omnipath",0.266936296831787,0.00244511161634984,Inf,0.262171401559804,0.271755896167094
"ppr","classic","omnipath",0.425846150156167,0.00262928997990921,Inf,0.420701068355298,0.431007339331451
"raw","classic","omnipath",0.534709429842174,0.00255922177315251,Inf,0.529690104931862,0.539721735058188
"gm","classic","omnipath",0.272444137671567,0.00245816118916857,Inf,0.267652966059111,0.277288601236636
"mc","classic","omnipath",0.479568427971357,0.00261287561246754,Inf,0.474449611439805,0.484691538095322
"z","classic","omnipath",0.493110175863031,0.002603093588487,Inf,0.488009100670734,0.498212685970389
"knn","classic","omnipath",0.488191244821816,0.00260690499027636,Inf,0.483083216412426,0.493301740706222
"wsld","classic","omnipath",0.480199150799677,0.00261246966688201,Inf,0.475081062712452,0.485321398220443
"COSNet","classic","omnipath",0.242186369711527,0.00237948690981318,Inf,0.237553263078077,0.24688057877519
"bagsvm","classic","omnipath",0.518519160839037,0.00257875642717018,Inf,0.513463168219678,0.523571363846759
"rf","classic","omnipath",0.479134072205008,0.00261315234082125,Inf,0.474014759600517,0.484257770923605
"svm","classic","omnipath",0.413544588542305,0.00262787858100158,Inf,0.408403673444094,0.418704415769837
"pr","block","omnipath",0.0776490859160124,0.00110736127746291,Inf,0.0755062875007008,0.079847442819848
"randomraw","block","omnipath",0.0413346121580461,0.000792690058425957,Inf,0.0398086061192296,0.0429165008775011
"random","block","omnipath",0.0324124818680552,0.00069784514204158,Inf,0.03107227296275,0.0338084796462609
"EGAD","block","omnipath",0.13638575542699,0.00149511994797491,Inf,0.133481794382404,0.139342734193825
"ppr","block","omnipath",0.243380286648611,0.0020066222924691,Inf,0.239468964911582,0.247334717037062
"raw","block","omnipath",0.332620880306994,0.00230177642241497,Inf,0.328124929839785,0.337147521470242
"gm","block","omnipath",0.139713267539106,0.00151426203120336,Inf,0.136771687562733,0.142707653832291
"mc","block","omnipath",0.285531175702851,0.00215919601839312,Inf,0.281318124441065,0.289781881311714
"z","block","omnipath",0.296717664964644,0.00219565858230573,Inf,0.292432369800707,0.301039039517703
"knn","block","omnipath",0.29262683866482,0.00218251511682559,Inf,0.288367591952871,0.2969227466529
"wsld","block","omnipath",0.286046967175514,0.00216091351995579,Inf,0.281830514346507,0.290301002864643
"COSNet","block","omnipath",0.121730249367004,0.00140770460380588,Inf,0.118998022430238,0.124516342659585
"bagsvm","block","omnipath",0.318362835253212,0.00226159869034452,Inf,0.313946721308888,0.322811839065739
"rf","block","omnipath",0.285176262988689,0.00215801216842999,Inf,0.280965556305265,0.289424673144694
"svm","block","omnipath",0.234199635401647,0.00197007719250891,Inf,0.230360472920261,0.238082988200843
"pr","representative","omnipath",0.102192884075734,0.00141142145514941,Inf,0.0994595403723541,0.104992587588753
"randomraw","representative","omnipath",0.0550854382255126,0.00103789441389498,Inf,0.0530862193402602,0.0571554028913859
"random","representative","omnipath",0.0433293264568677,0.000919930483768824,Inf,0.0415616865319376,0.0451686020523034
"EGAD","representative","omnipath",0.175953657973693,0.00182821073955381,Inf,0.172399077245493,0.179565626494715
"ppr","representative","omnipath",0.303095000852466,0.0022860168219686,Inf,0.298633292659586,0.307594134270327
"raw","representative","omnipath",0.402581054118505,0.00248055630788321,Inf,0.397728973440897,0.407452282097208
"gm","representative","omnipath",0.180045280642864,0.00184738865439355,Inf,0.176452836679568,0.183694550049531
"mc","representative","omnipath",0.350792986040578,0.00239533276190641,Inf,0.346112781578245,0.355502069783493
"z","representative","omnipath",0.363236404186011,0.00241891619095681,Inf,0.358508833958687,0.367990553725586
"knn","representative","omnipath",0.358696233113254,0.00241054244840568,Inf,0.353985493792743,0.363434393983944
"wsld","representative","omnipath",0.351368690761576,0.00239646798155049,Inf,0.346686208731752,0.35607994625257
"COSNet","representative","omnipath",0.15782334165899,0.00173887458196645,Inf,0.154445036089589,0.161261450436713
"bagsvm","representative","omnipath",0.387063398791501,0.00245856466573376,Inf,0.382255893605699,0.391893009405216
"rf","representative","omnipath",0.350396737060616,0.00239454890808476,Inf,0.345718105094338,0.355104321107333
"svm","representative","omnipath",0.292532721393084,0.00225760732156838,Inf,0.288127600093916,0.29697709518538
