"method","cv_scheme","prob","SE","df","asymp.LCL","asymp.UCL"
"pr","classic",0.154543223153313,0.0014580268672702,NA,0.151707084639503,0.157422543367611
"randomraw","classic",0.0734529645528791,0.000778310360598824,NA,0.0719420133309934,0.0749930850247252
"random","classic",0.0968096387449905,0.000990599650460014,NA,0.0948854054305191,0.0987686363912988
"EGAD","classic",0.093644119194238,0.00117940819261556,NA,0.0913579643626256,0.0959814399996099
"ppr","classic",0.0428872458383903,0.000580542053588808,NA,0.0417637126496163,0.0440396153404786
"raw","classic",0.0571238105287722,0.000756857691552793,NA,0.0556583642078163,0.0586254457042551
"gm","classic",0.0715501468667501,0.00104407299946083,NA,0.0695306149776772,0.0736236951870915
"mc","classic",0.0323413080734029,0.000498949050343333,NA,0.0313775482063932,0.0333336510761707
"z","classic",0.0432352517799,0.000656117529041284,NA,0.0419673904110295,0.0445396353120048
"knn","classic",0.37905510040991,0.00195858397318766,NA,0.375223988245194,0.382901356036092
"wsld","classic",0.209328616473999,0.00141201884771892,NA,0.206574560192027,0.212109574153404
"COSNet","classic",0.263599286523906,0.00163645054716265,NA,0.260404454350497,0.266819174548778
"bagsvm","classic",0.527854764301732,0.00191063720705458,NA,0.524108486709604,0.531597907339514
"rf","classic",0.326538761100606,0.00171108803945808,NA,0.323194002893097,0.329901261701026
"svm","classic",0.395978706354295,0.00184351156592949,NA,0.392371227548152,0.399597540513292
"pr","block",0.584939604194084,0.00182578845142645,NA,0.581356703843349,0.588513544710988
"randomraw","block",0.37934441827291,0.00178661651773325,NA,0.375849051098092,0.382852352612494
"random","block",0.45246920738885,0.00186551791298689,NA,0.448815488855771,0.456128055562689
"EGAD","block",0.238110450121283,0.00171146939546865,NA,0.234772291710451,0.241481094632784
"ppr","block",0.119362260270057,0.00102078616570628,NA,0.11737600625808,0.121377503721647
"raw","block",0.154877054851403,0.00125605509979022,NA,0.152431180803955,0.157354888629683
"gm","block",0.518939981104935,0.00189090283438832,NA,0.515232905390106,0.522644972752024
"mc","block",0.318728745862084,0.00167187707805205,NA,0.315460928201884,0.32201449059054
"z","block",0.387463386579248,0.00180857907124236,NA,0.383924650435925,0.391014038362709
"knn","block",0.559026275570388,0.00186230798442941,NA,0.555373092936688,0.562673078300753
"wsld","block",0.35475443758311,0.00174998245295676,NA,0.351332047406085,0.358191756714176
"COSNet","block",0.426395609797164,0.0018536627373744,NA,0.422766532157301,0.43003263164661
"bagsvm","block",0.536231725435609,0.0018791168334729,NA,0.532546814207038,0.539912684331721
"rf","block",0.3339808097059,0.00170533616061529,NA,0.330646792159154,0.337331502895109
"svm","block",0.404053842899519,0.00182827496237351,NA,0.400475664817517,0.407642253331284
"pr","representative",0.533275917164749,0.00188320644294762,NA,0.529583145752523,0.536965045871317
"randomraw","representative",0.331343335414042,0.00170133619920715,NA,0.328017283379191,0.334686315811574
"random","representative",0.401196336348729,0.00182688923318921,NA,0.397621030516319,0.404782187679635
"EGAD","representative",0.284133302693016,0.00180423792873353,NA,0.280610371467388,0.287682775658104
"ppr","representative",0.146857133165918,0.00114454127505161,NA,0.144628027348179,0.149114606210572
"raw","representative",0.188798829778186,0.00138149799374616,NA,0.186106029091455,0.191521424585544
"gm","representative",0.572870552514935,0.00184233766716931,NA,0.569255815499743,0.576477523743923
"mc","representative",0.367758803195903,0.0017689712273565,NA,0.3642985707259,0.371232708993304
"z","representative",0.440234379726704,0.00185952447804595,NA,0.436593063714268,0.443882138555284
"knn","representative",0.569169712802095,0.00186131271825759,NA,0.56551791639244,0.572814001332638
"wsld","representative",0.364253020982748,0.00177653796312384,NA,0.36077822843942,0.367742027100681
"COSNet","representative",0.436514712508245,0.0018718232089429,NA,0.432849544931435,0.440186827636061
"bagsvm","representative",0.506552689372431,0.00192148354284485,NA,0.502786350238065,0.510318284910432
"rf","representative",0.308060131017734,0.0016667022306017,NA,0.304803098946346,0.31133638029808
"svm","representative",0.375763043557624,0.00181541652506648,NA,0.372211653483384,0.379327844314834
