"network","method","prob","SE","df","asymp.LCL","asymp.UCL"
"string","pr",0.0983320102283962,0.00139991691755629,NA,0.0956221240146791,0.101110107398107
"omnipath","pr",0.109514524214332,0.00147200838342904,NA,0.106662594859673,0.112433110862213
"string","randomraw",0.0636950005741306,0.00113804626430407,NA,0.061500536657316,0.0659622639087079
"omnipath","randomraw",0.0592548011711362,0.00109891016929384,NA,0.057137300261202,0.0614456622767428
"string","random",0.0464511419321044,0.000975899390206505,NA,0.044575442528206,0.0484017707981708
"omnipath","random",0.04665281289304,0.000977973416685586,NA,0.0447730379508826,0.0486074933197004
"string","EGAD",0.393338851955356,0.00238764431160847,NA,0.388669072799053,0.39802820750696
"omnipath","EGAD",0.187456516925779,0.0018678791079969,NA,0.1838230112486,0.191145023489835
"string","ppr",0.516366245593891,0.00244753295495355,NA,0.511567808174722,0.521161667013842
"omnipath","ppr",0.319685124526306,0.00226859945071488,NA,0.315255236043184,0.324147793589334
"string","raw",0.522661408296072,0.0024461150679728,NA,0.51786516980627,0.527453471432754
"omnipath","raw",0.421324494763417,0.00241609667353033,NA,0.416596405900954,0.426067055215344
"string","gm",0.141817388291104,0.00165581622173552,NA,0.138602940265107,0.145093828067374
"omnipath","gm",0.191753383268971,0.00188549284063001,NA,0.188085021287907,0.195476066486739
"string","mc",0.444471061713593,0.0024329438909142,NA,0.439707835346968,0.449244514722407
"omnipath","mc",0.368612975262988,0.00235497372522297,NA,0.364009457734211,0.373240545223852
"string","z",0.511393890482321,0.00244834648358375,NA,0.506594316844029,0.516191364200025
"omnipath","z",0.381317230397993,0.00237265524797708,NA,0.376677915284066,0.385978302708193
"string","knn",0.470336523905609,0.0024447284404878,NA,0.465547824022077,0.475130691104214
"omnipath","knn",0.376684753753263,0.00236642849316994,NA,0.372058060087243,0.381334042727191
"string","wsld",0.472389688679816,0.00244534802330963,NA,0.467599585495779,0.477184880934833
"omnipath","wsld",0.369201293612235,0.00235583472517168,NA,0.364596035777084,0.373830497819429
"string","COSNet",0.237982756973196,0.00205346139660658,NA,0.233981478501307,0.242030841051877
"omnipath","COSNet",0.16838313468495,0.00178507760554799,NA,0.164913376133733,0.17191086810042
"string","bagsvm",0.514154919314794,0.00244792813357563,NA,0.509355911155734,0.518951318844189
"omnipath","bagsvm",0.405574837527176,0.0024011843805585,NA,0.400877410502907,0.410289613399474
"string","rf",0.545880837918507,0.00243712980821504,NA,0.54110007262258,0.550653157806556
"omnipath","rf",0.368208013713344,0.00235437867254598,NA,0.363605698787657,0.372834454062767
"string","svm",0.486342362995106,0.00244833346537089,NA,0.481545123635933,0.491142120033257
"omnipath","svm",0.308800884137922,0.00224528135880684,NA,0.304417647781385,0.313218813974902
