"network","method","cv_scheme","prob","SE","df","asymp.LCL","asymp.UCL"
"string","pr","classic",0.0818710094501585,0.00161846979756985,NA,0.0787543243172561,0.0850996430421348
"omnipath","pr","classic",0.109193667703114,0.00183569469908137,NA,0.105647438587925,0.11284391269733
"string","randomraw","classic",0.0479429207380241,0.00126505389750974,NA,0.0455234683705382,0.0504841593732648
"omnipath","randomraw","classic",0.0448271009979331,0.00122555572458559,NA,0.0424854635870381,0.0472914262194124
"string","random","classic",0.0374279858479286,0.001124797126979,NA,0.0352847580034452,0.0396960385706878
"omnipath","random","classic",0.0381360926750907,0.00113491345089356,NA,0.0359729503174612,0.0404238557800487
"string","EGAD","classic",0.362417243152332,0.00269710462780451,NA,0.35714783046242,0.367719929977607
"omnipath","EGAD","classic",0.184285976021363,0.00225875847485565,NA,0.17989998792425,0.188754283896612
"string","ppr","classic",0.492002807891992,0.00269240488281337,NA,0.48672687811237,0.497280519571496
"omnipath","ppr","classic",0.329506731046416,0.00265963650579873,NA,0.324315064708633,0.334740333287905
"string","raw","classic",0.507183148734013,0.00267713750305396,NA,0.501935457044692,0.512429258082121
"omnipath","raw","classic",0.419358060111892,0.00272363065045593,NA,0.414029476086434,0.424705517824112
"string","gm","classic",0.206886441934331,0.00235112161409193,NA,0.202316249260766,0.211532495371273
"omnipath","gm","classic",0.239409392209313,0.00246229781444967,NA,0.23461675782626,0.244268683295066
"string","mc","classic",0.378768315347836,0.00270954796272895,NA,0.373472413901688,0.384093275424721
"omnipath","mc","classic",0.35549441142315,0.00269062224547525,NA,0.350238601726439,0.360785298186857
"string","z","classic",0.502836480713963,0.00268181094905941,NA,0.497580107999018,0.508092226520199
"omnipath","z","classic",0.38210630670829,0.0027116007330827,NA,0.376805956748812,0.387434862352743
"string","knn","classic",0.457841641645319,0.0027158364425534,NA,0.452523711509287,0.4631691954955
"omnipath","knn","classic",0.390606897369498,0.00271609362541839,NA,0.385296664502475,0.395943175847248
"string","wsld","classic",0.459021592908635,0.00271528268069585,NA,0.453704609655208,0.464347923014643
"omnipath","wsld","classic",0.379834698921719,0.00271022154831785,NA,0.374537341311921,0.385160842386116
"string","COSNet","classic",0.294018427876803,0.00259948243264218,NA,0.288949418644963,0.299138951419876
"omnipath","COSNet","classic",0.199424581617589,0.00232208758272367,NA,0.194912341775592,0.204014809669872
"string","bagsvm","classic",0.50146453131133,0.00268323585340506,NA,0.496205517591987,0.506723221008878
"omnipath","bagsvm","classic",0.411752671749771,0.002722770492513,NA,0.406426710383587,0.417099383203392
"string","rf","classic",0.587761495112579,0.00254734606393483,NA,0.582759920778265,0.592745013216356
"omnipath","rf","classic",0.396158220528514,0.00271846342691044,NA,0.390842644122245,0.401498441426983
"string","svm","classic",0.529291370749174,0.00264964655099104,NA,0.524095174484081,0.534481225930306
"omnipath","svm","classic",0.335233364481623,0.0026673837659171,NA,0.330025756313352,0.340481385237858
"string","pr","block",0.0329432340988874,0.000693895653246509,NA,0.0316100086692084,0.0343306979093925
"omnipath","pr","block",0.044732874908441,0.000818128352018043,NA,0.0431564884291996,0.0463640523009001
"string","randomraw","block",0.0188744330356927,0.000517006598490371,NA,0.0178873520541693,0.0199148797595479
"omnipath","randomraw","block",0.0176128308264294,0.000498670480694572,NA,0.0166616266259228,0.0186173106937524
"string","random","block",0.0146368413857712,0.000452928372581301,NA,0.0137751332255435,0.0155516039844286
"omnipath","random","block",0.0149204421322733,0.000457457796395107,NA,0.0140498722798555,0.0158440881003343
"string","EGAD","block",0.178408670480132,0.00175105560651131,NA,0.175002468019405,0.181866555441877
"omnipath","EGAD","block",0.0794492689969813,0.00112126862555082,NA,0.0772792088555525,0.0816748722587574
"string","ppr","block",0.270069527384259,0.00216245385096191,NA,0.265852206489962,0.274328750445365
