cv_scheme = classic:
 network  method          prob           SE df  asymp.LCL  asymp.UCL
 string   pr        0.08187101 0.0016184698 NA 0.07875432 0.08509964
 omnipath pr        0.10919367 0.0018356947 NA 0.10564744 0.11284391
 string   randomraw 0.04794292 0.0012650539 NA 0.04552347 0.05048416
 omnipath randomraw 0.04482710 0.0012255557 NA 0.04248546 0.04729143
 string   random    0.03742799 0.0011247971 NA 0.03528476 0.03969604
 omnipath random    0.03813609 0.0011349135 NA 0.03597295 0.04042386
 string   EGAD      0.36241724 0.0026971046 NA 0.35714783 0.36771993
 omnipath EGAD      0.18428598 0.0022587585 NA 0.17989999 0.18875428
 string   ppr       0.49200281 0.0026924049 NA 0.48672688 0.49728052
 omnipath ppr       0.32950673 0.0026596365 NA 0.32431506 0.33474033
 string   raw       0.50718315 0.0026771375 NA 0.50193546 0.51242926
 omnipath raw       0.41935806 0.0027236307 NA 0.41402948 0.42470552
 string   gm        0.20688644 0.0023511216 NA 0.20231625 0.21153250
 omnipath gm        0.23940939 0.0024622978 NA 0.23461676 0.24426868
 string   mc        0.37876832 0.0027095480 NA 0.37347241 0.38409328
 omnipath mc        0.35549441 0.0026906222 NA 0.35023860 0.36078530
 string   z         0.50283648 0.0026818109 NA 0.49758011 0.50809223
 omnipath z         0.38210631 0.0027116007 NA 0.37680596 0.38743486
 string   knn       0.45784164 0.0027158364 NA 0.45252371 0.46316920
 omnipath knn       0.39060690 0.0027160936 NA 0.38529666 0.39594318
 string   wsld      0.45902159 0.0027152827 NA 0.45370461 0.46434792
 omnipath wsld      0.37983470 0.0027102215 NA 0.37453734 0.38516084
 string   COSNet    0.29401843 0.0025994824 NA 0.28894942 0.29913895
 omnipath COSNet    0.19942458 0.0023220876 NA 0.19491234 0.20401481
 string   bagsvm    0.50146453 0.0026832359 NA 0.49620552 0.50672322
 omnipath bagsvm    0.41175267 0.0027227705 NA 0.40642671 0.41709938
 string   rf        0.58776150 0.0025473461 NA 0.58275992 0.59274501
 omnipath rf        0.39615822 0.0027184634 NA 0.39084264 0.40149844
 string   svm       0.52929137 0.0026496466 NA 0.52409517 0.53448123
 omnipath svm       0.33523336 0.0026673838 NA 0.33002576 0.34048139

cv_scheme = block:
 network  method          prob           SE df  asymp.LCL  asymp.UCL
 string   pr        0.03294323 0.0006938957 NA 0.03161001 0.03433070
 omnipath pr        0.04473287 0.0008181284 NA 0.04315649 0.04636405
 string   randomraw 0.01887443 0.0005170066 NA 0.01788735 0.01991488
 omnipath randomraw 0.01761283 0.0004986705 NA 0.01666163 0.01861731
 string   random    0.01463684 0.0004529284 NA 0.01377513 0.01555160
 omnipath random    0.01492044 0.0004574578 NA 0.01404987 0.01584409
 string   EGAD      0.17840867 0.0017510556 NA 0.17500247 0.18186656
 omnipath EGAD      0.07944927 0.0011212686 NA 0.07727921 0.08167487
 string   ppr       0.27006953 0.0021624539 NA 0.26585221 0.27432875
 omnipath ppr       0.15806516 0.0016403013 NA 0.15487673 0.16130671
 string   raw       0.28220631 0.0022073226 NA 0.27790023 0.28655264
 omnipath raw       0.21624448 0.0019371994 NA 0.21247178 0.22006545
 string   gm        0.09062110 0.0012061908 NA 0.08828461 0.09301312
 omnipath gm        0.10734056 0.0013251715 NA 0.10477078 0.10996563
 string   mc        0.18891775 0.0018052448 NA 0.18540492 0.19248140
 omnipath mc        0.17404127 0.0017279433 NA 0.17068053 0.17745403
 string   z         0.27869737 0.0021945660 NA 0.27441653 0.28301893
 omnipath z         0.19109730 0.0018162370 NA 0.18756284 0.19468240
 string   knn       0.24391885 0.0020585023 NA 0.23990690 0.24797601
 omnipath knn       0.19670131 0.0018441195 NA 0.19311196 0.20034081
 string   wsld      0.24479641 0.0020621555 NA 0.24077725 0.24886068
 omnipath wsld      0.18961277 0.0018087591 NA 0.18609303 0.19318328
 string   COSNet    0.13726135 0.0015183662 NA 0.13431244 0.14026451
 omnipath COSNet    0.08689321 0.0011783799 NA 0.08461123 0.08923073
 string   bagsvm    0.27759550 0.0021905242 NA 0.27332266 0.28190922
 omnipath bagsvm    0.21098422 0.0019127682 NA 0.20725966 0.21475758
 string   rf        0.35261618 0.0024274755 NA 0.34787316 0.35738843
 omnipath rf        0.20040310 0.0018622413 NA 0.19677807 0.20407794
 string   svm       0.30048728 0.0022709841 NA 0.29605512 0.30495704
 omnipath svm       0.16153006 0.0016597329 NA 0.15830342 0.16480958

cv_scheme = representative:
 network  method          prob           SE df  asymp.LCL  asymp.UCL
 string   pr        0.04492509 0.0009305844 NA 0.04313606 0.04678470
 omnipath pr        0.06073347 0.0010862681 NA 0.05863900 0.06289775
 string   randomraw 0.02587621 0.0007018867 NA 0.02453556 0.02728807
 omnipath randomraw 0.02415812 0.0006777473 NA 0.02286478 0.02552271
 string   random    0.02009882 0.0006172036 NA 0.01892412 0.02134485
 omnipath random    0.02048605 0.0006232188 NA 0.01929956 0.02174386
 string   EGAD      0.23067773 0.0020973286 NA 0.22659271 0.23481404
 omnipath EGAD      0.10648343 0.0014470676 NA 0.10368032 0.10935308
 string   ppr       0.33814048 0.0024308182 NA 0.33339270 0.34292109
 omnipath ppr       0.20586755 0.0019938293 NA 0.20198718 0.20980286
 string   raw       0.35186172 0.0024612370 NA 0.34705303 0.35670063
 omnipath raw       0.27587632 0.0022590887 NA 0.27147065 0.28032597
 string   gm        0.12095721 0.0015429499 NA 0.11796553 0.12401408
 omnipath gm        0.14239721 0.0016732306 NA 0.13914913 0.14570828
 string   mc        0.24335373 0.0021460621 NA 0.23917223 0.24758456
 omnipath mc        0.22538181 0.0020761547 NA 0.22133868 0.22947702
 string   z         0.34790646 0.0024527350 NA 0.34311481 0.35272910
