cv_scheme = classic:
 method          prob           SE  df  asymp.LCL  asymp.UCL
 pr        0.09465319 0.0012351977 Inf 0.09225982 0.09710202
 randomraw 0.04636011 0.0008837249 Inf 0.04465850 0.04812329
 random    0.03778045 0.0008011559 Inf 0.03624118 0.03938242
 EGAD      0.26381536 0.0018814403 Inf 0.26014438 0.26751941
 ppr       0.40825008 0.0020078806 Inf 0.40432067 0.41219126
 raw       0.46298353 0.0019892844 Inf 0.45908694 0.46688464
 gm        0.22272467 0.0017331914 Inf 0.21934617 0.22614014
 mc        0.36705387 0.0019618461 Inf 0.36321726 0.37090741
 z         0.44160870 0.0019989814 Inf 0.43769449 0.44553019
 knn       0.42387200 0.0019895768 Inf 0.41997732 0.42777617
 wsld      0.41890599 0.0019904924 Inf 0.41500985 0.42281228
 COSNet    0.24362251 0.0017994096 Inf 0.24011306 0.24716657
 bagsvm    0.45625383 0.0019911939 Inf 0.45235392 0.46015910
 rf        0.49165336 0.0020007953 Inf 0.48773246 0.49557528
 svm       0.42955801 0.0020208119 Inf 0.42560188 0.43352316

cv_scheme = block:
 method          prob           SE  df  asymp.LCL  asymp.UCL
 pr        0.03840607 0.0005457429 Inf 0.03735061 0.03949012
 randomraw 0.01823293 0.0003628529 Inf 0.01753519 0.01895789
 random    0.01477797 0.0003246333 Inf 0.01415501 0.01542792
 EGAD      0.12041460 0.0010681756 Inf 0.11833668 0.12252395
 ppr       0.20858389 0.0014269689 Inf 0.20580089 0.21139451
 raw       0.24775613 0.0015457905 Inf 0.24473887 0.25079823
 gm        0.09866590 0.0009280436 Inf 0.09686184 0.10049982
 mc        0.18136080 0.0013087281 Inf 0.17880985 0.18393999
 z         0.23202463 0.0014997352 Inf 0.22909821 0.23497704
 knn       0.21939822 0.0014514009 Inf 0.21656679 0.22225617
 wsld      0.21592994 0.0014404506 Inf 0.21312009 0.21876654
 COSNet    0.10956433 0.0009932709 Inf 0.10763267 0.11152632
 bagsvm    0.24274076 0.0015303298 Inf 0.23975397 0.24575273
 rf        0.26979399 0.0016283673 Inf 0.26661438 0.27299741
 svm       0.22340494 0.0014851790 Inf 0.22050756 0.22632934

cv_scheme = representative:
 method          prob           SE  df  asymp.LCL  asymp.UCL
 pr        0.05226743 0.0007253008 Inf 0.05086400 0.05370740
 randomraw 0.02500279 0.0004916744 Inf 0.02405701 0.02598477
 random    0.02029153 0.0004414146 Inf 0.01944420 0.02117499
 EGAD      0.15898069 0.0013258454 Inf 0.15639927 0.16159655
 ppr       0.26682242 0.0016593953 Inf 0.26358270 0.27008736
 raw       0.31261166 0.0017493896 Inf 0.30919321 0.31605061
 gm        0.13130620 0.0011705230 Inf 0.12902898 0.13361745
 mc        0.23424816 0.0015501589 Inf 0.23122359 0.23730008
 z         0.29437361 0.0017156171 Inf 0.29102229 0.29774731
 knn       0.27958950 0.0016741856 Inf 0.27631997 0.28288260
 wsld      0.27550553 0.0016656007 Inf 0.27225303 0.27878201
 COSNet    0.14522909 0.0012423183 Inf 0.14281110 0.14768097
 bagsvm    0.30681890 0.0017377182 Inf 0.30342361 0.31023526
 rf        0.33782764 0.0018176294 Inf 0.33427440 0.34139927
 svm       0.28429511 0.0017100783 Inf 0.28095536 0.28765868

Results are averaged over the levels of: network, disease 
Confidence level used: 0.95 
Intervals are back-transformed from the logit scale 
