"method","network","prob","SE","df","asymp.LCL","asymp.UCL"
"pr","string",0.0496820682754702,0.00101163785518441,Inf,0.0477363762349868,0.0517027591707826
"randomraw","string",0.0286767278345662,0.000769891726588829,Inf,0.02720568770821,0.0302248373077997
"random","string",0.0222883698522089,0.000678924783186854,Inf,0.0209958082338671,0.0236585822598777
"EGAD","string",0.249955897739914,0.0021308323735274,Inf,0.245802847719935,0.254155470869174
"ppr","string",0.362171615612594,0.00239794735944975,Inf,0.357485028915643,0.366884559513316
"raw","string",0.376313559336731,0.00241965102188121,Inf,0.371583113912591,0.381067708165366
"gm","string",0.132646843173385,0.0016257833820856,Inf,0.129492659319353,0.135865865363991
"mc","string",0.263328654690275,0.00217219133982321,Inf,0.259093406684414,0.267608128218213
"z","string",0.372241303941866,0.00241365823223866,Inf,0.367522985377428,0.376984091952531
"knn","string",0.331148675697042,0.00234139641065312,Inf,0.326575784647242,0.33575367392774
"wsld","string",0.332202181342901,0.00234352258445295,Inf,0.327625026988369,0.336811249423427
"COSNet","string",0.19624883969842,0.00193446994337551,Inf,0.192485010292584,0.200068032244497
"bagsvm","string",0.370959805115287,0.00241172952979954,Inf,0.366245386535525,0.375698933903252
"rf","string",0.45530947992106,0.00249604914880382,Inf,0.45042178086047,0.460205804069247
"svm","string",0.397316308628687,0.00244730353758487,Inf,0.392529687453898,0.402122660857654
"pr","omnipath",0.06704683757452,0.00117259419657361,Inf,0.0647848322147563,0.069381963007259
"randomraw","omnipath",0.0267778044444704,0.000744035834591063,Inf,0.0253575013962466,0.0282753524060996
"random","omnipath",0.0227168073083062,0.000685410147216753,Inf,0.0214115238005719,0.024099703526868
"EGAD","omnipath",0.11696039812244,0.00153312566476862,Inf,0.113988852267892,0.119998916862323
"ppr","omnipath",0.223675117159898,0.00204108670306689,Inf,0.219700141340166,0.227701024551764
"raw","omnipath",0.297471247605085,0.00226552288076661,Inf,0.293050095894806,0.30193061274678
"gm","omnipath",0.15579164731066,0.00174939287058669,Inf,0.152393585335196,0.159251243158858
"mc","omnipath",0.244357964261375,0.00211267577601039,Inf,0.240240970471503,0.248522432443677
"z","omnipath",0.266085050986809,0.00218037068370158,Inf,0.26183353539519,0.270380314289071
"knn","omnipath",0.273145548331347,0.00220079487335452,Inf,0.26885339327058,0.277480220862413
"wsld","omnipath",0.264208254997907,0.00217481412833572,Inf,0.259967791074459,0.268492792121046
"COSNet","omnipath",0.127432389176797,0.00159584430275298,Inf,0.124337233399891,0.130593102670652
"bagsvm","omnipath",0.290968650135395,0.00224905908601745,Inf,0.286580341817934,0.2953963318887
"rf","omnipath",0.277788476705614,0.00221381766315741,Inf,0.273470394556163,0.282148262497123
"svm","omnipath",0.22818842380358,0.00205732866800651,Inf,0.224181246282121,0.232245786502323
