"method","cv_scheme","network","rate","SE","df","asymp.LCL","asymp.UCL"
"pr","classic","string",2.73618094163557,0.0558325958030212,Inf,2.62891043239046,2.84782853501862
"randomraw","classic","string",1.92421656942304,0.0467684865652194,Inf,1.83470108724899,2.01809953227529
"random","classic","string",1.40457674435411,0.0399296492525014,Inf,1.32845641108637,1.4850587601644
"EGAD","classic","string",15.3468216260754,0.134490687431534,Inf,15.0854755863978,15.6126953156813
"ppr","classic","string",20.1666294028823,0.155149641542971,Inf,19.8648228455841,20.4730213118213
"raw","classic","string",21.3007444053073,0.159688566491305,Inf,20.9900487691932,21.6160389720557
"gm","classic","string",9.67103428916677,0.105958093658035,Inf,9.46557414396418,9.880954160808
"mc","classic","string",14.5283418471007,0.130713471586134,Inf,14.2743937990571,14.7868077480221
"z","classic","string",21.249924238596,0.159487401782847,Inf,20.9396225625995,21.5648242367369
"knn","classic","string",20.2267159247777,0.155392796848995,Inf,19.9244331659655,20.5335847546471
"wsld","classic","string",20.4379598656099,0.156245217047904,Inf,20.1340077086845,20.7465006228297
"COSNet","classic","string",12.6852058863103,0.121842117617817,Inf,12.4486335149703,12.92627405125
"bagsvm","classic","string",21.0381011505647,0.158646728299367,Inf,20.7294458489648,21.3513522380771
"rf","classic","string",26.414179812003,0.17900603041708,Inf,26.0656542026724,26.7673655806151
"svm","classic","string",23.7809422849884,0.169273530608635,Inf,23.4514758130981,24.1150373848151
"pr","block","string",1.39802809928623,0.0287052035613428,Inf,1.34288396518924,1.45543666992734
"randomraw","block","string",0.983161892633285,0.0240011561771888,Inf,0.937228150915657,1.03134685634645
"random","block","string",0.717656397035363,0.0204674029774198,Inf,0.678641601968095,0.758914134813078
"EGAD","block","string",7.84132640554173,0.0710107568490508,Inf,7.70337576900632,7.98174743670558
"ppr","block","string",10.3039657005536,0.0826895943890317,Inf,10.1431649868341,10.4673156057302
"raw","block","string",10.8834319986649,0.0852914582000806,Inf,10.7175411058134,11.0518906249227
"gm","block","string",4.94133172250439,0.0553014035753101,Inf,4.83412307960771,5.05091798237988
"mc","block","string",7.42313120788775,0.0689038276840104,Inf,7.28930324448663,7.55941618579182
"z","block","string",10.8574658719399,0.0851758657084142,Inf,10.6918011161092,11.0256975302997
"knn","block","string",10.3346663916957,0.0828286468439379,Inf,10.1735936374303,10.4982893197828
"wsld","block","string",10.4425996648918,0.083316414298517,Inf,10.2805726519116,10.6071803053617
"COSNet","block","string",6.48139675429947,0.0639888124850366,Inf,6.35718660234402,6.60803379141873
"bagsvm","block","string",10.7492366884678,0.0846930807584738,Inf,10.5845164225105,10.9165203937863
"rf","block","string",13.4960978036436,0.096512795513813,Inf,13.3082556751928,13.6865912686844
"svm","block","string",12.1506677559286,0.0908292016567467,Inf,11.9739435646628,12.3300002307236
"pr","representative","string",1.18952940342875,0.02447823408915,Inf,1.14250756957958,1.23848650048091
"randomraw","representative","string",0.836535388820191,0.0204536643332262,Inf,0.797392340643488,0.877599922998787
"random","representative","string",0.610626772286017,0.0174349307446015,Inf,0.577393507035016,0.645772857660186
"EGAD","representative","string",6.67188901713521,0.0611047225273798,Inf,6.55319445603021,6.79273343033608
"ppr","representative","string",8.76725595071205,0.0713707063369397,Inf,8.6284819695009,8.90826186772945
"raw","representative","string",9.26030197764908,0.0736668412637297,Inf,9.11703739732863,9.40581780901523
"gm","representative","string",4.20439287237159,0.0474035145996408,Inf,4.11250273008438,4.29833621651756
"mc","representative","string",6.31606248958824,0.059259890921902,Inf,6.20097664828277,6.43328424457638
"z","representative","string",9.23820837935285,0.0735647630129324,Inf,9.09514343234997,9.38352371187335
"knn","representative","string",8.79337801137577,0.0714933378540284,Inf,8.65436419322095,8.93462478867196
"wsld","representative","string",8.885214364408,0.0719235772645746,Inf,8.74535910781938,9.02730617784401
"COSNet","representative","string",5.51477614681937,0.0549649948171727,Inf,5.40809214824009,5.62356467232624
"bagsvm","representative","string",9.14612024742266,0.0731384902218851,Inf,9.00388896068653,9.29059831208052
"rf","representative","string",11.4833208124935,0.0836056919204212,Inf,11.3206202764384,11.6483596890093
"svm","representative","string",10.3385451081778,0.0785644798299236,Inf,10.185702610117,10.4936810984117
"pr","classic","omnipath",3.98598059705919,0.0675032135611096,Inf,3.85584837095863,4.12050469613833
"randomraw","classic","omnipath",1.95606966459375,0.0471567191936987,Inf,1.86579378360294,2.05071351741527
"random","classic","omnipath",1.67055009549095,0.0435623286171466,Inf,1.58731466912203,1.75815021169584
"EGAD","classic","omnipath",7.79590044562444,0.0948931303642422,Inf,7.61211434093136,7.98412386310152
"ppr","classic","omnipath",13.3177794144087,0.124948263063001,Inf,13.0751231993241,13.5649389934633
"raw","classic","omnipath",16.8621602722366,0.141256456948438,Inf,16.5875631595588,17.1413031746464
"gm","classic","omnipath",10.1049603280035,0.108372266963563,Inf,9.8947714069898,10.3196141710148
"mc","classic","omnipath",14.7575393511015,0.131780515448654,Inf,14.5015013987169,15.0180978997513
"z","classic","omnipath",15.4336937059242,0.134886294833668,Inf,15.1715728420004,15.7003432596562
"knn","classic","omnipath",15.9363934746487,0.137156506619188,Inf,15.6698262663392,16.2074953903213
"wsld","classic","omnipath",15.4261647923373,0.134852047887765,Inf,15.164111003364,15.6927471809957
"COSNet","classic","omnipath",7.94416212856623,0.0958103804320342,Inf,7.75857928767669,8.13418405418451
"bagsvm","classic","omnipath",16.6603274733881,0.140371184028683,Inf,16.3874641905094,16.9377341298039
"rf","classic","omnipath",15.7979772940898,0.136534603977433,Inf,15.5326281153874,16.0678595232274
"svm","classic","omnipath",13.4107325398468,0.125399048592702,Inf,13.1671934004088,13.6587761557237
"pr","block","omnipath",2.03660247504226,0.0348022214968281,Inf,1.96952101108344,2.10596871930122
"randomraw","block","omnipath",0.999436957421685,0.0242021331702397,Inf,0.953109736332582,1.04801597736671
"random","block","omnipath",0.853553191319865,0.0223429491106235,Inf,0.810866202382482,0.898487380867147
"EGAD","block","omnipath",3.98324822615939,0.0493303903290641,Inf,3.88772643280494,4.08111699869649
"ppr","block","omnipath",6.80460475333538,0.0657044422120663,Inf,6.67703733830893,6.93460939381857
"raw","block","omnipath",8.61557564287518,0.0748063845040734,Inf,8.47019833019168,8.76344812299386
"gm","block","omnipath",5.16304249684486,0.0566127581535474,Inf,5.05326734398397,5.27520236109451
"mc","block","omnipath",7.5402376996419,0.0694981533010521,Inf,7.40524679398839,7.67768936657942
"z","block","omnipath",7.88571294695203,0.0712319252186231,Inf,7.74732955276986,8.02656815592598
