cv_scheme = classic:
 network  method          rate         SE df  asymp.LCL  asymp.UCL
 string   pr         2.7361809 0.05583260 NA  2.6289104  2.8478285
 omnipath pr         3.9859806 0.06750321 NA  3.8558484  4.1205047
 string   randomraw  1.9242166 0.04676849 NA  1.8347011  2.0180995
 omnipath randomraw  1.9560697 0.04715672 NA  1.8657938  2.0507135
 string   random     1.4045767 0.03992965 NA  1.3284564  1.4850588
 omnipath random     1.6705501 0.04356233 NA  1.5873147  1.7581502
 string   EGAD      15.3468216 0.13449069 NA 15.0854756 15.6126953
 omnipath EGAD       7.7959004 0.09489313 NA  7.6121143  7.9841239
 string   ppr       20.1666294 0.15514964 NA 19.8648228 20.4730213
 omnipath ppr       13.3177794 0.12494826 NA 13.0751232 13.5649390
 string   raw       21.3007444 0.15968857 NA 20.9900488 21.6160390
 omnipath raw       16.8621603 0.14125646 NA 16.5875632 17.1413032
 string   gm         9.6710343 0.10595809 NA  9.4655741  9.8809542
 omnipath gm        10.1049603 0.10837227 NA  9.8947714 10.3196142
 string   mc        14.5283418 0.13071347 NA 14.2743938 14.7868077
 omnipath mc        14.7575394 0.13178052 NA 14.5015014 15.0180979
 string   z         21.2499242 0.15948740 NA 20.9396226 21.5648242
 omnipath z         15.4336937 0.13488629 NA 15.1715728 15.7003433
 string   knn       20.2267159 0.15539280 NA 19.9244332 20.5335848
 omnipath knn       15.9363935 0.13715651 NA 15.6698263 16.2074954
 string   wsld      20.4379599 0.15624522 NA 20.1340077 20.7465006
 omnipath wsld      15.4261648 0.13485205 NA 15.1641110 15.6927472
 string   COSNet    12.6852059 0.12184212 NA 12.4486335 12.9262741
 omnipath COSNet     7.9441621 0.09581038 NA  7.7585793  8.1341841
 string   bagsvm    21.0381012 0.15864673 NA 20.7294458 21.3513522
 omnipath bagsvm    16.6603275 0.14037118 NA 16.3874642 16.9377341
 string   rf        26.4141798 0.17900603 NA 26.0656542 26.7673656
 omnipath rf        15.7979773 0.13653460 NA 15.5326281 16.0678595
 string   svm       23.7809423 0.16927353 NA 23.4514758 24.1150374
 omnipath svm       13.4107325 0.12539905 NA 13.1671934 13.6587762

cv_scheme = block:
 network  method          rate         SE df  asymp.LCL  asymp.UCL
 string   pr         1.3980281 0.02870520 NA  1.3428840  1.4554367
 omnipath pr         2.0366025 0.03480222 NA  1.9695210  2.1059687
 string   randomraw  0.9831619 0.02400116 NA  0.9372282  1.0313469
 omnipath randomraw  0.9994370 0.02420213 NA  0.9531097  1.0480160
 string   random     0.7176564 0.02046740 NA  0.6786416  0.7589141
