"method","cv_scheme","rate","SE","df","asymp.LCL","asymp.UCL"
"pr","classic",3.30247848492651,0.0439803932642943,Inf,3.21739375269799,3.38981330285012
"randomraw","classic",1.94007774575069,0.033296071146349,Inf,1.87590401383513,2.0064468287277
"random","classic",1.53180149314626,0.0296077019516086,Inf,1.47485690455507,1.59094472633803
"EGAD","classic",10.938111973903,0.0831575684772055,Inf,10.7763344295974,11.102318170921
"ppr","classic",16.3882495074891,0.101503636205333,Inf,16.190508691719,16.5884054067482
"raw","classic",18.951954149381,0.10912386796436,Inf,18.7392776167644,19.167044398708
"gm","classic",9.88561671433763,0.0767796400620136,Inf,9.7362709882457,10.0372532708644
"mc","classic",14.6424921551915,0.0945897402013603,Inf,14.458268385176,14.8290632600699
"z","classic",18.1097990594204,0.106735799291005,Inf,17.9018043921655,18.3202103423783
"knn","classic",17.9538548417102,0.105961574747771,Inf,17.7473705255443,18.1627415291323
"wsld","classic",17.7561070312745,0.105457667132848,Inf,17.5506121726169,17.9640079676528
"COSNet","classic",10.0385921420831,0.0783955202580641,Inf,9.88610968396797,10.1934264757868
"bagsvm","classic",18.7216894159334,0.108395896487016,Inf,18.510438259326,18.935351485267
"rf","classic",20.4276923051046,0.115038600180426,Inf,20.2034605520811,20.6544127347058
"svm","classic",17.8583273721117,0.107275122799068,Inf,17.6493048747594,18.0698253439775
"pr","block",1.68737295438351,0.0227992589291552,Inf,1.64327373243063,1.73265563186086
"randomraw","block",0.991266024146069,0.0171622247387951,Inf,0.958193000664277,1.02548059727545
"random","block",0.782660787289519,0.015232975212743,Inf,0.753366990504303,0.813093639197816
"EGAD","block",5.5887341586097,0.0443633125748867,Inf,5.5024565649401,5.67636457043998
"ppr","block",8.37343501701611,0.0552739279295703,Inf,8.26579791105312,8.48247377188279
"raw","block",9.68333783561151,0.0599792984348936,Inf,9.56649127390357,9.8016115787794
"gm","block",5.05097076553584,0.0408898177427299,Inf,4.97146064771133,5.13175251342735
"mc","block",7.48145532520937,0.0512596018235019,Inf,7.38165991779148,7.5825999038777
"z","block",9.25304594160466,0.0584847591339835,Inf,9.13912501114418,9.36838691811781
"knn","block",9.17336758592188,0.0580501783369891,Inf,9.06029399619073,9.28785234803883
"wsld","block",9.07233004437822,0.0577269514537813,Inf,8.95988988715652,9.18618124449389
"COSNet","block",5.12913224354124,0.041732297625782,Inf,5.04798716933998,5.21158170359893
"bagsvm","block",9.56568605215818,0.059534630142406,Inf,9.44970912381522,9.68308637329892
"rf","block",10.437353543234,0.0634250198426786,Inf,10.313780140094,10.5624075272818
"svm","block",9.12455864762388,0.0586369330337038,Inf,9.01035310531735,9.24021173651832
"pr","representative",1.43572203220695,0.0194980374457042,Inf,1.39801069981501,1.47445062762195
"randomraw","representative",0.843430888795214,0.0146481265746633,Inf,0.815204221726866,0.872634911859217
"random","representative",0.665936557260121,0.0129930871728473,Inf,0.640951346960535,0.691895727184996
"EGAD","representative",4.75524319790643,0.0383025812588767,Inf,4.68076099547193,4.83091059191232
"ppr","representative",7.12464017391781,0.0480281525961235,Inf,7.03112585826795,7.2193982345109
"raw","representative",8.2391870983673,0.0522619291108143,Inf,8.13738969524695,8.34225797021289
"gm","representative",4.29768060064851,0.0352840357167262,Inf,4.22907859080333,4.36739543818269
"mc","representative",6.36568828217317,0.0444742971658452,Inf,6.27911436065416,6.45345585035263
"z","representative",7.87306794794427,0.0509127731248402,Inf,7.77391045948182,7.9734902062506
"knn","representative",7.80527263900169,0.0505317738816295,Inf,7.70685789087035,7.90494412013458
"wsld","representative",7.71930360406047,0.0502381747858476,Inf,7.62146392355539,7.81839929039033
"COSNet","representative",4.36418525556234,0.0360060120092198,Inf,4.29418228113065,4.43532940568442
"bagsvm","representative",8.13908163134913,0.0518630074983063,Inf,8.03806412531899,8.24136866401721
"rf","representative",8.8807506372704,0.0553143066181515,Inf,8.77299565005511,8.98982913332269
"svm","representative",7.76374295352165,0.0510080365656242,Inf,7.66440996820856,7.86436332325338
