cv_scheme = classic:
 method          rate         SE  df  asymp.LCL  asymp.UCL
 pr         3.3024785 0.04398039 Inf  3.2173938  3.3898133
 randomraw  1.9400777 0.03329607 Inf  1.8759040  2.0064468
 random     1.5318015 0.02960770 Inf  1.4748569  1.5909447
 EGAD      10.9381120 0.08315757 Inf 10.7763344 11.1023182
 ppr       16.3882495 0.10150364 Inf 16.1905087 16.5884054
 raw       18.9519541 0.10912387 Inf 18.7392776 19.1670444
 gm         9.8856167 0.07677964 Inf  9.7362710 10.0372533
 mc        14.6424922 0.09458974 Inf 14.4582684 14.8290633
 z         18.1097991 0.10673580 Inf 17.9018044 18.3202103
 knn       17.9538548 0.10596157 Inf 17.7473705 18.1627415
 wsld      17.7561070 0.10545767 Inf 17.5506122 17.9640080
 COSNet    10.0385921 0.07839552 Inf  9.8861097 10.1934265
 bagsvm    18.7216894 0.10839590 Inf 18.5104383 18.9353515
 rf        20.4276923 0.11503860 Inf 20.2034606 20.6544127
 svm       17.8583274 0.10727512 Inf 17.6493049 18.0698253

cv_scheme = block:
 method          rate         SE  df  asymp.LCL  asymp.UCL
 pr         1.6873730 0.02279926 Inf  1.6432737  1.7326556
 randomraw  0.9912660 0.01716222 Inf  0.9581930  1.0254806
 random     0.7826608 0.01523298 Inf  0.7533670  0.8130936
 EGAD       5.5887342 0.04436331 Inf  5.5024566  5.6763646
 ppr        8.3734350 0.05527393 Inf  8.2657979  8.4824738
 raw        9.6833378 0.05997930 Inf  9.5664913  9.8016116
 gm         5.0509708 0.04088982 Inf  4.9714606  5.1317525
 mc         7.4814553 0.05125960 Inf  7.3816599  7.5825999
 z          9.2530459 0.05848476 Inf  9.1391250  9.3683869
 knn        9.1733676 0.05805018 Inf  9.0602940  9.2878523
 wsld       9.0723300 0.05772695 Inf  8.9598899  9.1861812
 COSNet     5.1291322 0.04173230 Inf  5.0479872  5.2115817
 bagsvm     9.5656861 0.05953463 Inf  9.4497091  9.6830864
 rf        10.4373535 0.06342502 Inf 10.3137801 10.5624075
 svm        9.1245586 0.05863693 Inf  9.0103531  9.2402117

cv_scheme = representative:
 method          rate         SE  df  asymp.LCL  asymp.UCL
 pr         1.4357220 0.01949804 Inf  1.3980107  1.4744506
 randomraw  0.8434309 0.01464813 Inf  0.8152042  0.8726349
 random     0.6659366 0.01299309 Inf  0.6409513  0.6918957
 EGAD       4.7552432 0.03830258 Inf  4.6807610  4.8309106
 ppr        7.1246402 0.04802815 Inf  7.0311259  7.2193982
 raw        8.2391871 0.05226193 Inf  8.1373897  8.3422580
 gm         4.2976806 0.03528404 Inf  4.2290786  4.3673954
 mc         6.3656883 0.04447430 Inf  6.2791144  6.4534559
 z          7.8730679 0.05091277 Inf  7.7739105  7.9734902
 knn        7.8052726 0.05053177 Inf  7.7068579  7.9049441
 wsld       7.7193036 0.05023817 Inf  7.6214639  7.8183993
 COSNet     4.3641853 0.03600601 Inf  4.2941823  4.4353294
 bagsvm     8.1390816 0.05186301 Inf  8.0380641  8.2413687
 rf         8.8807506 0.05531431 Inf  8.7729957  8.9898291
 svm        7.7637430 0.05100804 Inf  7.6644100  7.8643633

Results are averaged over the levels of: network, disease 
Confidence level used: 0.95 
Intervals are back-transformed from the log scale 
