"method","rate","SE","df","asymp.LCL","asymp.UCL"
"pr",0.42284163531806,0.0114250155599818,NA,0.401031614872967,0.445837789160556
"randomraw",0.122540449799168,0.00618506754143069,NA,0.110998266213935,0.135282850346875
"random",0.163639333814841,0.00693810017333412,NA,0.150590590800349,0.177818756331641
"EGAD",2.1107680895613,0.0265053270997711,NA,2.05945267187222,2.16336213439659
"ppr",3.20942589461566,0.0319892833595274,NA,3.14733650064265,3.2727401632861
"raw",4.37693763159855,0.0370655508559359,NA,4.30489005327479,4.45019101389827
"gm",3.70160166882817,0.0338359295653108,NA,3.63587499692801,3.76851649912286
"mc",1.66629926499565,0.0229256949427351,NA,1.62196615975244,1.71184412438594
"z",4.16537281378119,0.036154038392457,NA,4.09511153159502,4.23683959372641
"knn",3.83269134128296,0.0344764494494837,NA,3.76571092904302,3.90086312899181
"wsld",3.76740061077392,0.0342267501894512,NA,3.70091113328638,3.83508461859666
"COSNet",2.95102854487189,0.0309821799790782,NA,2.89092508963788,3.01238157427992
"bagsvm",4.37091821798696,0.037050311721936,NA,4.29890083672591,4.44414207118135
"rf",4.97761402884013,0.0401688057159047,NA,4.899503966307,5.05696935659008
"svm",4.06149692047426,0.0359912007285873,NA,3.99156452603884,4.1326545336828
