cv_scheme = classic:
 network  method           rate          SE df   asymp.LCL   asymp.UCL
 string   pr         0.59975722 0.026136315 NA  0.55065767  0.65323475
 omnipath pr         1.12117389 0.035795478 NA  1.05316604  1.19357332
 string   randomraw  0.16572041 0.013717783 NA  0.14090175  0.19491068
 omnipath randomraw  0.34078142 0.019684462 NA  0.30430437  0.38163098
 string   random     0.29242119 0.018231525 NA  0.25878503  0.33042929
 omnipath random     0.34439714 0.019788980 NA  0.30771573  0.38545118
 string   EGAD       6.48373562 0.087572503 NA  6.31434859  6.65766659
 omnipath EGAD       2.58433443 0.054605086 NA  2.47949622  2.69360541
 string   ppr        8.36707273 0.100069334 NA  8.17322135  8.56552185
 omnipath ppr        4.62992688 0.073568779 NA  4.48795692  4.77638785
 string   raw        9.80492325 0.108810299 NA  9.59396158 10.02052375
 omnipath raw        7.34834419 0.093482116 NA  7.16738794  7.53386907
 string   gm         7.88241586 0.096981289 NA  7.69460955  8.07480606
 omnipath gm         6.53751943 0.087949874 NA  6.36739360  6.71219072
 string   mc         2.32641321 0.051765528 NA  2.22713521  2.43011668
 omnipath mc         4.48861257 0.072404745 NA  4.34892172  4.63279039
 string   z          9.49969639 0.107002452 NA  9.29227345  9.71174943
 omnipath z          6.86896024 0.090245721 NA  6.69433980  7.04813562
 string   knn        8.24353570 0.099289677 NA  8.05121054  8.44045507
 omnipath knn        6.70173329 0.089093610 NA  6.52936834  6.87864839
 string   wsld       8.36089588 0.100030477 NA  8.16712056  8.55926876
 omnipath wsld       6.38445403 0.086872309 NA  6.21643780  6.55701136
 string   COSNet     8.29701819 0.099627782 NA  8.10403117  8.49460095
 omnipath COSNet     3.94746011 0.067782787 NA  3.81681898  4.08257279
 string   bagsvm     9.83686209 0.108998106 NA  9.62553281 10.05283112
 omnipath bagsvm     7.30435295 0.093189043 NA  7.12397044  7.48930284
 string   rf        12.65742343 0.124711471 NA 12.41533843 12.90422880
 omnipath rf         7.36190313 0.093572293 NA  7.18077034  7.54760493
 string   svm       10.14525270 0.110798661 NA  9.93039902 10.36475495
 omnipath svm        6.11508304 0.084947760 NA  5.95083462  6.28386487

cv_scheme = block:
