cv_scheme = classic:
 method          rate          SE  df  asymp.LCL  asymp.UCL
 pr        0.82001959 0.022205979 Inf 0.77763151 0.86471822
 randomraw 0.23764351 0.012002408 Inf 0.21524607 0.26237152
 random    0.31734685 0.013467288 Inf 0.29201936 0.34487105
 EGAD      4.09342658 0.051930130 Inf 3.99290035 4.19648369
 ppr       6.22406097 0.063045790 Inf 6.10171202 6.34886321
 raw       8.48822424 0.073495735 Inf 8.34539065 8.63350246
 gm        7.17854072 0.066884972 Inf 7.04863831 7.31083715
 mc        3.23146524 0.044840827 Inf 3.14476320 3.32055768
 z         8.07793518 0.071613401 Inf 7.93878789 8.21952139
 knn       7.43276379 0.068192804 Inf 7.30030287 7.56762816
 wsld      7.30614504 0.067673193 Inf 7.17470473 7.43999334
 COSNet    5.72294927 0.060965231 Inf 5.60469839 5.84369507
 bagsvm    8.47655075 0.073462441 Inf 8.33378298 8.62176430
 rf        9.65311997 0.079823948 Inf 9.49792892 9.81084675
 svm       7.87648797 0.071230807 Inf 7.73810816 8.01734241

cv_scheme = block:
 method          rate          SE  df  asymp.LCL  asymp.UCL
 pr        0.30660136 0.008408974 Inf 0.29055521 0.32353366
 randomraw 0.08885376 0.004504229 Inf 0.08045002 0.09813534
 random    0.11865445 0.005061695 Inf 0.10913713 0.12900173
 EGAD      1.53051238 0.020524381 Inf 1.49080938 1.57127274
 ppr       2.32714626 0.025650972 Inf 2.27741045 2.37796823
 raw       3.17370594 0.030747628 Inf 3.11401026 3.23454599
 gm        2.68402161 0.027595147 Inf 2.63047741 2.73865572
 mc        1.20822920 0.017568981 Inf 1.17428070 1.24315916
 z         3.02030085 0.029820818 Inf 2.96241502 3.07931777
 knn       2.77907439 0.028213448 Inf 2.72432356 2.83492554
 wsld      2.73173225 0.027949966 Inf 2.67749695 2.78706615
 COSNet    2.13978302 0.024618933 Inf 2.09207077 2.18858340
 bagsvm    3.16934128 0.030727993 Inf 3.10968413 3.23014290
 rf        3.60925481 0.033717430 Inf 3.54377119 3.67594847
 svm       2.94498071 0.029549163 Inf 2.88763118 3.00346923

cv_scheme = representative:
 method          rate          SE  df  asymp.LCL  asymp.UCL
 pr        0.30070104 0.008250395 Inf 0.28495767 0.31731421
 randomraw 0.08714383 0.004418058 Inf 0.07890092 0.09624790
 random    0.11637103 0.004965094 Inf 0.10703541 0.12652091
 EGAD      1.50105881 0.020162513 Inf 1.46205666 1.54110139
 ppr       2.28236206 0.025218560 Inf 2.23346596 2.33232862
 raw       3.11263034 0.030250869 Inf 3.05390085 3.17248925
 gm        2.63236962 0.027139785 Inf 2.57971046 2.68610370
 mc        1.18497774 0.017254986 Inf 1.15163662 1.21928411
 z         2.96217741 0.029335616 Inf 2.90523508 3.02023581
 knn       2.72559318 0.027749863 Inf 2.67174351 2.78052819
 wsld      2.67916210 0.027489495 Inf 2.62582182 2.73358593
 COSNet    2.09860449 0.024199096 Inf 2.05170708 2.14657387
 bagsvm    3.10834967 0.030231413 Inf 3.04965837 3.16817050
 rf        3.53979740 0.033180541 Inf 3.47535848 3.60543112
 svm       2.88830676 0.029065600 Inf 2.83189735 2.94583980

Results are averaged over the levels of: network, disease 
Confidence level used: 0.95 
Intervals are back-transformed from the log scale 
