"method","network","rate","SE","df","asymp.LCL","asymp.UCL"
"pr","string",0.309263737161431,0.0134655814145071,Inf,0.283966447640907,0.336814648060121
"randomraw","string",0.085453433542559,0.00707186891290092,Inf,0.072658535532304,0.100501465529345
"random","string",0.150786464181074,0.00939711367575048,Inf,0.133448871593797,0.170376545778805
"EGAD","string",3.34332666525295,0.0447516594567702,Inf,3.25675557905233,3.43219898431679
"ppr","string",4.31446607186315,0.0510096907149043,Inf,4.21563838194255,4.4156105905556
"raw","string",5.05589111759475,0.0553609053780446,Inf,4.94854177878638,5.16556919910304
"gm","string",4.06455362718031,0.0494672905559264,Inf,3.96874673020486,4.16267333526015
"mc","string",1.19961080848617,0.0266048570056756,Inf,1.14858331028623,1.25290527813627
"z","string",4.89850143374595,0.054462767484982,Inf,4.79291102921312,5.00641805160957
"knn","string",4.25076442292103,0.0506205245278299,Inf,4.15269891241971,4.35114573925194
"wsld","string",4.3112809894157,0.0509902993984983,Inf,4.21249127739089,4.41238747946076
"COSNet","string",4.27834257581966,0.0507893096522629,Inf,4.17994649956651,4.37905489890109
"bagsvm","string",5.07236032439429,0.0554541537229176,Inf,4.96482836664603,5.18222128952875
"rf","string",6.52677772864738,0.0632192315498912,Inf,6.40403906228573,6.65186878231862
"svm","string",5.23138139193546,0.0563476276020023,Inf,5.12209964938555,5.34299469772549
"pr","omnipath",0.578131306953467,0.018428360357695,Inf,0.543117520599442,0.615402367632746
"randomraw","omnipath",0.17572332923877,0.0101453017774329,Inf,0.156922678210435,0.196776455709917
"random","omnipath",0.177587767687213,0.0101991173545301,Inf,0.158681879676914,0.198746166205868
"EGAD","omnipath",1.33260742188743,0.028054113769181,Inf,1.27874130307105,1.38874261479203
"ppr","omnipath",2.38741350643684,0.0376901252625903,Inf,2.31467338326335,2.46243953549991
"raw","omnipath",3.78916052290647,0.0477163420304154,Inf,3.69678291133664,3.88384652621149
"gm","omnipath",3.37106018802287,0.0449412557601898,Inf,3.2841177616145,3.46030429362134
"mc","omnipath",2.31454503484246,0.0371009629626203,Inf,2.24295889028013,2.38841591860154
"z","omnipath",3.54196705103736,0.0460939009108426,Inf,3.45276708068279,3.63347144405507
"knn","omnipath",3.45573677015276,0.0455156519341337,Inf,3.36766934232051,3.54610723639425
"wsld","omnipath",3.29213229128527,0.0443997737397747,Inf,3.20625040569608,3.38031458929991
"COSNet","omnipath",2.03550073850275,0.0347584831190913,Inf,1.9685027814431,2.10477896983608
"bagsvm","omnipath",3.76647652108816,0.0475695386864681,Inf,3.67438643035756,3.86087463928715
"rf","omnipath",3.79615216730247,0.0477615078783057,Inf,3.70368609649629,3.89092674213075
"svm","omnipath",3.15323162261716,0.0434319172950724,Inf,3.06924538056572,3.23951604809134
