"label","coef","lower","upper"
"(Intercept)",-1.98542353316291,-2.08554675223057,-1.88530031409526
"methodrandomraw",-1.28622284053488,-1.46941544528579,-1.10303023578397
"methodrandom",-0.718329739707167,-0.867226243169311,-0.569433236245023
"methodEGAD",2.3805271666652,2.29142764932968,2.46962668400072
"methodppr",2.63553442699045,2.54728804483306,2.72378080914784
"methodraw",2.79411496912906,2.70630244540397,2.88192749285415
"methodgm",2.57586477596086,2.48743712262736,2.66429242929436
"methodmc",1.35555802572954,1.25995512096827,1.45116093049081
"methodz",2.76249017629557,2.67459637102195,2.8503839815692
"methodknn",2.62065967878165,2.53236907952448,2.70895027803882
"methodwsld",2.63479592108028,2.54654735806097,2.72304448409959
"methodCOSNet",2.62712653375556,2.53885523862783,2.7153978288833
"methodbagsvm",2.79736710428966,2.70956279849667,2.88517141008264
"methodrf",3.0494742127384,2.96223392814326,3.13671449733355
"methodsvm",2.82823621948043,2.74050863847435,2.91596380048651
"cv_schemeblock",-0.983779848220971,-0.996399124510576,-0.971160571931367
"cv_schemerepresentative",-1.00321168270521,-1.01592075289086,-0.99050261251956
"diseaseAlzheimers disease",1.4386096865659,1.38012473053863,1.49709464259316
"diseasearthritis",1.27885046707904,1.21940205636243,1.33829887779566
"diseaseasthma",0.791805238971752,0.728425430879854,0.855185047063649
"diseasebipolar disorder",1.86409791031726,1.80758965964622,1.92060616098831
"diseasecardiac arrhythmia",2.26400637554562,2.20876232871807,2.31925042237317
"diseaseCOPD",1.51862448778235,1.46057234297563,1.57667663258906
"diseasecoronary heart disease",1.59565839414154,1.53799418883437,1.65332259944871
"diseasedrug dependence",1.62004657862408,1.56249960379143,1.67759355345673
"diseasehypertension",1.73941272031177,1.6824030876096,1.79642235301394
"diseasemultiple sclerosis",2.22507803124951,2.16973084856786,2.28042521393117
"diseaseobesity",1.81856937830081,1.7618847472557,1.87525400934592
"diseaseParkinson's disease",2.20486183585672,2.14945956667291,2.26026410504052
"diseasepsoriasis",1.0759309039797,1.01504379551548,1.13681801244392
"diseaserheumatoid arthritis",0.539092061911068,0.472932491207803,0.605251632614334
"diseaseschizophrenia",1.75172292897824,1.69476541913961,1.80868043881687
"diseasestroke",2.19023452244232,2.13479173054637,2.24567731433827
"diseaselupus",1.52613109128173,1.46811796775697,1.58414421480649
"diseasetype I diabetes",1.50630478179227,1.44818803992987,1.56442152365467
"diseasetype II diabetes",1.5903735446609,1.53268358877193,1.64806350054987
"diseaseulcerative colitis",0.430878477294244,0.363340582405526,0.498416372182961
"diseaseunipolar depression",1.46196088763992,1.40360550175539,1.52031627352444
"methodpr:networkomnipath",0.625606586352203,0.519995889253209,0.731217283451198
"methodrandomraw:networkomnipath",0.720939174554256,0.523248671612983,0.918629677495529
"methodrandom:networkomnipath",0.163600261078244,-0.0024060044010949,0.329606526557583
"methodEGAD:networkomnipath",-0.91982882825338,-0.968394066782496,-0.871263589724265
"methodppr:networkomnipath",-0.591763014142133,-0.630001700346817,-0.553524327937449
"methodraw:networkomnipath",-0.288409624680632,-0.320621191529771,-0.256198057831492
"methodgm:networkomnipath",-0.18707663741676,-0.221998757261299,-0.152154517572221
"methodmc:networkomnipath",0.657215961070785,0.603883757365542,0.710548164776029
"methodz:networkomnipath",-0.324247091536949,-0.357311550354251,-0.291182632719648
"methodknn:networkomnipath",-0.207063148982143,-0.241399710599356,-0.17272658736493
"methodwsld:networkomnipath",-0.269699605582523,-0.304396812727631,-0.235002398437414
"methodCOSNet:networkomnipath",-0.742823834181018,-0.783188875874054,-0.702458792487982
"methodbagsvm:networkomnipath",-0.297666301838483,-0.329910894906884,-0.265421708770083
"methodrf:networkomnipath",-0.54192539876892,-0.572524755590404,-0.511326041947436
"methodsvm:networkomnipath",-0.506247532786702,-0.540045253010608,-0.472449812562796
