"method","prob","SE","df","asymp.LCL","asymp.UCL"
"pr",0.0199870592777827,0.000679232870545803,Inf,0.0186983271313042,0.0213626801971618
"randomraw",0.0151433963258761,0.000589280107670367,Inf,0.0140307617498871,0.0163427999707047
"random",0.00982528785342475,0.000472798106522299,Inf,0.00894059507594396,0.0107965693645258
"EGAD",0.0583608758406458,0.00118213080473706,Inf,0.0560866249878915,0.0607214127046627
"ppr",0.0972077310551845,0.00153725921718738,Inf,0.0942361440241541,0.100262649856876
"raw",0.115432591969803,0.00167627693615767,Inf,0.112187582956533,0.118758906940326
"gm",0.0467092880968805,0.00105308175001346,Inf,0.0446881156728268,0.0488172035863415
"mc",0.0548663259837109,0.0011448569427914,Inf,0.0526651883159532,0.057153909779613
"z",0.101474585175434,0.00157110987259553,Inf,0.0984364464514855,0.104595614211945
"knn",0.12374364538933,0.001735184698718,Inf,0.120382684526876,0.127184873177458
"wsld",0.12586661572185,0.00174981958701751,Inf,0.122476838988629,0.129336383185191
"COSNet",0.0550481179716672,0.00114682413481646,Inf,0.0528431219521206,0.0573395522664126
"bagsvm",0.116041153671384,0.00168068013796683,Inf,0.112787479536661,0.119376060019467
"rf",0.15934315758153,0.0019607400630876,Inf,0.155537630543898,0.163223797267317
"svm",0.124419535161545,0.00173986176041745,Inf,0.121049365639646,0.127869884142724
