"method","prob","SE","df","asymp.LCL","asymp.UCL"
"pr",0.728239276005004,0.00280439060284425,NA,0.722708064983931,0.733700809231579
"randomraw",0.630467565500108,0.00304946911641293,NA,0.624470973965754,0.636424151587032
"random",0.499987473890726,0.00316239963856626,NA,0.493789603891941,0.506185347738896
"EGAD",0.76430914781292,0.00267251019210668,NA,0.759030930634655,0.769506858707135
"ppr",0.862437041682814,0.00215998898755641,NA,0.858148532303232,0.866616051245307
"raw",0.858969587032215,0.00218301488340195,NA,0.854636468981231,0.863194215965738
"gm",0.511890083051285,0.00316145106963952,NA,0.505692242921832,0.518084269377375
"mc",0.840239066102565,0.0023000344920457,NA,0.835679411356848,0.844695710546541
"z",0.841264370958238,0.00229393229010401,NA,0.836716521977008,0.845708908911003
"knn",0.86472731355722,0.00214453006593001,NA,0.860468758850168,0.868875701502045
"wsld",0.865803455153473,0.00213719613809898,NA,0.861559112930431,0.869937317407122
"COSNet",0.409619479608123,0.0031090035205195,NA,0.403540111236929,0.41572659952131
"bagsvm",0.848749955378508,0.00224834497298118,NA,0.844290329534727,0.85310407746978
"rf",0.831877564909759,0.00234857469826868,NA,0.827224032233613,0.836430543169157
"svm",0.774917749053553,0.00262876034673566,NA,0.769723670456268,0.780028151909004
