"method","prob","SE","df","asymp.LCL","asymp.UCL"
"pr",0.0991910484003144,0.00234178500036447,Inf,0.0946947944500594,0.103876295275485
"randomraw",0.0536730697214339,0.00174698663387805,Inf,0.0503502733491784,0.0572019409432109
"random",0.046617097189193,0.00163115969963548,Inf,0.0435223478208907,0.0499204200196149
"EGAD",0.302141928395889,0.00369865950817434,Inf,0.294942373055197,0.309440094675336
"ppr",0.408837086011917,0.00398250323170501,Inf,0.401055111062205,0.416665015399381
"raw",0.416122171269348,0.00399383800529967,Inf,0.408316162447757,0.423970480001749
"gm",0.0732290271442806,0.00202913187177648,Inf,0.0693501195912022,0.0773068686694553
"mc",0.350584519096576,0.00385572644180432,Inf,0.34306541517019,0.358178569249082
"z",0.392304481932427,0.00395311140968662,Inf,0.384584226811671,0.40007896479064
"knn",0.429666603127438,0.00401231276199902,Inf,0.421820995955347,0.437547703454264
"wsld",0.432792694870083,0.00401609982483926,Inf,0.424938881729465,0.440680428141666
"COSNet",0.11766542950635,0.00253370781929572,Inf,0.112789553028607,0.1227229329232
"bagsvm",0.412444440876724,0.00398823868769032,Inf,0.404650324771537,0.420282702432068
"rf",0.44645235835857,0.00403056421442928,Inf,0.438566766768826,0.45436498924587
"svm",0.377363286711417,0.00392210682742549,Inf,0.369707498805573,0.385080751251201
