"method","rate","SE","df","asymp.LCL","asymp.UCL"
"pr",0.287715705851289,0.017998459510118,NA,0.254516219339285,0.325245784368478
"randomraw",0.0673511615587801,0.00867677663072874,NA,0.0523221672077608,0.0866970770783374
"random",0.146278285224741,0.0128055296061932,NA,0.123215052335721,0.173658463983685
"EGAD",1.56991327707764,0.042854778869003,NA,1.48812683977385,1.65619464125732
"ppr",2.26678723610754,0.052017667786537,NA,2.16709324273708,2.37106750759383
"raw",2.72730074331303,0.0574329737785428,NA,2.61702558501287,2.84222263132335
"gm",1.88183330343913,0.0471330140662949,NA,1.79168507973911,1.97651731433087
"mc",0.849887359276003,0.0311973310758292,NA,0.790889478914807,0.913286296902355
"z",2.43600700749382,0.0540550300818694,NA,2.33233193566791,2.54429056593938
"knn",3.23959044922627,0.0630472522312538,NA,3.11834714657051,3.36554776791295
"wsld",3.27095082974438,0.063379388328044,NA,3.14905871712409,3.3975610783074
"COSNet",2.28088888372309,0.0521897672823428,NA,2.18085859233217,2.38550730349195
"bagsvm",2.75297837031443,0.0577236740252588,NA,2.64213525065459,2.86847159150594
"rf",4.45654159121082,0.0751919032414233,NA,4.3115782759125,4.60637884394864
"svm",3.6422240595024,0.0672249302744742,NA,3.51282033638374,3.77639469978546
