"method","prob","SE","df","asymp.LCL","asymp.UCL"
"pr",0.0218067259485504,0.00020135592394264,NA,0.0214155475411586,0.0222048875247752
"randomraw",0.0161710196977696,0.000173519451723188,NA,0.0158344219463727,0.0165146525568979
"random",0.0112122521450063,0.000144561085599912,NA,0.0109324283475175,0.0114991549741044
"EGAD",0.0168367878449557,0.000177041589945828,NA,0.0164932843562771,0.0171873204142544
"ppr",0.02641209557494,0.000221450818153548,NA,0.0259815121255511,0.0268496182411429
"raw",0.0241012920982497,0.000211615545586065,NA,0.0236899955064038,0.0245195501263149
"gm",0.0136195554092067,0.000159287972270066,NA,0.0133108598479582,0.0139353088990553
"mc",0.0219041824955648,0.000201802647750161,NA,0.0215121281206467,0.022303219123059
"z",0.0227304359290359,0.000205549792213013,NA,0.0223310338276142,0.0231368124905601
"knn",0.0213983048366252,0.00019947256668728,NA,0.0210108194317307,0.0217927772436125
"wsld",0.0205607532533128,0.000195551872378395,NA,0.0201809556977007,0.0209475456384588
"COSNet",0.020416366039859,0.000194867768908454,NA,0.0200379098885677,0.0208018183655104
"bagsvm",0.0215328232706313,0.000200094892044417,NA,0.0211441175750464,0.0219285147069566
"rf",0.0139486104270358,0.000161195133650424,NA,0.0136361757847064,0.0142681000799508
"svm",0.0144308495198876,0.000163949447368243,NA,0.0141130148626181,0.0147557348976844
