"method","cv_scheme","network","prob","SE","df","asymp.LCL","asymp.UCL"
"pr","classic","string",0.0247351449910356,0.000249561869805669,Inf,0.0242506977484458,0.0252290196323779
"randomraw","classic","string",0.01835682381932,0.000210803952737745,Inf,0.0179481862958028,0.0187745871819811
"random","classic","string",0.0127364668031991,0.000172365151678157,Inf,0.0124030225555877,0.0130787566883011
"EGAD","classic","string",0.0191108344421332,0.000215606333219832,Inf,0.0186928032239129,0.0195380280522615
"ppr","classic","string",0.0299400390815166,0.000278731963563813,Inf,0.0293985382406207,0.0304912006622277
"raw","classic","string",0.0273292389070869,0.000264326165566627,Inf,0.0268159141344087,0.0278521087953316
"gm","classic","string",0.0154659047430702,0.00019168575937684,Inf,0.0150946646349779,0.0158461282800529
"mc","classic","string",0.0248453565399097,0.000250199225261207,Inf,0.0243596626831347,0.0253404828543722
"z","classic","string",0.0257796306062079,0.000255565058614297,Inf,0.0252834416608418,0.0262852946885092
"knn","classic","string",0.0242732381108538,0.000246880284940917,Inf,0.0237940358353502,0.0247618465268394
"wsld","classic","string",0.0233258408934784,0.000241326049691434,Inf,0.0228575023195832,0.0238035417236206
"COSNet","classic","string",0.0231624951478552,0.000240360795909495,Inf,0.0226960445526085,0.0236383003946232
"bagsvm","classic","string",0.0244253784504948,0.000247765396410896,Inf,0.0239444449653207,0.0249157250880393
"rf","classic","string",0.0158388521437995,0.000194221684666632,Inf,0.0154626513405306,0.0162240549504572
"svm","classic","string",0.0163853557829707,0.000197898139862298,Inf,0.0160019632910522,0.0167777773879326
"pr","block","string",0.0251803655507455,0.000253562480414335,Inf,0.024688140970153,0.0256821455340865
"randomraw","block","string",0.0186894377970196,0.000214300061063244,Inf,0.0182740146901592,0.0191141208455885
"random","block","string",0.0129685888677558,0.000175314392841576,Inf,0.012629433359074,0.013316729347236
"EGAD","block","string",0.0194568398189525,0.000219167482966831,Inf,0.0190318951964242,0.0198910802238244
"ppr","block","string",0.0304760176224549,0.000283082256905476,Inf,0.0299260515915306,0.0310357672991598
"raw","block","string",0.0278198199733869,0.000268506916034002,Inf,0.0272983635640949,0.0283509469746888
"gm","block","string",0.0157469773818754,0.000194915730234373,Inf,0.0153694746034196,0.0161336003996339
"mc","block","string",0.0252925094071459,0.000254207747333044,Inf,0.0247990226542354,0.0257955565149004
"z","block","string",0.0262431455076476,0.000259639701481357,Inf,0.0257390336301238,0.0267568595116233
