"method","cv_scheme","prob","SE","df","asymp.LCL","asymp.UCL"
"pr","classic",0.0241208069988119,0.00023615726238894,NA,0.0236622529484825,0.0245880236370332
"randomraw","classic",0.0178979946783956,0.000200790882811703,NA,0.0175086702899955,0.0182958149089695
"random","classic",0.0124163417098148,0.000165217066615204,NA,0.012096657081522,0.0127443658207117
"EGAD","classic",0.0186335165359324,0.000205199653983185,NA,0.0182355618083088,0.0190399874055511
"ppr","classic",0.0292002995093514,0.000262468398162703,NA,0.0286902426556803,0.029719146736379
"raw","classic",0.0266522330449009,0.000249505759774344,NA,0.0261675498869681,0.0271456434018458
"gm","classic",0.0150782242710335,0.000183161869797562,NA,0.0147234100242817,0.0154414550548819
"mc","classic",0.024228349264609,0.000236734860731492,NA,0.0237686645864025,0.0246966993132398
"z","classic",0.0251400198074458,0.000241592693995309,NA,0.024670826112566,0.025617902326718
"knn","classic",0.0236700938998147,0.000233725729273054,NA,0.0232162994927154,0.024132539196673
"wsld","classic",0.02274568893974,0.000228682324353875,NA,0.0223017668546556,0.023198237737476
"COSNet","classic",0.0225863119185468,0.000227804862685957,NA,0.0221441074441251,0.0230371389121379
"bagsvm","classic",0.0238185461224769,0.000234528551065707,NA,0.0233631802181439,0.0242825667761093
"rf","classic",0.0154419697087507,0.000185507503174433,NA,0.0150825636376584,0.0158098026798379
"svm","classic",0.0159750016021043,0.000188904123773742,NA,0.0156089463270684,0.016349498891653
"pr","block",0.024555248187183,0.000239925544712983,NA,0.0240893663639847,0.0250299089517766
"randomraw","block",0.0182224492925754,0.000204112471962685,NA,0.0178266764266375,0.0186268421370716
"random","block",0.0126427042082591,0.000168040769223938,NA,0.0123175502610821,0.0129763286754795
"EGAD","block",0.018971047119895,0.000208579566164447,NA,0.0185665291560048,0.0193842044393611
"ppr","block",0.0297234411959119,0.000266537803635781,NA,0.0292054632832371,0.0302503195239878
"raw","block",0.0271310003113179,0.000253430111093731,NA,0.0266386819475102,0.0276321590775476
"gm","block",0.0153523611886672,0.000186242761700215,NA,0.0149915719347374,0.015721694660909
"mc","block",0.0246646784475974,0.000240510037721465,NA,0.0241976524176417,0.0251404860674668
"z","block",0.0255923366809487,0.000245425350754944,NA,0.0251156884201109,0.0260777888502607
"knn","block",0.0240966177165535,0.000237464846196985,NA,0.0236355529745886,0.0245664502636197
"wsld","block",0.0231559504872046,0.000232360221450952,NA,0.0227048786196777,0.0236157671359649
"COSNet","block",0.022993766437678,0.000231472008479471,NA,0.0225444333501796,0.0234518403118826
"bagsvm","block",0.0242476785415359,0.000238277322716161,NA,0.0237850232888858,0.0247191052737415
"rf","block",0.0157226143061216,0.000188621109328402,NA,0.0153571688886549,0.0160966138468971
"svm","block",0.0162651735598867,0.00019206472875603,NA,0.0158929864991443,0.0166459291877791
"pr","representative",0.0174942391332476,0.000178152291769615,NA,0.0171484681734101,0.0178468554043106
"randomraw","representative",0.0129582830779592,0.000149880728860086,NA,0.0126677845505752,0.0132553539014424
"random","representative",0.0089756982438869,0.000122100122624554,NA,0.0087395206375035,0.00921819898180023
"EGAD","representative",0.0134935955465895,0.000153369371954252,NA,0.0131962761475207,0.0137975200537202
"ppr","representative",0.021208599705067,0.000199607797904837,NA,0.0208208855820044,0.021603374321311
"raw","representative",0.0193440065253582,0.000188992605889757,NA,0.0189770436677607,0.0197179227908668
"gm","representative",0.0109081042662055,0.000136032147577579,NA,0.0106446833515736,0.0111779703314198
"mc","representative",0.0175727689533969,0.000178619442006144,NA,0.0172260847406167,0.0179263031044312
"z","representative",0.0182386826842739,0.000182555234452669,NA,0.017884304266022,0.018599950141555
"knn","representative",0.0171651698453096,0.000176187621714437,NA,0.0168232397220188,0.0175139258541931
"wsld","representative",0.0164905154582085,0.000172122400623423,NA,0.0161565327295189,0.0168312840609076
"COSNet","representative",0.0163742335042742,0.000171416481536809,NA,0.0160416308394808,0.0167136151215544
"bagsvm","representative",0.0172735467948356,0.00017683595807122,NA,0.0169303492020831,0.0176235766774338
"rf","representative",0.0111723913273915,0.000137865472612468,NA,0.0109053856464871,0.011445858681499
"svm","representative",0.011559774648118,0.000140525286172135,NA,0.0112875682144942,0.0118384669022188
