cv_scheme = classic:
 method           prob           SE df   asymp.LCL   asymp.UCL
 pr        0.024120807 0.0002361573 NA 0.023662253 0.024588024
 randomraw 0.017897995 0.0002007909 NA 0.017508670 0.018295815
 random    0.012416342 0.0001652171 NA 0.012096657 0.012744366
 EGAD      0.018633517 0.0002051997 NA 0.018235562 0.019039987
 ppr       0.029200300 0.0002624684 NA 0.028690243 0.029719147
 raw       0.026652233 0.0002495058 NA 0.026167550 0.027145643
 gm        0.015078224 0.0001831619 NA 0.014723410 0.015441455
 mc        0.024228349 0.0002367349 NA 0.023768665 0.024696699
 z         0.025140020 0.0002415927 NA 0.024670826 0.025617902
 knn       0.023670094 0.0002337257 NA 0.023216299 0.024132539
 wsld      0.022745689 0.0002286823 NA 0.022301767 0.023198238
 COSNet    0.022586312 0.0002278049 NA 0.022144107 0.023037139
 bagsvm    0.023818546 0.0002345286 NA 0.023363180 0.024282567
 rf        0.015441970 0.0001855075 NA 0.015082564 0.015809803
 svm       0.015975002 0.0001889041 NA 0.015608946 0.016349499

cv_scheme = block:
 method           prob           SE df   asymp.LCL   asymp.UCL
 pr        0.024555248 0.0002399255 NA 0.024089366 0.025029909
 randomraw 0.018222449 0.0002041125 NA 0.017826676 0.018626842
 random    0.012642704 0.0001680408 NA 0.012317550 0.012976329
 EGAD      0.018971047 0.0002085796 NA 0.018566529 0.019384204
 ppr       0.029723441 0.0002665378 NA 0.029205463 0.030250320
 raw       0.027131000 0.0002534301 NA 0.026638682 0.027632159
 gm        0.015352361 0.0001862428 NA 0.014991572 0.015721695
 mc        0.024664678 0.0002405100 NA 0.024197652 0.025140486
 z         0.025592337 0.0002454254 NA 0.025115688 0.026077789
 knn       0.024096618 0.0002374648 NA 0.023635553 0.024566450
 wsld      0.023155950 0.0002323602 NA 0.022704879 0.023615767
 COSNet    0.022993766 0.0002314720 NA 0.022544433 0.023451840
 bagsvm    0.024247679 0.0002382773 NA 0.023785023 0.024719105
 rf        0.015722614 0.0001886211 NA 0.015357169 0.016096614
 svm       0.016265174 0.0001920647 NA 0.015892986 0.016645929

cv_scheme = representative:
 method           prob           SE df   asymp.LCL   asymp.UCL
 pr        0.017494239 0.0001781523 NA 0.017148468 0.017846855
 randomraw 0.012958283 0.0001498807 NA 0.012667785 0.013255354
 random    0.008975698 0.0001221001 NA 0.008739521 0.009218199
 EGAD      0.013493596 0.0001533694 NA 0.013196276 0.013797520
 ppr       0.021208600 0.0001996078 NA 0.020820886 0.021603374
 raw       0.019344007 0.0001889926 NA 0.018977044 0.019717923
 gm        0.010908104 0.0001360321 NA 0.010644683 0.011177970
 mc        0.017572769 0.0001786194 NA 0.017226085 0.017926303
 z         0.018238683 0.0001825552 NA 0.017884304 0.018599950
 knn       0.017165170 0.0001761876 NA 0.016823240 0.017513926
 wsld      0.016490515 0.0001721224 NA 0.016156533 0.016831284
 COSNet    0.016374234 0.0001714165 NA 0.016041631 0.016713615
 bagsvm    0.017273547 0.0001768360 NA 0.016930349 0.017623577
 rf        0.011172391 0.0001378655 NA 0.010905386 0.011445859
 svm       0.011559775 0.0001405253 NA 0.011287568 0.011838467

Results are averaged over the levels of: disease, network 
Confidence level used: 0.95 
Intervals are back-transformed from the logit scale 
