"method","network","prob","SE","df","asymp.LCL","asymp.UCL"
"pr","string",0.0223634767486294,0.000213628582267126,Inf,0.0219485802437025,0.0227860333717995
"randomraw","string",0.0165863241776335,0.000182598224279679,Inf,0.0162322084133981,0.0169480321102141
"random","string",0.0115016942788428,0.000150997186470891,Inf,0.011209477489366,0.0118014378683371
"EGAD","string",0.0172688904754098,0.000186487383898899,Inf,0.0169071568096909,0.017638224683915
"ppr","string",0.0270831713194383,0.000236470434184207,Inf,0.0266235330435657,0.0275505203532175
"raw","string",0.0247151456490731,0.000225242369924279,Inf,0.0242775005512501,0.0251604766393513
"gm","string",0.0139702636004994,0.000166986838739813,Inf,0.0136467267632489,0.0143013596396427
"mc","string",0.0224633643345489,0.00021413221526782,Inf,0.0220474813366453,0.0228869085674872
"z","string",0.0233102081189684,0.00021836402910491,Inf,0.0228860360343081,0.0237420508281278
"knn","string",0.0219448621063136,0.000211507327075684,Inf,0.0215341206163078,0.0223632590129252
"wsld","string",0.021086378671983,0.000207101821882304,Inf,0.0206842664722623,0.021496136538396
"COSNet","string",0.0209383791812401,0.000206334559330687,Inf,0.0205377698575864,0.0213466324760454
"bagsvm","string",0.0220827388885416,0.000212207900184828,Inf,0.0216706251491157,0.0225025095969316
"rf","string",0.0143076689903259,0.000169069565648737,Inf,0.0139800525854106,0.0146428489270012
"svm","string",0.0148021353082465,0.000172082463000651,Inf,0.0144686173582476,0.0151432230934424
"pr","omnipath",0.0212635342921026,0.000204049892793019,Inf,0.0208672616862006,0.0216671656511516
"randomraw","omnipath",0.0157659473024589,0.000174173742062087,Inf,0.0154281848116153,0.0161109832802948
"random","omnipath",0.010930013333691,0.000143849897236177,Inf,0.0106516391608212,0.0112155801744671
"EGAD","omnipath",0.0164153166952767,0.00017791270022786,Inf,0.0160702316888075,0.0167676856223583
"ppr","omnipath",0.025757207749579,0.000226107825065865,Inf,0.0253177366636408,0.0262041021867231
"raw","omnipath",0.0235023175090223,0.000215258063417879,Inf,0.0230840947177841,0.0239279318037161
"gm","omnipath",0.0132775328100021,0.000159180861205132,Inf,0.0129691331824252,0.0135931650329338
"mc","omnipath",0.0213586162642334,0.000204535635397737,Inf,0.0209613923750738,0.0217632003204957
"z","omnipath",0.022164756603826,0.000208618199414886,Inf,0.0217595373822928,0.0225773478982328
"knn","omnipath",0.0208650696868666,0.000202004288616682,Inf,0.0204728032139589,0.0212646889650861
"wsld","omnipath",0.0200479618959723,0.000197757436048738,Inf,0.0196640125107211,0.0204392517767863
"COSNet","omnipath",0.0199071025514062,0.000197018016220216,Inf,0.0195246012560067,0.0202969422049549
"bagsvm","omnipath",0.0209963079095822,0.000202679823657607,Inf,0.0206027184614734,0.0213972521259612
"rf","omnipath",0.0135984383184276,0.000161179647395143,Inf,0.0132861241357781,0.0139179904513801
"svm","omnipath",0.0140687437974088,0.000164071885920324,Inf,0.0137507652777224,0.0143939680715226
