"method","cv_scheme","network","prob","SE","df","asymp.LCL","asymp.UCL"
"pr","classic","string",0.68823319188252,0.00132525851608796,NA,0.685629832543628,0.690824714000598
"randomraw","classic","string",0.611793624851058,0.00140983026121129,NA,0.609026840874419,0.614553220957943
"random","classic","string",0.508248018472244,0.00145681073184673,NA,0.505392483892127,0.511103014967453
"EGAD","classic","string",0.598638230641008,0.00142002053042067,NA,0.595851889074833,0.601418212295257
"ppr","classic","string",0.688069354437901,0.00132548763313389,NA,0.685465550866216,0.690661330400613
"raw","classic","string",0.659826925958074,0.00136184786388751,NA,0.657152702007291,0.6624910039131
"gm","classic","string",0.387561709090533,0.00141644211582324,NA,0.384789211268852,0.390341508641494
"mc","classic","string",0.618210075903393,0.0014044051470963,NA,0.615453723761808,0.620958838846026
"z","classic","string",0.613544308068293,0.00140837975623415,NA,0.610780312053415,0.616301006544538
"knn","classic","string",0.634102881092568,0.00138967119363919,NA,0.631374912368735,0.636822274290135
"wsld","classic","string",0.633865443856863,0.00138990499989108,NA,0.631137024229226,0.636585302608675
"COSNet","classic","string",0.524928432460966,0.00145433902666089,NA,0.522077198966828,0.527778041589041
"bagsvm","classic","string",0.607289997261548,0.00141345955869683,NA,0.604516241690934,0.610056847652184
"rf","classic","string",0.5732115107124,0.00143619862547882,NA,0.570394270993082,0.576024008037152
"svm","classic","string",0.540684560998313,0.00145021826225289,NA,0.537840892333008,0.543525582637956
"pr","block","string",0.697721152573839,0.00130402030506085,NA,0.695159212556163,0.700270845012908
"randomraw","block","string",0.622331315098636,0.00139624118187986,NA,0.619590860289498,0.625063974422659
"random","block","string",0.519388384547413,0.0014553846338505,NA,0.516535282009674,0.522240223142274
"EGAD","block","string",0.609304973760784,0.00140789208075976,NA,0.606542086280623,0.61206086889028
"ppr","block","string",0.697560110086892,0.00130426394576304,NA,0.694997697113488,0.700110284577885
"raw","block","string",0.669764564855683,0.00134326012998059,NA,0.667126523743903,0.67239196602817
"gm","block","string",0.398198813145692,0.00142956453079063,NA,0.395400281090144,0.401004015177164
"mc","block","string",0.628679305834871,0.00139011642640313,NA,0.625950660634448,0.631399767328923
"z","block","string",0.62406367792588,0.00139459891936141,NA,0.621326388657827,0.626793065551627
"knn","block","string",0.644386994735937,0.00137368921125794,NA,0.641690069190066,0.647074785501957
"wsld","block","string",0.644152485968539,0.00137394787489611,NA,0.6414550605232,0.646840790728816
"COSNet","block","string",0.536035873197207,0.00145087949007724,NA,0.533191060476356,0.538878342572891
"bagsvm","block","string",0.617873579750972,0.00140036667116164,NA,0.615125176462508,0.620614461434381
"rf","block","string",0.584084513509265,0.00142698061597069,NA,0.581285003729579,0.586878608414757
"svm","block","string",0.551738198205668,0.00144485426094394,NA,0.548904688262989,0.5545683530022
