"method","network","prob","SE","df","asymp.LCL","asymp.UCL"
"pr","string",0.699737689586124,0.00123063764472621,NA,0.6973201673198,0.702144150626931
"randomraw","string",0.624580174706728,0.00131316197181871,NA,0.622002926165933,0.627150384451153
"random","string",0.521779189737681,0.00136802738980519,NA,0.519097303490653,0.524459821013037
"EGAD","string",0.611582988093647,0.00132368836614844,NA,0.608985466924795,0.6141741861044
"ppr","string",0.699577258848994,0.00123085498406735,NA,0.697159314799851,0.701984150023029
"raw","string",0.67187989662733,0.00126566174434565,NA,0.669394464480966,0.674355733562421
"gm","string",0.400496628236623,0.00135062140855931,NA,0.397852386587384,0.403146677964179
"mc","string",0.630912783707725,0.00130764538531983,NA,0.628346173631388,0.633472008248232
"z","string",0.626308416187775,0.00131168178051485,NA,0.623734021261811,0.628875677559338
"knn","string",0.646579105399295,0.00129289094259479,NA,0.644040986190699,0.649108987013779
"wsld","string",0.646345248846256,0.00129312288572871,NA,0.643806681386112,0.648875591369245
"COSNet","string",0.538417461629472,0.00136349450738053,NA,0.535743982832276,0.541088732499077
"bagsvm","string",0.620132781047087,0.0013168839065247,NA,0.617548360111708,0.622710407470846
"rf","string",0.586409762457268,0.00134107624263091,NA,0.583778863318868,0.589035738748698
"svm","string",0.554106232243659,0.0013576981914596,NA,0.551443666843296,0.556765696319143
"pr","omnipath",0.663534086274508,0.00130313236312021,NA,0.660975234437699,0.666083381602544
"randomraw","omnipath",0.584693037823418,0.00135694768568707,NA,0.58203102655372,0.587350115144136
"random","omnipath",0.480062133079563,0.00136842828066597,NA,0.477380663212106,0.482744752136698
"EGAD","omnipath",0.571262854160581,0.00136214796189453,NA,0.568591044210537,0.573930516456592
"ppr","omnipath",0.663363617909282,0.00130329345820517,NA,0.660804455340178,0.665913233953757
"raw","omnipath",0.63407391945631,0.00132802132633788,NA,0.631467152097798,0.636672857221569
"gm","omnipath",0.361153311503233,0.00130106254157526,NA,0.358607208932746,0.363707240472673
"mc","omnipath",0.591258155258578,0.00135399675058995,NA,0.588601735085787,0.593909256816164
"z","omnipath",0.586483329768713,0.00135616972028688,NA,0.583822790764618,0.589138829943251
"knn","omnipath",0.607560690146116,0.00134549421889197,NA,0.604920455880686,0.610194649999728
"wsld","omnipath",0.607316695394333,0.00134563391958783,NA,0.604676194489328,0.609950936197152
"COSNet","omnipath",0.496751952618088,0.00137101815473917,NA,0.49406492609779,0.49943916676952
"bagsvm","omnipath",0.580090801975567,0.00135885583499144,NA,0.577425185768239,0.582751753781677
"rf","omnipath",0.545418799580201,0.0013690317943164,NA,0.542734253219008,0.548100708159087
"svm","omnipath",0.512574845769936,0.00137193363170325,NA,0.509885567260844,0.515263396463284
