"method","cv_scheme","network","prob","SE","df","asymp.LCL","asymp.UCL"
"pr","classic","string",0.11330746649102,0.00112670994821453,NA,0.111117854378083,0.11553461746104
"randomraw","classic","string",0.0642208998718489,0.000835355964984023,NA,0.0626029412949956,0.0658777355156996
"random","classic","string",0.0507857454961328,0.000738283931181867,NA,0.0493580932456234,0.0522524219637671
"EGAD","classic","string",0.109316540284701,0.00110574516023793,NA,0.107168091181585,0.111502681372967
"ppr","classic","string",0.159443849557305,0.001343766913436,NA,0.156827707441344,0.16209524335089
"raw","classic","string",0.131563202149047,0.00121784961644668,NA,0.1291945786518,0.133968570624165
"gm","classic","string",0.0409656304699931,0.000659692379091845,NA,0.0396920127822375,0.0422783161612575
"mc","classic","string",0.126674953885941,0.00119417412666252,NA,0.124352843059014,0.129034037027759
"z","classic","string",0.12829707948433,0.00120208737173738,NA,0.12595942322735,0.130671633794714
"knn","classic","string",0.0957399073596894,0.00103129162364589,NA,0.0937376026766211,0.0977803680475148
"wsld","classic","string",0.0918817021301243,0.00100917667689496,NA,0.0899227954233174,0.0938788803091946
"COSNet","classic","string",0.114240988361708,0.00113155715842189,NA,0.112041858312776,0.116477620373022
"bagsvm","classic","string",0.114635083736026,0.00113359711186289,NA,0.112431947968158,0.11687570576898
"rf","classic","string",0.0737501583865996,0.000898626046252686,NA,0.0720081252591975,0.0755309049434329
"svm","classic","string",0.0735867024198416,0.000897573974954641,NA,0.0718467326916069,0.075365388790106
"pr","block","string",0.110893308472925,0.00110761771378522,NA,0.108740944693387,0.11308286962199
"randomraw","block","string",0.0627785457705525,0.000818856919793353,NA,0.0611926280915684,0.0644027457590908
"random","block","string",0.0496291320610487,0.000723096598203151,NA,0.0482309156343142,0.0510657080365863
"EGAD","block","string",0.106977155112492,0.00108676631943837,NA,0.104865722037626,0.109125918365814
"ppr","block","string",0.156219884371198,0.00132426992112387,NA,0.15364189732114,0.158833010162355
"raw","block","string",0.128816590122815,0.00119841022772577,NA,0.126485940951172,0.131183734755678
"gm","block","string",0.040023233999901,0.000645714616201067,NA,0.0387766566634139,0.0413081636500568
"mc","block","string",0.124015819391895,0.00117480150752376,NA,0.121731539895453,0.126336797231147
"z","block","string",0.125608791206185,0.00118269056344297,NA,0.123309017721237,0.127945196902656
"knn","block","string",0.0936605114242451,0.0010128116461376,NA,0.0916942106124848,0.0956645368481608
"wsld","block","string",0.0898777744802551,0.00099087291715992,NA,0.087954516445789,0.0918388527080368
"COSNet","block","string",0.111809448541923,0.0011124404467008,NA,0.109647617149365,0.114008445152154
"bagsvm","block","string",0.112196218357332,0.00111447029579875,NA,0.110030402040866,0.114399186195234
"rf","block","string",0.0721102763530036,0.000881386438520295,NA,0.0704017599263866,0.07385696100698
"svm","block","string",0.071950172606304,0.000880345917679223,NA,0.0702436965228577,0.0736948192804048
"pr","representative","string",0.113826848657603,0.00113080150978582,NA,0.11162925349065,0.116062054751378
"randomraw","representative","string",0.0645316529223001,0.000838902948875691,NA,0.0629068058144315,0.0661955042615839
"random","representative","string",0.0510350338146076,0.000741551682419945,NA,0.0496010477881094,0.0525081865016715
"EGAD","representative","string",0.109819894464452,0.00110981348643295,NA,0.107663510029103,0.112014047360705
"ppr","representative","string",0.160136519568324,0.00134793205138334,NA,0.157512225673515,0.162796087813363
"raw","representative","string",0.132153793552941,0.0012220105059714,NA,0.129777041250363,0.134567342989638
"gm","representative","string",0.0411688061464876,0.000662701729914531,NA,0.0398893665617737,0.0424874673501652
"mc","representative","string",0.127246817037014,0.00119832209069484,NA,0.124916605362531,0.129614058473014
"z","representative","string",0.128875184945996,0.00120624006229634,NA,0.126529417705154,0.131257905927708
"knn","representative","string",0.0961874982758322,0.00103525650723142,NA,0.0941774684745308,0.0982357756648682
