cv_scheme = classic:
 method          prob           SE df  asymp.LCL  asymp.UCL
 pr        0.10623300 0.0010350619 NA 0.10422131 0.10827881
 randomraw 0.06000380 0.0007700848 NA 0.05851212 0.06153103
 random    0.04740618 0.0006815480 NA 0.04608811 0.04876002
 EGAD      0.10246245 0.0010160056 NA 0.10048819 0.10447100
 ppr       0.14997603 0.0012327021 NA 0.14757597 0.15240814
 raw       0.12350768 0.0011179475 NA 0.12133319 0.12571557
 gm        0.03821324 0.0006097041 NA 0.03703602 0.03942635
 mc        0.11887777 0.0010964069 NA 0.11674559 0.12104354
 z         0.12041381 0.0011036057 NA 0.11826750 0.12259366
 knn       0.08965139 0.0009483372 NA 0.08780997 0.09152754
 wsld      0.08601520 0.0009282359 NA 0.08421324 0.08785203
 COSNet    0.10711527 0.0010394682 NA 0.10509494 0.10916971
 bagsvm    0.10748777 0.0010413226 NA 0.10546379 0.10954583
 rf        0.06895343 0.0008276956 NA 0.06734874 0.07059346
 svm       0.06879981 0.0008267381 NA 0.06719700 0.07043797

cv_scheme = block:
 method          prob           SE df  asymp.LCL  asymp.UCL
 pr        0.10395190 0.0010173021 NA 0.10197486 0.10596274
 randomraw 0.05865023 0.0007547669 NA 0.05718829 0.06014715
 random    0.04632278 0.0006674480 NA 0.04503204 0.04764867
 EGAD      0.10025324 0.0009983561 NA 0.09831339 0.10222702
 ppr       0.14691004 0.0012144793 NA 0.14454564 0.14930638
 raw       0.12090583 0.0010998373 NA 0.11876671 0.12307810
 gm        0.03733170 0.0005967254 NA 0.03617959 0.03851903
 mc        0.11636050 0.0010783671 NA 0.11426355 0.11849079
 z         0.11786837 0.0010855407 NA 0.11575733 0.12001268
 knn       0.08769140 0.0009311649 NA 0.08588344 0.08953370
 wsld      0.08412737 0.0009112303 NA 0.08235852 0.08593065
 COSNet    0.10481745 0.0010216844 NA 0.10283181 0.10683687
 bagsvm    0.10518290 0.0010235290 NA 0.10319363 0.10720593
 rf        0.06741244 0.0008116879 NA 0.06583887 0.06902084
 svm       0.06726201 0.0008107412 NA 0.06569030 0.06886856

cv_scheme = representative:
 method          prob           SE df  asymp.LCL  asymp.UCL
 pr        0.10672385 0.0010388696 NA 0.10470474 0.10877717
 randomraw 0.06029546 0.0007733787 NA 0.05879738 0.06182921
 random    0.04763971 0.0006845824 NA 0.04631576 0.04899956
 EGAD      0.10293789 0.0010197906 NA 0.10095625 0.10495390
 ppr       0.15063494 0.0012365976 NA 0.14822726 0.15307470
 raw       0.12406728 0.0011218259 NA 0.12188521 0.12628279
 gm        0.03840331 0.0006124988 NA 0.03722069 0.03962197
 mc        0.11941924 0.0011002715 NA 0.11727952 0.12159262
 z         0.12096132 0.0011074753 NA 0.11880745 0.12314879
 knn       0.09007335 0.0009520229 NA 0.08822475 0.09195677
 wsld      0.08642167 0.0009318866 NA 0.08461260 0.08826570
 COSNet    0.10760972 0.0010432808 NA 0.10558194 0.10967166
 bagsvm    0.10798372 0.0010451372 NA 0.10595231 0.11004930
 rf        0.06928538 0.0008311358 NA 0.06767401 0.07093221
 svm       0.06913108 0.0008301761 NA 0.06752159 0.07077603

Results are averaged over the levels of: disease, network 
Confidence level used: 0.95 
Intervals are back-transformed from the logit scale 
