"method","network","prob","SE","df","asymp.LCL","asymp.UCL"
"pr","string",0.11266951472299,0.00105009917112118,NA,0.110627711320119,0.11474414077266
"randomraw","string",0.0638394208591194,0.000796873252102203,NA,0.0622952667758822,0.0654191805817961
"random","string",0.0504797676600221,0.000709521785356902,NA,0.0491071286451977,0.0518886809097365
"EGAD","string",0.108698303950516,0.00103230201087723,NA,0.10669150136378,0.110738174039158
"ppr","string",0.158592597815556,0.00123085707286321,NA,0.156195025857606,0.161019949315068
"raw","string",0.130837632239501,0.00112675724688637,NA,0.128645016520183,0.133061911957082
"gm","string",0.0407162797472977,0.000637655995192916,NA,0.0394847013695802,0.0419845935142361
"mc","string",0.125972432095007,0.00110695281353751,NA,0.123818786961564,0.128158057551627
"z","string",0.127586875875987,0.00111358059499895,NA,0.125420189481501,0.129785438107582
"knn","string",0.0951902472883288,0.000968584781341044,NA,0.093308720115558,0.0971056512398943
"wsld","string",0.0913519549636226,0.000949501142636974,NA,0.0895079386171603,0.0932300712108523
"COSNet","string",0.113598453981451,0.00105420514251359,NA,0.111548574939696,0.115681097949345
"bagsvm","string",0.113990618067221,0.00105593215541133,NA,0.111937342259638,0.116076634383135
"rf","string",0.0733165094386441,0.000852980929521871,NA,0.0716621506092093,0.0750059742803961
"svm","string",0.0731539386809005,0.000852053200012922,NA,0.0715014023164812,0.0748415898007784
"pr","omnipath",0.0989814929274452,0.000944177574432478,NA,0.0971462756794338,0.10084750722771
"randomraw","omnipath",0.0557112220086506,0.000705366946529282,NA,0.0543447611545076,0.0571099665724353
"random","omnipath",0.0439726566799434,0.00062521009506911,NA,0.0427634269102526,0.0452144649615212
"EGAD","omnipath",0.0954408449118584,0.000927037392511091,NA,0.0936392907348943,0.0972733398425618
"ppr","omnipath",0.140207016649718,0.00112197617062757,NA,0.13802238270293,0.142420515965265
"raw","omnipath",0.115229027070486,0.00101871510153534,NA,0.113247378155167,0.117240767088656
"gm","omnipath",0.0354207849984023,0.000559985053700208,NA,0.0343394651760832,0.0365348663961131
"mc","omnipath",0.110870196715781,0.000999344214722738,NA,0.108926609317172,0.112844071952653
"z","omnipath",0.112315964188391,0.00100581775949844,NA,0.110359657579447,0.11430249396748
"knn","omnipath",0.0834260988809027,0.000866145549739178,NA,0.0817441094143128,0.085139488520327
"wsld","omnipath",0.0800202128021498,0.000848045999939159,NA,0.0783737554817238,0.0816981923973197
"COSNet","omnipath",0.0998102713618303,0.000948140485705629,NA,0.0979672705324448,0.101684035071683
"bagsvm","omnipath",0.100160214518111,0.000949808289740237,NA,0.0983139378885973,0.10203723953887
"rf","omnipath",0.0640642377954081,0.000757407383885234,NA,0.0625956717114672,0.0655648482879683
"svm","omnipath",0.0639207677239321,0.000756543178939913,NA,0.0624538974195021,0.0654196867489006
