"method","cv_scheme","prob","SE","df","asymp.LCL","asymp.UCL"
"pr","classic",0.0615811900843529,0.000775557644286192,NA,0.0600785403057325,0.0631188994192421
"randomraw","classic",0.0291525544401224,0.000518740333166429,NA,0.0281528585987118,0.0301866464178524
"random","classic",0.0235970049124926,0.000463994457271065,NA,0.0227044911529718,0.0245237229992207
"EGAD","classic",0.0442410575981091,0.000648226706488655,NA,0.0429878130547354,0.0455291003943153
"ppr","classic",0.0890158585813108,0.000948962817255613,NA,0.08717337433301,0.090893407676235
"raw","classic",0.0633661132819252,0.000787744747200096,NA,0.0618395872054608,0.0649277141225403
"gm","classic",0.0252071073862746,0.000480389606715042,NA,0.024282495887008,0.0261659814365646
"mc","classic",0.071723507507828,0.000842958429894641,NA,0.0700887964617863,0.0733933364377694
"z","classic",0.0683566450150822,0.00082106542527977,NA,0.0667648335493631,0.0699835625160734
"knn","classic",0.0489049339762616,0.00068427331858205,NA,0.0475810935102871,0.0502636635734249
"wsld","classic",0.0476572108707561,0.000674776807011152,NA,0.0463519695979785,0.0489973184719258
"COSNet","classic",0.0669626761014808,0.000811865951867953,NA,0.0653888900213105,0.0685715611393667
"bagsvm","classic",0.0576607905385837,0.000748252245675928,NA,0.0562116323878653,0.0591449673064253
"rf","classic",0.0337668352263119,0.000560856063395823,NA,0.0326846787917947,0.0348835286820395
"svm","classic",0.0358249312200238,0.000578841932526844,NA,0.0347075575213095,0.0369768996174673
"pr","block",0.0591263971537781,0.000749449052946429,NA,0.0576744900577192,0.0606125037840622
"randomraw","block",0.027951950261691,0.000499078360276771,NA,0.02699022240961,0.0289469273464774
"random","block",0.0226198669367693,0.000446038886759235,NA,0.0217619533520561,0.0235107888844781
"EGAD","block",0.0424462240615545,0.000624985379716887,NA,0.0412380274611745,0.0436882055621325
"ppr","block",0.0855671642775231,0.000920033665154477,NA,0.0837810694001603,0.0873877044566822
"raw","block",0.0608447817944416,0.000761396553129385,NA,0.0593694757461116,0.0623543183300192
"gm","block",0.0241649461183858,0.00046191134685904,NA,0.0232759659658965,0.0250870070609619
"mc","block",0.0688940960858107,0.000815602256945426,NA,0.0673126168577521,0.0705099224928177
"z","block",0.0656506591426045,0.000794093667181342,NA,0.064111311482989,0.0672243125257708
"knn","block",0.0469301804579233,0.000660153496424319,NA,0.0456531298851208,0.0482411480950166
"wsld","block",0.0457304172272499,0.000650883354387214,NA,0.0444715167811356,0.0470232008915338
"COSNet","block",0.0643080632614502,0.000785061723485114,NA,0.0627864065989721,0.065864006298572
"bagsvm","block",0.0553530572330717,0.000722702769182456,NA,0.0539535289365387,0.0567867095099217
"rf","block",0.0323825373319859,0.000539958306409427,NA,0.0313407905844057,0.0334577150158035
"svm","block",0.034359260380113,0.000557437245769376,NA,0.0332832987233939,0.0354687288670893
"pr","representative",0.0599999309734095,0.000758757942448173,NA,0.0585299325320049,0.0615044370277539
"randomraw","representative",0.0283788044205116,0.000506075489232471,NA,0.0274035652329199,0.0293877017672265
"random","representative",0.0229672187762955,0.000452426656188718,NA,0.022096996345475,0.0238708756832775
"EGAD","representative",0.0430846095758861,0.000633263619577561,NA,0.0418603680606547,0.0443429980406295
"ppr","representative",0.086795298124366,0.000930364599469435,NA,0.08498906688801,0.0886361978074228
"raw","representative",0.0617420370666568,0.0007707918423344,NA,0.0602484676071765,0.0632701395415136
"gm","representative",0.0245354286653658,0.000468485692728115,NA,0.0236337716323086,0.025470587628029
"mc","representative",0.0699012167447277,0.000825361689062709,NA,0.0683007476340057,0.0715363096065552
"z","representative",0.0666137580894567,0.000803714084688929,NA,0.0650556981529863,0.0682064107707099
"knn","representative",0.0476326494271659,0.000668746978336785,NA,0.0463389289999788,0.0489606344510165
"wsld","representative",0.0464158022838777,0.000659395566641172,NA,0.0451403931643985,0.0477254460380931
"COSNet","representative",0.0652528417706343,0.000794621615021661,NA,0.0637125935892317,0.0668276676772956
"bagsvm","representative",0.0561741720563353,0.000731810240814362,NA,0.0547569531694409,0.0576258351994899
"rf","representative",0.0328747627237562,0.000547397236473363,NA,0.0318186318548429,0.0339647191415995
"svm","representative",0.0348804495010554,0.000565057547483148,NA,0.0337897451577572,0.036005048895372
