"method","cv_scheme","network","rate","SE","df","asymp.LCL","asymp.UCL"
"pr","classic","string",2.5239042107651,0.0352038515996437,Inf,2.45584052809445,2.59385428013135
"randomraw","classic","string",1.50978701743731,0.0262894117452822,Inf,1.45913004931847,1.56220265567619
"random","classic","string",1.15241331446561,0.0226722561761755,Inf,1.10882233914706,1.19771797561293
"EGAD","classic","string",1.93179676130242,0.0301836699216184,Inf,1.87353451346664,1.99187081964848
"ppr","classic","string",3.67985103461513,0.0441183313097082,Inf,3.59438873711724,3.76734533388796
"raw","classic","string",2.74852668424838,0.0370115670908863,Inf,2.6769342640327,2.82203378526187
"gm","classic","string",1.4512394850217,0.02572051864675,Inf,1.40169370547507,1.50253656320176
"mc","classic","string",3.07002167654752,0.03952795632072,Inf,2.99351767211594,3.1484808599141
"z","classic","string",2.96733245766807,0.0387324502038511,Inf,2.89238109050116,3.04422606801264
"knn","classic","string",2.26954589676989,0.0330980415101093,Inf,2.20559326809408,2.335352874012
"wsld","classic","string",2.23442824965706,0.0328017675016117,Inf,2.17105405849256,2.29965236624837
"COSNet","classic","string",2.79881124087278,0.037410340815401,Inf,2.72644044013065,2.87310305654813
"bagsvm","classic","string",2.51303187419767,0.0351151877904644,Inf,2.44514127546683,2.58280749014296
"rf","classic","string",1.56784529470743,0.0268457797236644,Inf,1.5161016459912,1.62135492342213
"svm","classic","string",1.58594773509221,0.0270177478032585,Inf,1.5338682122784,1.63979551718333
"pr","block","string",2.31372548575749,0.0325034452643812,Inf,2.25088893685673,2.37831620022951
"randomraw","block","string",1.38405914353284,0.0242110830743091,Inf,1.33741054223728,1.43233483833045
"random","block","string",1.05644582089629,0.0208591959010207,Inf,1.0163435101453,1.09813046607606
"EGAD","block","string",1.77092592534415,0.0278282068774921,Inf,1.71721500204414,1.82631681491414
"ppr","block","string",3.37341056220161,0.0408360490509237,Inf,3.29431538899269,3.45440477836368
"raw","block","string",2.51964246919744,0.0341901478631494,Inf,2.45351426887572,2.58755298598386
"gm","block","string",1.33038717084053,0.0236834034656253,Inf,1.28476901374641,1.37762508699983
"mc","block","string",2.81436488934842,0.0365407289287508,Inf,2.74364995145317,2.88690243673468
"z","block","string",2.72022713965867,0.0357973155452912,Inf,2.65096278063544,2.79130123794566
"knn","block","string",2.08054892101511,0.0305406988442258,Inf,2.02154313762975,2.14127699387731
"wsld","block","string",2.04835570433984,0.0302647389772759,Inf,1.98988855920701,2.10854073816758
"COSNet","block","string",2.56573956737797,0.0345624438908644,Inf,2.49888486100694,2.63438289227789
"bagsvm","block","string",2.30375854561035,0.0324207590041443,Inf,2.24108336953055,2.36818652470946
"rf","block","string",1.43728260391858,0.0247273265081696,Inf,1.38962593315145,1.48657364132671
"svm","block","string",1.45387755926357,0.0248869286552505,Inf,1.40590924149192,1.50348251149351
"pr","representative","string",1.63657262794377,0.0237866225971852,Inf,1.5906094868766,1.68386394563391
"randomraw","representative","string",0.978989652707038,0.0175099205414167,Inf,0.945265400126557,1.01391708612113
"random","representative","string",0.747258187726801,0.0150151093130677,Inf,0.718401079893788,0.777274442860386
"EGAD","representative","string",1.25263299962544,0.0202302239045193,Inf,1.21360346340641,1.29291772729983
"ppr","representative","string",2.38612204554945,0.0302235732456067,Inf,2.32761418428708,2.4461005843204
"raw","representative","string",1.78222434885924,0.0250800121114741,Inf,1.73374012889094,1.83206443499617
"gm","representative","string",0.941025736098657,0.0171154781317653,Inf,0.908070892920832,0.975176545029091
"mc","representative","string",1.9906910181463,0.0268909304224156,Inf,1.93867735452938,2.04410018019236
"z","representative","string",1.92410435289719,0.0263171632017762,Inf,1.8732089022057,1.97638264289616
"knn","representative","string",1.47163932635531,0.0222882992093779,Inf,1.42859705824784,1.51597841698747
"wsld","representative","string",1.44886802632835,0.0220782380077865,Inf,1.40623528836507,1.49279325805942
"COSNet","representative","string",1.81483031252014,0.0253661901811903,Inf,1.76578830704896,1.86523438290648
"bagsvm","representative","string",1.62952268985493,0.023723352903492,Inf,1.58368288093205,1.67668933517125
"rf","representative","string",1.01663632210145,0.0178964167965151,Inf,0.982158197910369,1.0523247819088
"svm","representative","string",1.02837446901938,0.0180160260969691,Inf,0.993663051041032,1.06429845350787
"pr","classic","omnipath",2.55581063085312,0.0356212402941647,Inf,2.48693923551294,2.62658929800292
"randomraw","classic","omnipath",1.52887328014741,0.0266085081934608,Inf,1.47760101343418,1.58192467756643
"random","classic","omnipath",1.16698176883465,0.0229499235858198,Inf,1.12285660484548,1.21284092992432
"EGAD","classic","omnipath",1.95621794128536,0.0305463531982844,Inf,1.89725506632046,2.01701326391944
"ppr","classic","omnipath",3.7263705786101,0.0446291584971035,Inf,3.63991768771435,3.81487684075912
"raw","classic","omnipath",2.78327271249966,0.0374482687569891,Inf,2.71083477715678,2.85764630785433
"gm","classic","omnipath",1.46958560784995,0.0260331601518666,Inf,1.41943716688044,1.52150578355372
"mc","classic","omnipath",3.10883194552424,0.0399912223930249,Inf,3.0314304319986,3.18820975190252
"z","classic","omnipath",3.00484456115098,0.0391873576913061,Inf,2.92901204470857,3.08264039166046
"knn","classic","omnipath",2.29823679735261,0.0334926794620462,Inf,2.23352098914543,2.36482773270311
"wsld","classic","omnipath",2.26267520375541,0.0331931821287316,Inf,2.19854414266486,2.32867695414292
"COSNet","classic","omnipath",2.83419295100958,0.0378512765873714,Inf,2.76096834764465,2.90935956958905
"bagsvm","classic","omnipath",2.54480084955368,0.0355316241385315,Inf,2.47610440227377,2.61540319460776
"rf","classic","omnipath",1.58766551228644,0.0271711671839744,Inf,1.53529424886698,1.64182324057033
"svm","classic","omnipath",1.60599679815002,0.0273450754072964,Inf,1.55328586237981,1.66049648563494
"pr","block","omnipath",2.3429748911042,0.0328891790338663,Inf,2.27939196496583,2.40833144308598
"randomraw","block","omnipath",1.40155599316441,0.024505064675736,Inf,1.35434056730122,1.45041745732347
"random","block","omnipath",1.06980108375372,0.021114717827463,Inf,1.02920722391314,1.11199604142813
"EGAD","block","omnipath",1.79331342574048,0.0281627845665231,Inf,1.73895622881582,1.84936974815693
